pnl,hold,win,open_vs_ama,gap_pct,exit,ticker
-0.3250000476837158,9,False,above,8.948512811676004,SX,MU
0.0,0,False,below,-5.8763543119428245,SX,MU
0.0,0,False,above,1.589147677408806,SX,MU
-0.5125000476837158,7,False,above,3.5083932219503753,SX,MU
-0.2749998569488525,3,False,above,3.8382442121706473,SX,MU
-0.0125000476837158,5,False,above,4.764565531152985,SX,MU
0.1749999523162841,1,True,above,4.198298876821091,TP,MU
-0.0750000476837158,4,False,above,9.500079120342466,SX,MU
0.012499988079071,1,True,above,7.007397879833666,SX,MU
-0.0625,3,False,above,2.4494316677734216,SX,MU
0.024999976158142,1,True,above,6.136114868312056,TP,MU
0.012499988079071,0,True,below,-0.6274785137601744,SX,MU
-0.0125000476837158,2,False,above,2.2907667021479323,SX,MU
0.0125000476837158,2,True,above,2.890494152742309,SX,MU
0.024999976158142,2,True,above,9.387870438358313,SX,MU
-0.0125000476837158,1,False,below,-1.1392325606659015,SX,MU
-0.024999976158142,4,False,above,4.266419033612454,SX,MU
0.1624999046325683,1,True,above,3.352139766816774,TP,MU
0.012499988079071,0,True,above,13.757463833003928,SX,MU
-0.1000000238418579,9,False,above,7.91928655844181,SX,MU
0.074999988079071,1,True,above,7.605227043273708,TP,MU
0.024999976158142,1,True,above,2.1533738246288494,TP,MU
0.0250000357627868,0,True,above,2.9729432783119147,TP,MU
0.0374999642372131,0,True,below,-0.4194353572082879,TP,MU
0.0625,0,True,above,3.9922849659622104,TP,MU
0.0125000476837158,0,True,above,7.674977411288089,SX,MU
0.0625,0,True,above,2.6733107130478726,TP,MU
0.0,0,False,above,5.830541085844537,SX,MU
-0.024999976158142,1,False,above,3.639882809724917,SX,MU
-0.0124999284744262,0,False,above,1.36188162771053,SX,MU
0.0500000715255737,1,True,above,9.896486066840303,TP,MU
0.0625,0,True,above,0.2891182489092136,TP,MU
-0.3125,7,False,above,10.178080360702015,SX,MU
0.0374999046325683,0,True,above,1.735754603664659,SX,MU
0.0499999523162841,1,True,above,2.348008559268741,SX,MU
0.2000000476837158,0,True,above,0.4826953294897293,TP,MU
-0.0625,2,False,above,2.9697957807493975,SX,MU
-0.0374999046325683,2,False,above,5.3964736338277,SX,MU
0.0874998569488525,0,True,above,2.0972623337092196,TP,MU
0.0375000238418579,0,True,above,5.74645781725506,SX,MU
0.0,1,False,above,2.0805071660517727,SX,MU
0.0499999523162841,0,True,above,1.0983435441944405,SX,MU
0.0,2,False,above,1.3023938161920756,SX,MU
0.0875000953674316,0,True,above,2.1907571184795867,TP,MU
0.0500000715255737,0,True,above,8.908247693333323,TP,MU
-0.0250000357627868,2,False,above,7.815462865207447,SX,MU
-0.024999976158142,0,False,below,-3.6206307936973263,SX,MU
