ticker,name,exchange,sector_yf
ELV,Elevance Health,NYSE,Healthcare
EME,Emcor,NYSE,Industrials
EMR,Emerson Electric,NYSE,Industrials
ENOV,Enovis Corp,NYSE,Healthcare
ENTA,Enanta Pharmaceuticals,NASDAQ,Healthcare
EOG,EOG Resources,NYSE,Energy
EPAC,Enerpac Tool Group,NYSE,Industrials
EPAM,EPAM Systems,NYSE,Technology
EQIX,Equinix,NYSE,Real Estate
EQR,Equity Residential,NYSE,Real Estate
EQT,EQT Corporation,NYSE,Energy
ERIE,Erie Indemnity,NYSE,Financial Services
ES,Eversource Energy,NYSE,Utilities
ESNT,Essent Group,NYSE,Financial Services
ESS,Essex Property Trust,NYSE,Real Estate
ETN,Eaton Corporation,NYSE,Industrials
ETR,Entergy,NYSE,Utilities
EVRG,Evergy,NYSE,Utilities
EVTC,EVERTEC Inc,NYSE,Financial Services
EW,Edwards Lifesciences,NYSE,Healthcare
EXC,Exelon,NYSE,Utilities
EXE,Expand Energy,NYSE,Energy
EXPD,Expeditors International,NYSE,Industrials
EXPE,Expedia Group,NYSE,Consumer Cyclical
EXPO,Exponent Inc,NASDAQ,Industrials
EXR,Extra Space Storage,NYSE,Real Estate
F,Ford Motor Company,NYSE,Consumer Cyclical
FANG,Diamondback Energy,NYSE,Energy
FAST,Fastenal,NYSE,Industrials
FBIZ,First Business Financial,NASDAQ,Financial Services
FCFS,FirstCash Holdings,NASDAQ,Financial Services
FCX,Freeport-McMoRan,NYSE,Basic Materials
FDS,FactSet,NYSE,Financial Services
FDX,FedEx,NYSE,Industrials
FE,FirstEnergy,NYSE,Utilities
FFBC,First Financial Bancorp,NASDAQ,Financial Services
FFIV,"F5, Inc.",NYSE,Technology
FHB,First Hawaiian Inc,NASDAQ,Financial Services
FIBK,First Interstate BancSystem,NASDAQ,Financial Services
FICO,Fair Isaac,NYSE,Technology
FIS,Fidelity National Information Services,NYSE,Financial Services
FISV,Fiserv,NYSE,Financial Services
FITB,Fifth Third Bancorp,NYSE,Financial Services
FIX,Comfort Systems USA,NYSE,Industrials
FIZZ,National Beverage Corp,NASDAQ,Consumer Defensive
FLGT,Fulgent Genetics,NASDAQ,Healthcare
FORM,FormFactor Inc,NASDAQ,Technology
FORR,Forrester Research,NASDAQ,Industrials
FOX,Fox Corporation (Class B),NYSE,Communication Services
FOXA,Fox Corporation (Class A),NYSE,Communication Services
FRST,Primis Financial Corp,NASDAQ,Financial Services
FRT,Federal Realty Investment Trust,NYSE,Real Estate
FSLR,First Solar,NYSE,Technology
FTNT,Fortinet,NYSE,Technology
FTV,Fortive,NYSE,Industrials
FULT,Fulton Financial,NASDAQ,Financial Services
GD,General Dynamics,NYSE,Industrials
GDDY,GoDaddy,NYSE,Technology
GE,GE Aerospace,NYSE,Industrials
GEHC,GE HealthCare,NYSE,Healthcare
GEN,Gen Digital,NYSE,Technology
GEV,GE Vernova,NYSE,Industrials
GIII,G-III Apparel Group,NASDAQ,Consumer Cyclical
GILD,Gilead Sciences,NYSE,Healthcare
