ticker,name,exchange,sector_yf
TSN,Tyson Foods,NYSE,Consumer Defensive
TT,Trane Technologies,NYSE,Industrials
TTD,Trade Desk (The),NYSE,Communication Services
TTEC,TTEC Holdings,NASDAQ,Industrials
TTEK,Tetra Tech Inc,NASDAQ,Industrials
TTSH,Tile Shop Holdings,NASDAQ,Consumer Cyclical
TTWO,Take-Two Interactive,NYSE,Communication Services
TVTX,Travere Therapeutics,NASDAQ,Healthcare
TXN,Texas Instruments,NYSE,Technology
TXT,Textron,NYSE,Industrials
TYL,Tyler Technologies,NYSE,Technology
TZOO,Travelzoo,NASDAQ,Consumer Cyclical
UAL,United Airlines Holdings,NYSE,Industrials
UBER,Uber,NYSE,Industrials
UCBI,United Community Banks,NASDAQ,Financial Services
UCTT,Ultra Clean Holdings,NASDAQ,Technology
UDMY,Udemy Inc,NASDAQ,Consumer Cyclical
UDR,"UDR, Inc.",NYSE,Real Estate
UHS,Universal Health Services,NYSE,Healthcare
ULTA,Ulta Beauty,NYSE,Consumer Cyclical
UMBF,UMB Financial,NASDAQ,Financial Services
UNFI,United Natural Foods,NYSE,Consumer Defensive
UNH,UnitedHealth Group,NYSE,Healthcare
UNP,Union Pacific Corporation,NYSE,Industrials
UNTY,Unity Bancorp,NASDAQ,Financial Services
UPS,United Parcel Service,NYSE,Industrials
UPWK,Upwork Inc,NASDAQ,Technology
URI,United Rentals,NYSE,Industrials
USB,U.S. Bancorp,NYSE,Financial Services
USCF,United States Commodity Fund,NYSE,Financial Services
UVSP,Univest Financial,NASDAQ,Financial Services
V,Visa Inc.,NYSE,Financial Services
VCNX,Vaccinex Inc,NASDAQ,Healthcare
VIAV,Viavi Solutions,NASDAQ,Technology
VICI,Vici Properties,NYSE,Real Estate
VIVO,Meridian Bioscience,NASDAQ,Healthcare
VLO,Valero Energy,NYSE,Energy
VLTO,Veralto,NYSE,Industrials
VMC,Vulcan Materials Company,NYSE,Basic Materials
VRSK,Verisk Analytics,NYSE,Industrials
VRSN,Verisign,NYSE,Technology
VRTS,Virtus Investment Partners,NASDAQ,Financial Services
VRTX,Vertex Pharmaceuticals,NYSE,Healthcare
VSCO,Victoria's Secret & Co,NYSE,Consumer Cyclical
VSEC,VSE Corp,NASDAQ,Industrials
VST,Vistra Corp.,NYSE,Utilities
VTR,Ventas,NYSE,Real Estate
VTRS,Viatris,NYSE,Healthcare
VZ,Verizon,NYSE,Communication Services
WAB,Wabtec,NYSE,Industrials
WABC,Westamerica Bancorporation,NASDAQ,Financial Services
WAFD,Washington Federal,NASDAQ,Financial Services
WASH,Washington Trust Bancorp,NASDAQ,Financial Services
WAT,Waters Corporation,NYSE,Healthcare
WBD,Warner Bros. Discovery,NYSE,Communication Services
WDAY,"Workday, Inc.",NYSE,Technology
WDC,Western Digital,NYSE,Technology
WEC,WEC Energy Group,NYSE,Utilities
WELL,Welltower,NYSE,Real Estate
WERN,Werner Enterprises,NASDAQ,Industrials
WEYS,Weyco Group,NASDAQ,Consumer Cyclical
WFC,Wells Fargo,NYSE,Financial Services
WLKP,Westlake Chemical Partners,NYSE,Basic Materials
WM,Waste Management,NYSE,Industrials
WMB,Williams Companies,NYSE,Energy
WMT,Walmart,NYSE,Consumer Defensive
WNC,Wabash National Corp,NYSE,Industrials
WRB,W. R. Berkley Corporation,NYSE,Financial Services
WRLD,World Acceptance Corp,NASDAQ,Financial Services
WSM,"Williams-Sonoma, Inc.",NYSE,Consumer Cyclical
WST,West Pharmaceutical Services,NYSE,Healthcare
WTBA,West Bancorporation,NASDAQ,Financial Services
WTTR,Select Water Solutions,NYSE,Energy
WTW,Willis Towers Watson,NYSE,Financial Services
WY,Weyerhaeuser,NYSE,Real Estate
WYNN,Wynn Resorts,NYSE,Consumer Cyclical
XEL,Xcel Energy,NYSE,Utilities
XNCR,Xencor Inc,NASDAQ,Healthcare
XOM,ExxonMobil,NYSE,Energy
XYL,Xylem Inc.,NYSE,Industrials
XYZ,"Block, Inc.",NYSE,Financial Services
YELP,Yelp Inc,NYSE,Communication Services
YORW,York Water Co,NASDAQ,Utilities
YUM,Yum! Brands,NYSE,Consumer Cyclical
ZBH,Zimmer Biomet,NYSE,Healthcare
ZBRA,Zebra Technologies,NYSE,Technology
ZEUS,Olympic Steel,NASDAQ,Basic Materials
ZTS,Zoetis,NYSE,Healthcare
