ticker,type,signal_date,close,ama,ama2,roc,rsi,vol_ratio,total_pnl,win_rate,trades,avg_pnl,avg_hold,structure
KRE,ETF,2026-04-09,69.85,68.65,66.95,1.4451,70.0,0.71,0.67,46.9,49,0.014,0.6,CSP/CC
ONTO,Stock,2026-04-09,246.96,217.27,211.35,1.3979,67.1,0.86,62.0,71.7,46,1.348,1.6,CSP/CC
SIGI,Stock,2026-04-09,81.58,81.53,79.45,2.0652,65.8,0.94,24.13,55.5,164,0.147,0.9,CSP/CC
UNH,Stock,2026-04-09,306.91,298.01,288.78,1.513,66.1,0.62,13.2,62.2,185,0.071,1.0,CSP/CC
TXN,Stock,2026-04-09,214.98,201.7,198.29,1.2783,66.8,1.0,8.55,62.7,217,0.039,1.0,Spread
BAC,Stock,2026-04-09,52.71,50.95,49.83,1.1816,68.2,0.93,7.63,48.1,185,0.041,1.1,Spread
GOOGL,Stock,2026-04-09,318.49,298.52,296.41,1.0673,62.6,0.75,5.71,53.8,78,0.073,1.0,Spread
GOOG,Stock,2026-04-09,316.37,297.88,295.07,1.1188,62.7,0.67,4.14,56.6,76,0.054,1.1,Spread
AEIS,Stock,2026-04-09,374.98,336.6,331.3,1.0164,67.1,0.99,-0.09,58.1,198,-0.0,1.6,SKIP / Spread
AVGO,Stock,2026-04-09,354.91,327.93,324.7,1.3105,65.8,0.88,-1.67,58.8,68,-0.025,1.1,SKIP / Spread
NFLX,Stock,2026-04-09,102.05,100.94,98.36,1.7616,71.2,0.92,-6.55,59.3,189,-0.035,1.3,SKIP / Spread
ADI,Stock,2026-04-09,351.36,328.9,323.21,1.2042,68.0,0.9,-8.41,56.0,209,-0.04,1.2,SKIP / Spread
HWC,Stock,2026-04-09,68.27,66.5,64.95,1.29,67.9,0.95,-11.67,45.3,95,-0.123,1.1,SKIP / Spread
SNDK,Stock,2026-04-09,851.57,717.37,690.72,3.1419,68.3,0.94,-66.82,53.3,15,-4.455,2.7,SKIP / Spread
