variant,quarter,ticker,return_90d_pct,right_tail_bucket,mechanical_exclusion_category,mechanical_detail,candidate_rank_if_eligible,candidate_hc_score_if_eligible,entry_score_0_100,rm_signal_bucket,hp_signal_bucket,rm_flags_active,hp_flags_active,primary_theme
entry_score_top10,2025Q4,SNBR,137.428,2x_to_5x,not_variant_eligible,entry_score_below_70,,,26,1,0,rm_buy_review_flag,,
entry_score_top10,2023Q2,SYM,137.3552,2x_to_5x,not_variant_eligible,entry_score_below_70,,,37,1,2+,rm_buy_review_flag,,
entry_score_top10,2025Q4,SNDK,136.1943,2x_to_5x,not_variant_eligible,entry_score_below_70,,,22,1,2+,rm_buy_review_flag,,
entry_score_top10,2025Q3,IRWD,132.9545,2x_to_5x,not_variant_eligible,entry_score_below_70,,,62,1,0,rm_buy_review_flag,,
entry_score_top10,2025Q3,AXTI,130.8696,2x_to_5x,not_variant_eligible,entry_score_below_70,,,46,2+,0,rm_buy_review_flag,,
entry_score_top10,2022Q1,CRK,125.7104,2x_to_5x,eligible_but_ranked_below_top10,entry_score_ge_70,20,76.000000,76,1,0,rm_buy_review_flag,,
entry_score_top10,2024Q4,BE,124.2534,2x_to_5x,not_variant_eligible,entry_score_below_70,,,21,1,0,rm_buy_review_flag,,
entry_score_top10,2025Q2,BBBY,123.9131,2x_to_5x,not_variant_eligible,entry_score_below_70,,,33,1,0,rm_buy_review_flag,,
entry_score_top10,2023Q4,NNBR,120.9091,2x_to_5x,not_variant_eligible,entry_score_below_70,,,67,1,0,rm_buy_review_flag,,
entry_score_top10,2025Q4,TROX,120.0637,2x_to_5x,not_variant_eligible,entry_score_below_70,,,27,1,0,rm_buy_review_flag,,
entry_score_top10,2023Q4,IREN,117.4194,2x_to_5x,not_variant_eligible,entry_score_below_70,,,0,1,0,rm_buy_review_flag,,Low-cost renewable power for bitcoin mining
entry_score_top10,2024Q1,SLQT,117.3913,2x_to_5x,eligible_but_ranked_below_top10,entry_score_ge_70,30,78.000000,78,1,0,rm_buy_review_flag,,
entry_score_top10,2025Q2,AEHR,116.4051,2x_to_5x,not_variant_eligible,entry_score_below_70,,,28,1,0,rm_buy_review_flag,,
