variant,quarter_count,total_picks,avg_picks_per_quarter,avg_return_10d_pct,avg_return_20d_pct,avg_return_30d_pct,avg_return_60d_pct,avg_return_90d_pct,winner_90d_30pct_rate,loser_90d_minus30pct_rate
entry_score_top10,18,173,9.611111,3.842276,5.037979,5.999639,9.144472,15.256857,0.251852,0.061111
high_conviction_top10_v1,18,173,9.611111,3.983849,4.468309,5.479046,9.806778,15.485618,0.268518,0.072222
high_conviction_top10_v2_final,18,173,9.611111,4.061053,4.529229,5.583212,9.969742,15.502696,0.268518,0.072222
