quarter,side,count,sample_tickers
2024Q4,old_only,37,"APO,AVAV,AZZ,BTSGU,CAR,CEG,CRH,DRI,GEHC,GEV,GIII,HG,ITW,KNF,LILA,LILAK,MNST,MSGE,MSTR,NWE,NXT,ODFL,PHIN,QDEL,RJF,SHO,SILC,SJM,SOLV,SPG"
2024Q4,new_only,41,"AAOI,AAPL,AMZN,AVGO,AXTI,BKH,BRK-B,CHEF,CIFR,CL,CORZ,CVGW,CXW,FISV,FIVN,FWRD,GOOG,GOOGL,HSIC,HURC,KIM,LIN,LXFR,META,MIDD,MSFT,MU,NOW,NVCR,PHM"
2025Q1,old_only,49,"ANF,APO,AVAV,AZZ,BTSGU,CAR,CEG,CNXC,CRH,DRI,FCX,GEHC,GEV,GIII,HG,ICFI,IRWD,ITW,KBH,KNF,LILA,LILAK,MLKN,MNST,MSGE,MSTR,NEWT,NEWTG,NWE,NXT"
2025Q1,new_only,42,"AAOI,AAP,AAPL,AHR,AMKR,AMZN,AVA,AVGO,AXTI,BRK-B,CAG,CIFR,CLW,CNTY,EBF,GLW,GOOG,GOOGL,HGV,JILL,KOS,LOVE,META,MGPI,MOV,MSFT,MTD,MU,NATR,NCNO"
2025Q2,old_only,46,"APO,AVAV,AZZ,BTSGU,CAR,CEG,CNXC,CRH,DRI,EBF,FTV,GEHC,GEV,GIII,HG,ITW,KBH,KNF,LILA,LILAK,MNST,MSGE,MSTR,NFE,NWE,NXT,ODFL,PHIN,PRGS,QDEL"
2025Q2,new_only,44,"AAOI,AAPL,ADSK,AMGN,AMZN,AVGO,AXTI,BMEA,BNED,BRK-B,CC,CIFR,CODI,CRWV,CTAS,CTS,CVCO,CVGW,EXLS,FSTR,GOOG,GOOGL,IRTC,MCHP,MEI,META,MOS,MSFT,MU,NATR"
2025Q3,old_only,42,"APO,AVAV,AZZ,BTSGU,CAR,CEG,CNXC,CRH,DRI,GEHC,GIII,HG,ITW,KBH,KNF,LILA,LILAK,MNST,MSGE,MSTR,NEWT,NEWTG,NWE,NXT,ODFL,PHIN,PRGS,QDEL,RJF,SHO"
2025Q3,new_only,27,"AAOI,AAPL,AMZN,AVGO,AXTI,BMEA,BNED,BRK-B,CIFR,CNK,CODI,CRNC,CRWV,CTLP,GOOG,GOOGL,IREN,LBRDA,LBRDK,META,MSFT,MU,NVCR,SR,TSLA,TTD,WMT"
2025Q4,old_only,39,"APO,AVAV,AZZ,BTSGU,CAR,CEG,CRH,DRI,GEHC,GEV,GIII,HG,ITW,KBH,KNF,LILA,LILAK,MNST,MSGE,MSTR,NWE,NXT,ODFL,PHIN,QDEL,RJF,SHO,SILC,SJM,SNDK"
2025Q4,new_only,30,"AAOI,AAPL,AMZN,AVGO,AXTI,BMEA,BRK-B,CIFR,CRDO,CRWV,CVGW,FTAI,GOOG,GOOGL,HURC,INTA,IREN,LBRDA,LBRDK,LXU,META,MSFT,MU,NFE,NVCR,PLCE,SCL,TSLA,WMT,WSFS"
2026Q1,old_only,51,"APO,AVAV,AZZ,BTSGU,CAR,CEG,CNXC,CRH,DRI,FDS,GEHC,GEV,GIII,HG,HSY,ITW,JILL,KBH,KNF,LILA,LILAK,MNST,MSGE,MSTR,NCNO,NWE,NXT,ODFL,PHIN,PRGS"
2026Q1,new_only,36,"AAOI,AAPL,AES,AMKR,AMN,AMZN,AVGO,AXTI,BMEA,BRK-B,CAG,CIFR,CRWV,DBD,DRVN,EBF,GOOG,GOOGL,IREN,KOS,LBRDA,LBRDK,LOVE,LUV,META,MSFT,MTX,MU,QVCGA,QVCGP"
2026Q2,old_only,0,
2026Q2,new_only,1314,"A,AAOI,AAP,AAPL,AAT,ABG,ABM,ABNB,ABT,ACA,ACAD,ACCO,ACDC,ACGL,ACH,ACIW,ACLS,ACT,ACVA,AD,ADBE,ADEA,ADI,ADNT,ADSK,ADTN,ADUS,ADV,AEE,AEIS"
