variant,quarter_count,total_picks,avg_picks_per_quarter,avg_return_10d_pct,avg_return_20d_pct,avg_return_30d_pct,avg_return_60d_pct,avg_return_90d_pct,winner_90d_30pct_rate,loser_90d_minus30pct_rate,worst_quarter_avg_90d,best_quarter_avg_90d,2025Q1_avg_90d,2025Q1_loser_rate
high_conviction_top10_v2_final,18,173,9.611111,4.061053,4.529229,5.583212,9.969742,15.502696,0.268518,0.072222,-15.930040,50.320910,-15.930040,0.200000
high_conviction_top15_v3_exception_sleeve,18,191,10.611111,4.467868,5.422725,6.593222,11.057055,17.278760,0.288902,0.072203,-16.887155,50.320910,-16.887155,0.181818
top15_conservative_10_core_3_exception,18,182,10.111111,4.142873,4.941131,6.130814,10.450103,16.290022,0.278283,0.069697,-16.887155,50.320910,-16.887155,0.181818
top15_rm1_priority_max2_rm2plus,18,191,10.611111,4.467868,5.422725,6.593222,11.057055,17.278760,0.288902,0.072203,-16.887155,50.320910,-16.887155,0.181818
