ticker,cik,doc_type,accession,document,status,text_len,table_count,html_path,text_path
HCSG,731012,earnings_exhibit,0000731012-23-000115,ex99-2023xq3xpressrelease.htm,fetched,18772,11,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HCSG_000073101223000115_ex99-2023xq3xpressrelease.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HCSG_000073101223000115_ex99-2023xq3xpressrelease.htm.txt
HCSG,731012,periodic_10q_10k,0000731012-23-000119,hcsg-20230930.htm,fetched,157384,59,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HCSG_000073101223000119_hcsg-20230930.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HCSG_000073101223000119_hcsg-20230930.htm.txt
HE,354707,primary_8k,0000354707-23-000093,he-20231109.htm,fetched,4069,6,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HE_000035470723000093_he-20231109.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HE_000035470723000093_he-20231109.htm.txt
HE,354707,earnings_exhibit,0000354707-23-000093,heiexhibit99-8xk11x09x23.htm,fetched,26868,10,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HE_000035470723000093_heiexhibit99-8xk11x09x23.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HE_000035470723000093_heiexhibit99-8xk11x09x23.htm.txt
HE,354707,periodic_10q_10k,0000354707-23-000095,he-20230930.htm,fetched,512281,119,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HE_000035470723000095_he-20230930.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HE_000035470723000095_he-20230930.htm.txt
HELE,916789,primary_8k,0000916789-23-000044,hele-20231004.htm,fetched,25271,6,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HELE_000091678923000044_hele-20231004.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HELE_000091678923000044_hele-20231004.htm.txt
HELE,916789,earnings_exhibit,0000916789-23-000044,exhibit101cfoseveranceag.htm,fetched,3850,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HELE_000091678923000044_exhibit101cfoseveranceag.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HELE_000091678923000044_exhibit101cfoseveranceag.htm.txt
HELE,916789,earnings_exhibit,0000916789-23-000044,fy24_q2xex-991.htm,fetched,59129,35,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HELE_000091678923000044_fy24_q2xex-991.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HELE_000091678923000044_fy24_q2xex-991.htm.txt
HELE,916789,periodic_10q_10k,0000916789-23-000045,hele-20230831.htm,fetched,199158,55,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HELE_000091678923000045_hele-20230831.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HELE_000091678923000045_hele-20230831.htm.txt
HG,0001593275,primary_8k,0001593275-23-000010,hig-20231205.htm,fetched,3780,7,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HG_000159327523000010_hig-20231205.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HG_000159327523000010_hig-20231205.htm.txt
HG,0001593275,earnings_exhibit,0001593275-23-000010,a3q23pressrelease.htm,fetched,23511,9,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HG_000159327523000010_a3q23pressrelease.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HG_000159327523000010_a3q23pressrelease.htm.txt
HG,0001593275,periodic_10q_10k,0001593275-23-000015,hig-20230930.htm,fetched,254155,116,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HG_000159327523000015_hig-20230930.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HG_000159327523000015_hig-20230930.htm.txt
HGV,1674168,primary_8k,0001193125-23-270866,d570608d8k.htm,fetched,4657,12,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HGV_000119312523270866_d570608d8k.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HGV_000119312523270866_d570608d8k.htm.txt
HGV,1674168,earnings_exhibit,0001193125-23-270866,d570608dex991.htm,fetched,49116,63,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HGV_000119312523270866_d570608dex991.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HGV_000119312523270866_d570608dex991.htm.txt
HGV,1674168,earnings_exhibit,0001193125-23-270866,d570608dex992.htm,fetched,14451,20,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HGV_000119312523270866_d570608dex992.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HGV_000119312523270866_d570608dex992.htm.txt
HGV,1674168,periodic_10q_10k,0001628280-23-036943,hgv-20230930.htm,fetched,223592,73,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HGV_000162828023036943_hgv-20230930.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HGV_000162828023036943_hgv-20230930.htm.txt
HIG,874766,primary_8k,0000874766-23-000111,hig-20231026.htm,fetched,4202,6,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HIG_000087476623000111_hig-20231026.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HIG_000087476623000111_hig-20231026.htm.txt
HIG,874766,earnings_exhibit,0000874766-23-000111,ex991earningsnewsrelease93.htm,fetched,57696,28,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HIG_000087476623000111_ex991earningsnewsrelease93.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HIG_000087476623000111_ex991earningsnewsrelease93.htm.txt
HIG,874766,earnings_exhibit,0000874766-23-000111,ex992ifs9302023.htm,fetched,108073,90,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HIG_000087476623000111_ex992ifs9302023.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HIG_000087476623000111_ex992ifs9302023.htm.txt
HIG,874766,periodic_10q_10k,0000874766-23-000112,hig-20230930.htm,fetched,527159,264,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HIG_000087476623000112_hig-20230930.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HIG_000087476623000112_hig-20230930.htm.txt
HII,1501585,primary_8k,0001501585-23-000030,hii-20231102.htm,fetched,3182,10,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HII_000150158523000030_hii-20231102.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HII_000150158523000030_hii-20231102.htm.txt
HII,1501585,earnings_exhibit,0001501585-23-000030,hii2023q3earningsrelease.htm,fetched,30791,12,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HII_000150158523000030_hii2023q3earningsrelease.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HII_000150158523000030_hii2023q3earningsrelease.htm.txt
