ticker,filed,tradable_date,form,items,acceptance_datetime_utc,primary_document,ex99_1_document,periodic_filing_form,periodic_filing_date,earnings_score,earnings_score_bucket,guidance_torque,earnings_torque,segment_wave_torque,margin_quality,warning_penalty,guidance_vs_current_pct,score_status,score_missing_fields,extraction_source,llm_confidence,semantic_char_count,semantic_element_count,table_count,edgartools_available,numeric_evidence_count,guidance_evidence_count,wave_or_demand_evidence_count,warning_or_risk_evidence_count,quality_flags,quality_ok,json_path,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct
BE,2021-02-10,2021-02-11,8-K,"2.02,9.01",2021-02-10T21:07:34.000Z,be-20210210.htm,ex991be4q20inancialresults.htm,10-K,2021-02-26,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,30760,103,12,True,6,4,6,6,,True,Growth/earnings_8k_sec_parser/BE/json/BE_2021-02-10_8-K_0001664703-21-000010.json,39.980000,-28.4142,-33.4417,-25.5128,-39.6948,-51.7009
BE,2021-05-05,2021-05-06,8-K,"2.02,9.01",2021-05-05T20:10:33.000Z,be-20210505.htm,ex991be1q21financialresults.htm,10-Q,2021-05-06,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,26804,101,12,True,6,4,6,6,,True,Growth/earnings_8k_sec_parser/BE/json/BE_2021-05-05_8-K_0001664703-21-000041.json,21.100000,-7.0616,9.1943,21.4692,23.1754,-2.2749
BE,2021-08-04,2021-08-05,8-K,"2.02,9.01",2021-08-04T20:12:14.000Z,be-20210804.htm,ex991be2q21financialresults.htm,10-Q,2021-08-06,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,26800,98,12,True,6,4,6,6,,True,Growth/earnings_8k_sec_parser/BE/json/BE_2021-08-04_8-K_0001664703-21-000130.json,19.959999,1.5030,6.6132,7.7154,-15.2806,60.1703
BE,2021-11-04,2021-11-05,8-K,"2.02,9.01",2021-11-04T20:10:32.000Z,be-20211104.htm,ex991_bloomenergyannounces.htm,10-Q,2021-11-05,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,25355,101,12,True,6,2,6,6,,True,Growth/earnings_8k_sec_parser/BE/json/BE_2021-11-04_8-K_0001664703-21-000167.json,28.530001,6.4494,-4.3814,-14.3007,-24.4655,-50.6484
BE,2022-02-10,2022-02-11,8-K,"2.02,5.02,9.01",2022-02-10T21:16:47.000Z,be-20220207.htm,ex991be4q2021financialre.htm,10-K,2022-02-25,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,30105,33,0,True,6,4,6,6,,True,Growth/earnings_8k_sec_parser/BE/json/BE_2022-02-10_8-K_0001664703-22-000015.json,16.400000,6.8293,32.3171,25.9756,36.4024,-24.6951
BE,2022-05-05,2022-05-06,8-K,"2.02,9.01",2022-05-05T20:00:50.000Z,be-20220505.htm,ex991_1q2022financialresul.htm,10-Q,2022-05-06,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,28160,102,12,True,6,6,6,6,,True,Growth/earnings_8k_sec_parser/BE/json/BE_2022-05-05_8-K_0001664703-22-000056.json,15.820000,-11.1884,4.7408,19.3426,8.7231,44.6271
BE,2022-08-09,2022-08-10,8-K,"2.02,9.01",2022-08-09T20:01:12.000Z,be-20220809.htm,ex991_q22022financialresul.htm,10-Q,2022-08-09,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,28650,102,12,True,6,6,6,6,,True,Growth/earnings_8k_sec_parser/BE/json/BE_2022-08-09_8-K_0001664703-22-000067.json,25.750000,-4.0777,-1.3592,1.5146,-32.0388,-24.3107
BE,2022-11-03,2022-11-04,8-K,"2.02,9.01",2022-11-03T20:09:34.000Z,be-20221103.htm,ex991_q32022financialresul.htm,10-Q,2022-11-03,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,29155,100,12,True,6,5,6,6,,True,Growth/earnings_8k_sec_parser/BE/json/BE_2022-11-03_8-K_0001628280-22-028185.json,19.330000,11.5882,14.3818,8.7429,-0.7243,32.5918
BE,2023-02-09,2023-02-10,8-K,"2.02,9.01",2023-02-09T21:11:34.000Z,be-20230209.htm,ex991_q42022financialresul.htm,10-K,2023-02-21,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,34325,90,12,True,6,3,6,6,,True,Growth/earnings_8k_sec_parser/BE/json/BE_2023-02-09_8-K_0001628280-23-002960.json,25.650000,-12.7485,-15.4776,-22.2612,-26.1598,-48.4211
BE,2023-05-09,2023-05-10,8-K,"2.02,9.01",2023-05-09T20:05:53.000Z,be-20230509.htm,ex991_q12023financialresul.htm,10-Q,2023-05-09,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,28307,98,12,True,6,3,6,6,,True,Growth/earnings_8k_sec_parser/BE/json/BE_2023-05-09_8-K_0001628280-23-016807.json,17.570000,-15.8793,-20.6033,-13.8304,-1.1383,-10.3016
