filter,r,tickers,trades,pnl,pf,win_rate,avg_trade,avg_R,max_dd,gap_stop_rate
R3_core,3,76.0,2797.0,-865.5081636086107,0.8101038220638007,0.2609939220593493,-0.3094416030062963,-0.07007898904947282,-1114.2034075781703,0.07794065069717554
R4_core_reference,4,76.0,2797.0,-878.9164812937381,0.8138327813293856,0.22452627815516624,-0.31423542413076083,-0.08254657751472425,-1079.815936602652,0.08437611726850197
R4_sma5,4,76.0,2407.0,-812.1711068227878,0.8118727713589002,0.22808475280432072,-0.3374204847622716,-0.0856563429578893,-1034.943495996296,0.08890735355213959
