ticker,break_date,entry_date,r,filter,entry,stop,risk,exit_date,exit_price,reason,pnl,realized_R,close,sma5,sma10,sma20,sma200,ret5
AAOI,2015-06-22,2015-06-23,3,R3_core,18.06999969482422,18.790000915527344,0.720001220703125,2015-06-24,18.790000915527344,STOP,-0.720001220703125,-1.0,18.010000228881836,18.576000213623043,18.450000190734862,18.325000190734862,13.541050004959107,-0.05459312597532606
AAOI,2015-06-29,2015-06-30,3,R3_core,17.5,18.559999465942383,1.0599994659423828,2015-07-13,19.260000228881836,GAP_STOP,-1.760000228881836,-1.660378410961862,17.329999923706055,18.471999740600587,18.523999977111817,18.359500026702882,13.514750003814697,-0.03775681824175081
AAOI,2018-07-09,2018-07-10,3,R3_core,45.349998474121094,47.11000061035156,1.7600021362304688,2018-07-12,47.11000061035156,STOP,-1.7600021362304688,-1.0,45.33000183105469,45.86000061035156,44.10900039672852,43.62150058746338,38.12295014381409,0.009576843887810105
AAOI,2018-08-16,2018-08-17,3,R3_core,39.90999984741211,41.849998474121094,1.9399986267089844,2018-08-22,41.849998474121094,STOP,-1.9399986267089844,-1.0,39.58000183105469,41.476000213623045,40.40299949645996,39.709499740600585,36.496100130081174,-0.012967497826763985
AAOI,2020-01-21,2020-01-22,3,R3_core,13.75,14.100000381469728,0.35000038146972834,2020-01-22,14.100000381469728,STOP,-0.35000038146972834,-1.0,13.699999809265137,14.325,13.628500080108642,12.653249979019165,10.604100008010864,0.011816827759445037
AAOI,2020-07-28,2020-07-29,3,R3_core,13.289999961853027,13.920000076293944,0.6300001144409162,2020-07-30,13.920000076293944,STOP,-0.6300001144409162,-1.0,13.239999771118164,13.889999961853027,12.841499996185302,11.965249967575073,10.301999969482422,-0.04919212999885425
AAOI,2023-03-02,2023-03-03,3,R3_core,2.7300000190734863,2.8299999237060547,0.09999990463256836,2023-03-06,2.8299999237060547,STOP,-0.09999990463256836,-1.0,2.690000057220459,2.6859999656677247,2.775999975204468,2.7274999976158143,2.314300000667572,-0.11513154902121325
AAOI,2025-07-22,2025-07-23,3,R3_core,27.200000762939453,28.229999542236328,1.029998779296875,2025-07-29,24.110004425048828,TARGET,3.089996337890625,3.0,26.350000381469727,28.322999954223633,28.492000007629393,27.407000064849854,23.197300086021425,-0.09883718920213658
AAOI,2025-10-10,2025-10-13,3,R3_core,28.5,35.20000076293945,6.700000762939453,2025-10-20,35.20000076293945,STOP,-6.700000762939453,-1.0,27.149999618530273,31.372999954223634,29.306500053405763,28.822750091552734,23.08800008773804,-0.027926984537159583
AAPL,1999-12-20,1999-12-21,3,R3_core,0.8766739964485168,0.8895090222358704,0.012835025787353516,1999-12-21,0.8895090222358704,STOP,-0.012835025787353516,-1.0,0.875,0.8717631936073303,0.9136718034744262,0.9076729536056518,0.5370131161808968,-0.010101505960808277
AAPL,2000-02-11,2000-02-14,3,R3_core,0.9760040044784546,1.0189729928970337,0.0429689884185791,2000-02-14,1.0189729928970337,STOP,-0.0429689884185791,-1.0,0.970982015132904,1.0068080067634582,0.9624441027641296,0.961607101559639,0.6493722206354141,0.0069439829991713165
AAPL,2000-02-16,2000-02-17,3,R3_core,1.0284600257873535,1.0546879768371582,0.026227951049804688,2000-02-23,1.0546879768371582,STOP,-0.026227951049804688,-1.0,1.0189729928970337,1.019977605342865,1.0036272048950194,0.9785713970661163,0.6586077104508877,0.013318726663865688
AAPL,2000-03-14,2000-03-15,3,R3_core,1.0323660373687744,1.109375,0.07700896263122559,2000-03-17,1.109375,STOP,-0.07700896263122559,-1.0,1.020089030265808,1.0813616275787354,1.102176308631897,1.0612514048814774,0.7185777205228806,-0.07019333106960945
AAPL,2000-07-19,2000-07-20,3,R3_core,0.982142984867096,1.0145089626312256,0.03236597776412964,2000-07-20,1.0145089626312256,STOP,-0.03236597776412964,-1.0,0.9408479928970336,1.0087054014205932,1.0029017090797425,0.9746093541383744,0.9301395124197006,-0.10509553454021325
AAPL,2003-12-15,2003-12-16,3,R3_core,0.3605360090732574,0.3837499916553497,0.023213982582092285,2003-12-30,0.3837499916553497,STOP,-0.023213982582092285,-1.0,0.3601790070533752,0.3682146012783051,0.3727144986391068,0.3718841016292572,0.3438973193615675,-0.04180442271849827
AAPL,2004-01-28,2004-01-29,3,R3_core,0.404107004404068,0.4174999892711639,0.013392984867095892,2004-02-11,0.4174999892711639,STOP,-0.013392984867095892,-1.0,0.4021430015563965,0.40478559732437136,0.40794639885425565,0.4048570990562439,0.3630812546610832,-0.003980187785262657
AAPL,2004-02-13,2004-02-17,3,R3_core,0.4124999940395355,0.4303570091724396,0.017857015132904053,2004-03-01,0.4303570091724396,GAP_STOP,-0.017857015132904053,-1.0,0.4107140004634857,0.4149284064769745,0.4065713047981262,0.4056427523493767,0.37294106498360635,0.01276829814080882
AAPL,2004-03-15,2004-03-16,3,R3_core,0.4741069972515106,0.4883930087089538,0.014286011457443182,2004-03-26,0.4883930087089538,STOP,-0.014286011457443182,-1.0,0.4723210036754608,0.48550000190734866,0.46708940267562865,0.4385715022683144,0.38508213505148886,0.01730615212814457
AAPL,2004-07-02,2004-07-06,3,R3_core,0.5583930015563965,0.5751789808273315,0.01678597927093506,2004-07-15,0.5832139849662781,GAP_STOP,-0.024820983409881592,-1.4786735411295993,0.5550000071525574,0.5746785998344421,0.5836072027683258,0.5678304493427276,0.44141606479883194,-0.07774525979532687
AAPL,2004-12-17,2004-12-20,3,R3_core,1.1691069602966309,1.1971429586410522,0.028035998344421387,2005-01-07,1.1971429586410522,STOP,-0.028035998344421387,-1.0,1.1605360507965088,1.1680357933044434,1.1573930025100707,1.1479465514421463,0.6599473358690738,-0.0024557219982522804
AAPL,2005-01-11,2005-01-12,3,R3_core,1.1687500476837158,1.2348209619522097,0.06607091426849387,2005-01-13,1.316249966621399,GAP_STOP,-0.1474999189376831,-2.232448583022241,1.152856945991516,1.1850715637207032,1.1655179858207703,1.1574464917182923,0.7145384101569653,0.009696183804647873
AAPL,2005-03-29,2005-03-30,3,R3_core,1.502500057220459,1.5296430587768557,0.027143001556396706,2005-04-07,1.5296430587768557,STOP,-0.027143001556396706,-1.0,1.4910709857940674,1.5154285907745364,1.5114642977714539,1.499071443080902,0.9607571759819984,-0.044622538365920894
AAPL,2005-05-31,2005-06-01,3,R3_core,1.4246430397033691,1.4550000429153442,0.030357003211975098,2005-06-01,1.4550000429153442,STOP,-0.030357003211975098,-1.0,1.4199999570846558,1.4324284076690674,1.3807140946388246,1.3345177948474884,1.136963400542736,0.0
AAPL,2005-09-01,2005-09-02,3,R3_core,1.6535710096359253,1.684643030166626,0.031072020530700684,2005-09-06,1.684643030166626,STOP,-0.031072020530700684,-1.0,1.6521430015563965,1.6521428108215332,1.6448927998542786,1.626589298248291,1.378991068005562,0.004342261831431493
AAPL,2006-12-07,2006-12-08,3,R3_core,3.115356922149658,3.232142925262451,0.11678600311279297,2006-12-27,2.7649989128112793,TARGET,0.3503580093383789,3.0,3.1085710525512695,3.2184286594390867,3.239357113838196,3.149499940872192,2.469374976158142,-0.0504036604451219
AAPL,2007-03-28,2007-03-29,3,R3_core,3.363929033279419,3.4071431159973145,0.04321408271789551,2007-04-13,3.2342867851257324,TARGET,0.12964224815368652,3.0,3.3299999237060547,3.3716427803039553,3.3131071805953978,3.226089358329773,2.76290713429451,-0.006711420851004624
