ticker,fvg_form_date,fvg_age_bars,fvg_age_calendar_days,fvg_low,fvg_gap_size,fvg_gap_pct,break_date,entry_date,broken_support,break_high,break_low,break_range_pct,stop_source,support_distance_pct,support_ratcheted_count,atr14,risk_atr,volume_zscore_20,prior_close,prior_sma20,entry,stop,r_multiple,target,exit_date,exit_price,reason,pnl
MU,2000-03-01,1,1,50.5625,10.8125,0.2720125786163522,2000-03-02,2000-03-03,50.5625,50.03125,46.0,0.08269230769230769,SUPPORT,-0.03717948717948718,3,3.5200892857142856,0.9232720355104629,0.4569566801459986,48.75,37.0515625,47.3125,50.5625,3.0,37.5625,2000-03-07,50.5625,STOP,-3.25
MU,2000-03-20,1,1,63.5,6.0625,0.10554951033732318,2000-03-21,2000-03-22,63.5,69.0,56.0,0.2180293501048218,BREAK_HIGH,-0.0649895178197065,1,6.091517857142857,0.7387321363136681,-0.09668624432785866,59.625,50.8890625,64.5,69.0,3.0,51.0,2000-03-22,69.0,STOP,-4.5
MU,2000-06-09,1,3,80.0,2.0,0.02564102564102564,2000-06-12,2000-06-13,80.0,82.0,78.375,0.04559748427672956,BREAK_HIGH,-0.006289308176100629,6,4.616071428571429,0.7446808510638298,-0.12507601925707926,79.5,69.690625,78.5625,82.0,3.0,68.25,2000-06-13,82.0,STOP,-3.4375
MU,2000-06-21,1,1,87.5,6.0,0.0736196319018405,2000-06-22,2000-06-23,87.5,93.0,84.125,0.10215827338129496,BREAK_HIGH,-0.007194244604316547,1,5.160714285714286,1.4048442906574394,0.2757644335315422,86.875,78.159375,85.75,93.0,3.0,64.0,2000-07-10,93.0,STOP,-7.25
MU,2000-08-24,1,1,90.25,0.5,0.005571030640668524,2000-08-25,2000-08-28,90.25,91.75,88.0625,0.04143258426966292,BREAK_HIGH,-0.014044943820224719,2,4.066964285714286,0.4610318331503842,-0.9218596098159564,89.0,82.95,89.875,91.75,3.0,84.25,2000-08-30,84.25,TARGET_3R,5.625
MU,2001-08-02,1,1,43.849998474121094,0.8299980163574219,0.019293305614264237,2001-08-03,2001-08-06,43.849998474121094,44.0,42.75,0.028768699149625418,BREAK_HIGH,-0.009205931050818702,2,1.8764291490827287,0.8260366440258331,-0.2819787112161822,43.45000076293945,39.93250007629395,42.45000076293945,44.0,3.0,37.80000305175781,2001-08-14,37.80000305175781,TARGET_3R,4.649997711181641
MU,2003-07-14,2,2,14.149999618530272,0.04999923706054332,0.003546045085662019,2003-07-16,2003-07-17,14.149999618530272,14.399999618530272,13.529999732971191,0.062499991436114184,BREAK_HIGH,-0.016522955529865425,4,0.6764285223824633,1.1087645999290643,0.5183243958698601,13.920000076293944,13.001999998092652,13.649999618530272,14.399999618530272,3.0,11.399999618530272,2003-07-21,14.399999618530272,STOP,-0.75
MU,2003-07-24,1,1,14.800000190734863,0.35000038146972656,0.024221480006201192,2003-07-25,2003-07-28,14.800000190734863,15.140000343322754,14.029999732971191,0.07576796172387347,BREAK_HIGH,-0.010238947174774063,2,0.7928571019853862,1.185586320288701,0.2586061837411002,14.649999618530272,13.736500024795532,14.199999809265137,15.140000343322754,3.0,11.379998207092285,2003-08-01,15.140000343322754,STOP,-0.9400005340576172
MU,2003-10-30,1,1,14.649999618530272,0.36999988555908025,0.025910356616098872,2003-10-31,2003-11-03,14.649999618530272,14.75,14.199999809265137,0.03835426672820548,BREAK_HIGH,-0.021617814689244372,4,0.5314286095755439,0.3763437000971364,-1.0154488274893427,14.34000015258789,13.337500095367432,14.550000190734863,14.75,3.0,13.950000762939453,2003-11-03,14.75,STOP,-0.19999980926513672
MU,2004-01-08,3,5,15.18000030517578,0.5900001525878888,0.04043866664958451,2004-01-13,2004-01-14,15.18000030517578,15.25,14.649999618530272,0.04037687720942322,BREAK_HIGH,-0.021534364461088203,3,0.4678570883614679,0.7908395421663867,0.3003536261343722,14.859999656677246,13.58450002670288,14.880000114440918,15.25,3.0,13.770000457763672,2004-01-27,15.579999923706056,GAP_STOP,-0.6999998092651385
