ticker,type,entry_date,entry_price,quantity,stop_loss,take_profit,exit_date,exit_price,reason,pnl,status
AVGO,EQ_SHORT,2009-09-16,1.7400000095367432,1.0,1.746000051498413,1.653000009059906,2009-09-16,1.746000051498413,STOP_LOSS,-0.006000041961669922,CLOSED
AVGO,EQ_SHORT,2009-09-22,1.7124539811611172,1.0,1.7899999618530271,1.6268312821030613,2009-09-22,1.725000023841858,SMA10_TRAIL,-0.012546042680740666,CLOSED
AVGO,EQ_SHORT,2009-10-06,1.6783740375041962,1.0,1.7330000400543213,1.5944553356289863,2009-10-07,1.5944553356289863,TAKE_PROFIT,0.08391870187520989,CLOSED
AVGO,EQ_SHORT,2009-10-14,1.684000015258789,1.0,1.7200000286102295,1.5998000144958495,2009-10-14,1.6859999895095823,SMA10_TRAIL,-0.001999974250793235,CLOSED
AVGO,EQ_SHORT,2009-11-04,1.490350035190582,1.0,1.5190000534057615,1.4158325334310529,2009-11-04,1.5190000534057615,STOP_LOSS,-0.02865001821517943,CLOSED
AVGO,EQ_SHORT,2009-11-25,1.5768000004291534,1.0,1.6150000095367432,1.4979600004076956,2009-11-27,1.5859999656677246,SMA10_TRAIL,-0.00919996523857125,CLOSED
AVGO,EQ_SHORT,2010-04-30,2.1570000648498535,1.0,2.203000068664551,2.0491500616073606,2010-05-03,2.0491500616073606,TAKE_PROFIT,0.10785000324249294,CLOSED
AVGO,EQ_SHORT,2010-05-10,2.004555935382843,1.0,2.0969998836517334,1.9043281386137008,2010-05-10,2.0739998817443848,SMA10_TRAIL,-0.06944394636154172,CLOSED
AVGO,EQ_SHORT,2010-05-18,2.059999942779541,1.0,2.0920000076293945,1.9569999456405638,2010-05-19,1.9569999456405638,TAKE_PROFIT,0.10299999713897723,CLOSED
AVGO,EQ_SHORT,2010-09-14,1.957801967382431,1.0,2.0299999713897705,1.8599118690133094,2010-09-17,2.0299999713897705,STOP_LOSS,-0.07219800400733956,CLOSED
AVGO,EQ_SHORT,2010-12-09,2.5969379153251646,1.0,2.688999891281128,2.4670910195589064,2010-12-13,2.6579999923706055,SMA10_TRAIL,-0.061062077045440866,CLOSED
AVGO,EQ_SHORT,2011-01-26,2.8360939564704895,1.0,2.9059998989105225,2.6942892586469647,2011-01-26,2.825000047683716,SMA10_TRAIL,0.011093908786773632,CLOSED
AVGO,EQ_SHORT,2011-02-25,3.424000024795532,1.0,3.4070000648498535,3.2528000235557553,2011-02-25,3.4070000648498535,STOP_LOSS,0.016999959945678267,CLOSED
AVGO,EQ_SHORT,2011-03-21,3.091504033565521,1.0,3.255000114440918,2.936928831887245,2011-03-21,3.0989999771118164,SMA10_TRAIL,-0.007495943546295347,CLOSED
AVGO,EQ_SHORT,2011-05-25,3.3785139441490175,1.0,3.5209999084472656,3.2095882469415664,2011-05-25,3.450000047683716,SMA10_TRAIL,-0.07148610353469831,CLOSED
AVGO,EQ_SHORT,2011-06-21,3.359286099910736,1.0,3.446000099182129,3.1913217949151993,2011-06-21,3.4070000648498535,SMA10_TRAIL,-0.04771396493911739,CLOSED
AVGO,EQ_SHORT,2011-07-20,3.669896044254303,1.0,3.812000036239624,3.4864012420415875,2011-07-21,3.6760001182556152,SMA10_TRAIL,-0.0061040740013122985,CLOSED
AVGO,EQ_SHORT,2011-12-02,3.0591999478340153,1.0,3.211999893188477,2.9062399504423144,2011-12-02,3.115999937057495,SMA10_TRAIL,-0.05679998922347984,CLOSED
AVGO,EQ_SHORT,2012-01-03,3.001650052547455,1.0,3.1640000343322754,2.851567549920082,2012-01-03,2.8949999809265137,SMA10_TRAIL,0.10665007162094131,CLOSED
AVGO,EQ_SHORT,2012-01-09,2.9348699927330015,1.0,3.0169999599456787,2.7881264930963514,2012-01-09,3.0169999599456787,STOP_LOSS,-0.08212996721267718,CLOSED
AVGO,EQ_SHORT,2012-02-09,3.500999927520752,1.0,3.5480000972747803,3.3259499311447143,2012-02-09,3.513000011444092,SMA10_TRAIL,-0.012000083923339844,CLOSED
AVGO,EQ_SHORT,2012-03-08,3.630000114440918,1.0,3.7300000190734863,3.448500108718872,2012-03-09,3.677000045776367,SMA10_TRAIL,-0.04699993133544922,CLOSED
AVGO,EQ_SHORT,2012-04-25,3.453000068664551,1.0,3.575000047683716,3.280350065231323,2012-05-02,3.4779999256134033,SMA10_TRAIL,-0.02499985694885254,CLOSED
AVGO,EQ_SHORT,2012-05-22,3.0940001010894775,1.0,3.1659998893737793,2.9393000960350033,2012-05-22,3.127000093460083,SMA10_TRAIL,-0.03299999237060547,CLOSED
AVGO,EQ_SHORT,2012-06-06,3.2157599935531618,1.0,3.3380000591278076,3.0549719938755033,2012-06-06,3.296999931335449,SMA10_TRAIL,-0.08123993778228744,CLOSED
AVGO,EQ_SHORT,2012-07-18,3.3332740349769594,1.0,3.4070000648498535,3.1666103332281113,2012-07-18,3.378999948501587,SMA10_TRAIL,-0.045725913524627515,CLOSED
AVGO,EQ_SHORT,2012-07-26,3.5132859053611756,1.0,3.5999999046325684,3.3376216100931164,2012-07-26,3.5439999103546143,SMA10_TRAIL,-0.03071400499343868,CLOSED
AVGO,EQ_SHORT,2012-09-07,3.6710000038146977,1.0,3.680000066757202,3.487450003623963,2012-09-07,3.680000066757202,STOP_LOSS,-0.009000062942504439,CLOSED
AVGO,EQ_SHORT,2012-09-27,3.408949993610382,1.0,3.513999938964844,3.238502493929863,2012-09-27,3.490000009536743,SMA10_TRAIL,-0.08105001592636096,CLOSED
AVGO,EQ_SHORT,2012-10-26,3.3708580594062805,1.0,3.440000057220459,3.2023151564359664,2012-10-26,3.382999897003174,SMA10_TRAIL,-0.012141837596893357,CLOSED
AVGO,EQ_SHORT,2012-11-20,3.3320000171661377,1.0,3.388999938964844,3.1654000163078306,2012-11-23,3.3550000190734863,SMA10_TRAIL,-0.023000001907348633,CLOSED
AVGO,EQ_SHORT,2012-12-31,3.157531967639923,1.0,3.2239999771118164,2.9996553692579266,2012-12-31,3.1649999618530273,SMA10_TRAIL,-0.007467994213104401,CLOSED
AVGO,EQ_SHORT,2013-02-27,3.380000114440918,1.0,3.447000026702881,3.211000108718872,2013-03-05,3.433000087738037,SMA10_TRAIL,-0.05299997329711914,CLOSED
AVGO,EQ_SHORT,2013-05-29,3.464407968044281,1.0,3.5239999294281006,3.291187569642067,2013-05-29,3.443000078201294,SMA10_TRAIL,0.02140788984298725,CLOSED
