ticker,variant,break_date,entry_date,passed_variant,reject_reasons,vol_profile,vol_regime,broken_support,support_distance_pct,fvg_age_bars,support_ratcheted_count,stop_source,entry,stop,risk,gap_pct,risk_pct,risk_atr,close_vs_sma10,ret5,atr_pct,break_range_pct,bearish_fvg_count_since_support,bearish_fvg_sequence_max_since_support,last_bearish_fvg_age_bars,bearish_fvg_gap_sum_since_support,bearish_fvg_gap_max_since_support,bearish_confirmation_source,has_break_day_bearish_fvg,has_bearish_fvg_sequence,has_bearish_fvg_since_support,has_range_displacement
AAOI,adaptive-v2,2013-10-14,2013-10-15,False,MISSING_INDICATORS,MISSING_INDICATORS,UNKNOWN_RELATIVE_VOL,10.0600004196167,-0.006000041961669922,5,0,SUPPORT,9.779999732971191,10.0600004196167,0.2800006866455078,,,,,,,0.09800004959106427,0,0,-1,0.0,0.0,NONE,False,False,False,False
AAOI,adaptive-v2,2013-10-24,2013-10-25,False,MISSING_INDICATORS,MISSING_INDICATORS,UNKNOWN_RELATIVE_VOL,12.670000076293944,-0.004758161875518056,2,2,BREAK_HIGH,12.449999809265137,13.489999771118164,1.0399999618530273,,,,,,,0.0824742260244493,0,0,-1,0.0,0.0,NONE,False,False,False,False
AAOI,adaptive-v2,2013-12-03,2013-12-04,False,MISSING_INDICATORS,MISSING_INDICATORS,UNKNOWN_RELATIVE_VOL,12.56999969482422,-0.02112098020672667,5,0,BREAK_HIGH,12.380000114440918,13.0,0.619999885559082,,,,,,,0.06498782806375998,0,0,-1,0.0,0.0,NONE,False,False,False,False
AAOI,adaptive-v2,2014-01-03,2014-01-06,False,MISSING_INDICATORS,MISSING_INDICATORS,UNKNOWN_RELATIVE_VOL,14.5,-0.010452934811344492,17,1,BREAK_HIGH,14.350000381469728,14.75,0.39999961853027166,,,,,,,0.03414632460574041,0,0,-1,0.0,0.0,NONE,False,False,False,False
AAOI,adaptive-v2,2014-01-09,2014-01-10,False,MISSING_INDICATORS,MISSING_INDICATORS,UNKNOWN_RELATIVE_VOL,14.5,-0.02401131046975465,1,0,BREAK_HIGH,14.15999984741211,14.649999618530272,0.4899997711181623,,,,,,,0.04519769749611985,0,0,-1,0.0,0.0,NONE,False,False,False,False
AAOI,adaptive-v2,2014-01-23,2014-01-24,False,MISSING_INDICATORS,MISSING_INDICATORS,UNKNOWN_RELATIVE_VOL,14.149999618530272,-0.03058995559336591,3,0,BREAK_HIGH,13.460000038146973,14.359999656677246,0.8999996185302734,,,,,,,0.05535319013446448,0,0,-1,0.0,0.0,NONE,False,False,False,False
AAOI,adaptive-v2,2014-01-29,2014-01-30,False,MISSING_INDICATORS,MISSING_INDICATORS,UNKNOWN_RELATIVE_VOL,13.760000228881836,-0.011021350182841304,1,0,BREAK_HIGH,13.670000076293944,13.81999969482422,0.149999618530277,,,,,,,0.018368846899812132,0,0,-1,0.0,0.0,NONE,False,False,False,False
AAOI,adaptive-v2,2014-03-14,2014-03-17,False,MISSING_INDICATORS,MISSING_INDICATORS,UNKNOWN_RELATIVE_VOL,26.18000030517578,-0.03070868891180878,3,6,BREAK_HIGH,25.549999237060547,26.299999237060547,0.75,,,,,,,0.049212599164295934,0,0,-1,0.0,0.0,NONE,False,False,False,False
AAOI,adaptive-v2,2014-04-28,2014-04-29,False,MISSING_INDICATORS,MISSING_INDICATORS,UNKNOWN_RELATIVE_VOL,23.15999984741211,-0.021164000695660833,5,1,BREAK_HIGH,22.600000381469727,24.25,1.6499996185302734,,,,,,,0.0909171184705688,0,0,-1,0.0,0.0,NONE,False,False,False,False
AAOI,adaptive-v2,2014-06-02,2014-06-03,False,MISSING_INDICATORS,MISSING_INDICATORS,UNKNOWN_RELATIVE_VOL,20.799999237060547,-0.014634109124904725,1,3,BREAK_HIGH,20.34000015258789,21.5,1.1599998474121094,,,,,,,0.0721950996212843,0,0,-1,0.0,0.0,NONE,False,False,False,False
AAOI,adaptive-v2,2014-07-17,2014-07-18,False,CLOSE_VS_SMA10;RISK_PCT;RISK_ATR;GAP;FVG_AGE,HIGH_VOL,UNKNOWN_RELATIVE_VOL,21.69099998474121,-0.010764254898579887,25,1,BREAK_HIGH,21.38999938964844,22.989999771118164,1.600000381469723,-0.003261868490705731,0.07480132899134319,1.6035508985796911,-0.055790249923766445,-0.05420896521085283,0.04649514833565987,0.0894687864960422,1,1,7,0.45999908447265625,0.45999908447265625,BEARISH_FVG_SINCE_SUPPORT,False,False,True,True
AAOI,adaptive-v2,2014-07-23,2014-07-24,False,CLOSE_VS_SMA10;RISK_ATR;SUPPORT_DISTANCE,HIGH_VOL,UNKNOWN_RELATIVE_VOL,22.13800048828125,-0.036908669448804846,1,0,BREAK_HIGH,21.520000457763672,23.079999923706055,1.5599994659423828,0.007962532705221553,0.07249067996090999,1.4427263719604388,-0.048192214689414335,-0.05153264485194242,0.0506457016319974,0.09695548748658714,0,0,-1,0.0,0.0,RANGE_DISPLACEMENT,False,False,False,True
