ticker,variant,fvg_form_date,fvg_age_bars,fvg_age_calendar_days,fvg_low,fvg_gap_size,fvg_gap_pct,break_date,entry_date,broken_support,break_high,break_low,break_range_pct,stop_source,support_distance_pct,support_ratcheted_count,atr14,risk_atr,volume_zscore_20,ret5,entry_gap_pct,risk_pct,close_vs_sma10,sma10_sma20_spread,sma20_sma200_spread,prior_close,prior_sma20,entry,stop,r_multiple,target,exit_date,exit_price,reason,pnl,risk,realized_R
AAPL,r3-v5-broad,2004-12-16,1,1,1.1794639825820925,0.003034949302673562,0.0025797980301568413,2004-12-17,2004-12-20,1.1794639825820925,1.1971429586410522,1.1589289903640747,0.03292785971685258,BREAK_HIGH,-0.01630964567847155,1,0.04076525994709557,0.6877424154980493,-0.38629954957674106,-0.0024557219982522804,0.007385302243941161,0.023980695775951903,0.002715627517724455,0.00822899903837595,0.7394517547834848,1.1605360507965088,1.1479465514421463,1.1691069602966309,1.1971429586410522,3.0,1.0849989652633667,2005-01-07,1.1971429586410522,STOP,-0.028035998344421387,0.028035998344421387,-1.0
AAPL,r3-v5-broad,2005-03-18,6,11,1.5178569555282593,0.006785988807678223,0.004490847191912894,2005-03-29,2005-03-30,1.5178569555282593,1.5296430587768557,1.4821430444717407,0.03185630647880853,BREAK_HIGH,-0.017964248509555077,1,0.04163258416312083,0.6519653320112818,-0.7371587326525075,-0.044622538365920894,0.007665008262705259,0.018065224973508313,-0.013492420566899897,0.008267020726565218,0.5603021039615841,1.4910709857940674,1.499071443080902,1.502500057220459,1.5296430587768557,3.0,1.4210710525512689,2005-04-07,1.5296430587768557,STOP,-0.027143001556396706,0.027143001556396706,-1.0
AAPL,r3-v5-broad,2005-08-31,1,1,1.652500033378601,0.008571028709411399,0.0052137462658469,2005-09-01,2005-09-02,1.652500033378601,1.684643030166626,1.646070957183838,0.023346691507001135,BREAK_HIGH,-0.00021610225135974855,0,0.04153059210096085,0.7481718646140324,-0.33250200313152967,0.004342261831431493,0.0008643368510979726,0.018790859509288303,0.004407704686141354,0.011252687833185076,0.17955027845164437,1.6521430015563965,1.626589298248291,1.6535710096359253,1.684643030166626,3.0,1.5603549480438232,2005-09-06,1.684643030166626,STOP,-0.031072020530700684,0.031072020530700684,-1.0
AAPL,r3-v5-broad,2007-03-27,1,1,3.392857074737549,0.03321409225463867,0.0098861969643251,2007-03-28,2007-03-29,3.392857074737549,3.4071431159973145,3.3267860412597656,0.024131254227813037,BREAK_HIGH,-0.018876021763249342,3,0.06020396096365795,0.7177946770642157,0.9351467344538452,-0.006711420851004624,0.010188922027242437,0.012846312240947327,0.005098761431443073,0.026973159327079558,0.167643066350666,3.3299999237060547,3.226089358329773,3.363929033279419,3.4071431159973145,3.0,3.2342867851257324,2007-04-13,3.2342867851257324,TARGET_3R,0.12964224815368652,0.04321408271789551,3.0
AAPL,r3-v5-broad,2007-05-23,1,1,4.021070957183838,0.005000114440917969,0.0012450264541406747,2007-05-24,2007-05-25,4.021070957183838,4.087856769561768,3.941786050796509,0.03694986442599506,BREAK_HIGH,-0.01716502781108066,8,0.09721950122288282,0.9036949218691166,0.7560942532223961,0.011421802292156169,0.01183494510970129,0.021964192390441895,0.004884108415053118,0.03647593623930908,0.2436078976458841,3.953213930130005,3.795553481578827,4.0,4.087856769561768,3.0,3.7364296913146973,2007-05-29,4.087856769561768,STOP,-0.08785676956176758,0.08785676956176758,-1.0
AAPL,r3-v5-broad,2007-07-27,1,3,5.135000228881836,0.1935710906982422,0.039173098568281085,2007-07-30,2007-07-31,5.135000228881836,5.194643020629883,4.98464298248291,0.041575347328163564,BREAK_HIGH,-0.016616091738740346,0,0.15869913782392228,0.5581128323289538,-0.015277997398061205,-0.015796881207676305,0.010888745479975953,0.017346414763928265,0.004538594554416738,0.03281296819977578,0.38773317849197925,5.0510711669921875,4.86850004196167,5.1060709953308105,5.194643020629883,3.0,4.840354919433594,2007-07-31,4.840354919433594,TARGET_3R,0.2657160758972168,0.08857202529907227,3.0
AAPL,r3-v5-broad,2007-12-26,4,7,7.029285907745361,0.10392904281616211,0.015007030661837903,2008-01-02,2008-01-03,7.029285907745361,7.1521430015563965,6.876786231994629,0.039570879029047885,BREAK_HIGH,-0.01016228058844744,2,0.20431116649082728,0.8477948695379357,1.0045283909004337,-0.01991957033076175,0.0029256129969195887,0.024819561522628472,0.006254171700288503,0.012153426786507559,0.3745127676497177,6.958570957183838,6.83228566646576,6.978929042816162,7.1521430015563965,3.0,6.459287166595459,2008-01-04,6.459287166595459,TARGET_3R,0.5196418762207031,0.17321395874023438,3.0
AAPL,r3-v5-broad,2009-08-03,3,3,5.888214111328125,0.005357265472412109,0.0009106571199647896,2009-08-06,2009-08-07,5.888214111328125,5.946785926818848,5.824643135070801,0.020865096049966364,BREAK_HIGH,-0.005856761887819074,8,0.12428569793701172,0.29310635881617214,-0.9395784702538527,0.006880022321565926,0.009639330305291075,0.006163574955766142,0.007251317739861227,0.04462765118213808,0.3844447570942079,5.853929042816162,5.563499999046326,5.9103569984436035,5.946785926818848,3.0,5.801070213317871,2009-08-07,5.946785926818848,STOP,-0.03642892837524414,0.03642892837524414,-1.0
AAPL,r3-v5-broad,2009-08-24,2,2,6.009643077850342,0.05535697937011719,0.009296996895101587,2009-08-26,2009-08-27,6.009643077850342,6.055356979370117,5.955714225769043,0.016665652475136423,BREAK_HIGH,-0.005137046252636732,2,0.11760200772966657,0.24294762816372753,-1.4742316189533393,0.017071837486840158,0.008004244132357018,0.004740690901224978,0.005580287900491913,0.005818086188120788,0.41405049567933216,5.978929042816162,5.911357259750366,6.026785850524902,6.055356979370117,3.0,5.941072463989258,2009-08-27,6.055356979370117,STOP,-0.028571128845214844,0.028571128845214844,-1.0
AAPL,r3-v5-broad,2010-01-04,2,2,7.585000038146973,0.01357126235961914,0.001792430829306436,2010-01-06,2010-01-07,7.585000038146973,7.68678617477417,7.526785850524902,0.021235288861189326,BREAK_HIGH,-0.0066833775364698025,0,0.13311239651271287,0.9336934652987035,0.5086995284871145,0.008943166728081708,0.0036971660292082443,0.016434535507328252,0.007526545213236445,0.03547364754035489,0.24184239535741506,7.534643173217773,7.222160601615906,7.5625,7.68678617477417,3.0,7.18964147567749,2010-01-20,7.68678617477417,STOP,-0.12428617477416992,0.12428617477416992,-1.0
