ticker,variant,fvg_form_date,fvg_age_bars,fvg_age_calendar_days,fvg_low,fvg_gap_size,fvg_gap_pct,break_date,entry_date,broken_support,break_high,break_low,break_range_pct,stop_source,support_distance_pct,support_ratcheted_count,atr14,risk_atr,volume_zscore_20,risk_pct,close_vs_sma10,sma20_sma200_spread,prior_close,prior_sma20,entry,stop,r_multiple,target,exit_date,exit_price,reason,pnl,realized_R
AAPL,r3-v5-broad,2003-06-12,1,1,0.3116070032119751,0.002856999635696411,0.009253440008432489,2003-06-13,2003-06-16,0.3116070032119751,0.3205359876155853,0.3058930039405823,0.04707280099246863,BREAK_HIGH,-0.001723062431385278,0,0.012257850595882969,0.5098768328629084,-1.1932108215017367,0.019886326999243673,0.0025312403198588193,0.1763946529567634,0.3110710084438324,0.3179196000099182,0.3142859935760498,0.3205359876155853,3,0.29553601145744324,2003-06-16,0.3205359876155853,STOP,-0.0062499940395355225,-1.0
AAPL,r3-v5-broad,2003-08-14,1,1,0.3560709953308105,0.002499997615814209,0.007070708943807058,2003-08-15,2003-08-18,0.3560709953308105,0.3583930134773254,0.3510710000991821,0.02080330216414089,BREAK_HIGH,-0.01166880271824983,0,0.012640282511711117,0.2966726592201822,-1.4039060006974473,0.010574088198131002,-0.014550023605002368,0.2511653688892262,0.351963996887207,0.36433934718370437,0.3546429872512817,0.3583930134773254,3,0.3433929085731506,2003-08-18,0.3583930134773254,STOP,-0.003750026226043701,-1.0
AAPL,r3-v5-broad,2003-09-02,5,7,0.4000000059604645,0.003214001655578669,0.008100088260948506,2003-09-09,2003-09-10,0.4000000059604645,0.4048210084438324,0.395000010728836,0.024585438086606702,BREAK_HIGH,-0.00134178487454442,2,0.01290813939911979,0.5810304969495792,-0.6057353293550226,0.01887648253659649,0.0005808895403335647,0.27683923776624314,0.3994640111923218,0.3823392480611801,0.3973209857940674,0.4048210084438324,3,0.37482091784477234,2003-09-11,0.4048210084438324,STOP,-0.007500022649765015,-1.0
AAPL,r3-v5-broad,2004-12-16,1,1,1.1794639825820925,0.003034949302673562,0.0025797980301568413,2004-12-17,2004-12-20,1.1794639825820925,1.1971429586410522,1.1589289903640747,0.03292785971685258,BREAK_HIGH,-0.01630964567847155,1,0.04076525994709557,0.6877424154980493,-0.38629954957674106,0.023980695775951903,0.002715627517724455,0.7394517547834848,1.1605360507965088,1.1479465514421463,1.1691069602966309,1.1971429586410522,3,1.0849989652633667,2005-01-07,1.1971429586410522,STOP,-0.028035998344421387,-1.0
AAPL,r3-v5-broad,2005-03-18,6,11,1.5178569555282593,0.006785988807678223,0.004490847191912894,2005-03-29,2005-03-30,1.5178569555282593,1.5296430587768557,1.4821430444717407,0.03185630647880853,BREAK_HIGH,-0.017964248509555077,1,0.04163258416312083,0.6519653320112818,-0.7371587326525075,0.018065224973508313,-0.013492420566899897,0.5603021039615841,1.4910709857940674,1.499071443080902,1.502500057220459,1.5296430587768557,3,1.4210710525512689,2005-04-07,1.5296430587768557,STOP,-0.027143001556396706,-1.0
AAPL,r3-v5-broad,2005-08-31,1,1,1.652500033378601,0.008571028709411399,0.0052137462658469,2005-09-01,2005-09-02,1.652500033378601,1.684643030166626,1.646070957183838,0.023346691507001135,BREAK_HIGH,-0.00021610225135974855,0,0.04153059210096085,0.7481718646140324,-0.33250200313152967,0.018790859509288303,0.004407704686141354,0.17955027845164437,1.6521430015563965,1.626589298248291,1.6535710096359253,1.684643030166626,3,1.5603549480438232,2005-09-06,1.684643030166626,STOP,-0.031072020530700684,-1.0
AAPL,r3-v5-broad,2005-10-03,2,2,1.9171429872512815,0.038928985595703125,0.02072659748111164,2005-10-05,2005-10-06,1.9171429872512815,1.941429018974304,1.8839290142059328,0.0305039814638089,BREAK_HIGH,-0.01705198777222552,0,0.054362280028206915,0.7620917076080258,0.162995405675473,0.021804759650540982,-0.0048644536990482545,0.2743832874436219,1.8849999904632568,1.8612856924533845,1.899999976158142,1.941429018974304,3,1.7757128477096564,2005-10-12,1.7757128477096564,TARGET_3R,0.12428712844848566,3.0
AAPL,r3-v5-broad,2005-10-21,5,7,1.9771430492401123,0.014286041259765403,0.007278187459240761,2005-10-28,2005-10-31,1.9771430492401123,2.01535701751709,1.934643030166626,0.041490579261254955,BREAK_HIGH,-0.01633946095545902,1,0.07826506240027287,0.5612724989389645,-0.20747431288819077,0.022282327878775234,-0.013564246675234318,0.25894276485250833,1.9453569650650024,1.9198393523693085,1.9714289903640747,2.01535701751709,3,1.8396449089050293,2005-10-31,2.01535701751709,STOP,-0.04392802715301514,-1.0
AAPL,r3-v5-broad,2005-12-22,1,1,2.628571033477783,0.04357099533081055,0.016855317093938577,2005-12-23,2005-12-27,2.628571033477783,2.6521430015563965,2.617856979370117,0.013088051517081242,BREAK_HIGH,-0.003408121115670704,0,0.059081707681928296,0.1571709279095195,-1.6526860213144685,0.0035135940220186908,0.00541435643782253,0.5067244325470144,2.619642972946167,2.58498215675354,2.642857074737549,2.6521430015563965,3,2.614999294281006,2005-12-27,2.6521430015563965,STOP,-0.009285926818847656,-1.0
AAPL,r3-v5-broad,2006-09-26,4,6,2.7178568840026855,0.06285691261291504,0.02367492025998491,2006-10-02,2006-10-03,2.7178568840026855,2.7096428871154785,2.6535708904266357,0.020972696960968523,SUPPORT,-0.01656427766932976,0,0.06579092570713592,0.8956824029446628,-0.7060716147298634,0.02216222095472733,-0.008870762104217424,0.10481451091567986,2.6735711097717285,2.649321496486664,2.6589291095733643,2.7178568840026855,3,2.4821457862854004,2006-10-05,2.7178568840026855,STOP,-0.05892777442932129,-1.0
AAPL,r3-v5-broad,2006-10-13,2,4,2.669286012649536,0.027143001556396484,0.010273100828545443,2006-10-17,2006-10-18,2.669286012649536,2.688214063644409,2.6442859172821045,0.016556578824638183,BREAK_HIGH,-0.006057572050430314,0,0.06020423344203404,0.3084689783458286,-1.0966039130687826,0.006956412861893239,-0.0042489927542298895,0.11648735847770665,2.6532139778137207,2.681571328639984,2.669642925262451,2.688214063644409,3,2.613929510116577,2006-10-18,2.688214063644409,STOP,-0.018571138381958008,-1.0
AAPL,r3-v5-broad,2007-03-27,1,1,3.392857074737549,0.03321409225463867,0.0098861969643251,2007-03-28,2007-03-29,3.392857074737549,3.4071431159973145,3.3267860412597656,0.024131254227813037,BREAK_HIGH,-0.018876021763249342,3,0.06020396096365795,0.7177946770642157,0.9351467344538452,0.012846312240947327,0.005098761431443073,0.167643066350666,3.3299999237060547,3.226089358329773,3.363929033279419,3.4071431159973145,3,3.2342867851257324,2007-04-13,3.2342867851257324,TARGET_3R,0.12964224815368652,3.0
AAPL,r3-v5-broad,2007-05-23,1,1,4.021070957183838,0.005000114440917969,0.0012450264541406747,2007-05-24,2007-05-25,4.021070957183838,4.087856769561768,3.941786050796509,0.03694986442599506,BREAK_HIGH,-0.01716502781108066,8,0.09721950122288282,0.9036949218691166,0.7560942532223961,0.021964192390441895,0.004884108415053118,0.2436078976458841,3.953213930130005,3.795553481578827,4.0,4.087856769561768,3,3.7364296913146973,2007-05-29,4.087856769561768,STOP,-0.08785676956176758,-1.0
AAPL,r3-v5-broad,2007-06-19,1,1,4.38964319229126,0.08000040054321289,0.01856311634374776,2007-06-20,2007-06-21,4.38964319229126,4.45214319229126,4.339285850524902,0.02599757949517382,BREAK_HIGH,-0.011188958209713962,1,0.126913206917899,0.8329654864435181,-0.5778455620936654,0.024322110005768435,-0.0005591844776993054,0.3250393444324226,4.341071128845215,4.27451776266098,4.346428871154785,4.45214319229126,3,4.029285907745361,2007-06-25,4.45214319229126,STOP,-0.10571432113647461,-1.0
AAPL,r3-v5-broad,2007-07-27,1,3,5.135000228881836,0.1935710906982422,0.039173098568281085,2007-07-30,2007-07-31,5.135000228881836,5.194643020629883,4.98464298248291,0.041575347328163564,BREAK_HIGH,-0.016616091738740346,0,0.15869913782392228,0.5581128323289538,-0.015277997398061205,0.017346414763928265,0.004538594554416738,0.38773317849197925,5.0510711669921875,4.86850004196167,5.1060709953308105,5.194643020629883,3,4.840354919433594,2007-07-31,4.840354919433594,TARGET_3R,0.2657160758972168,3.0
