ticker,variant,fvg_form_date,fvg_age_bars,fvg_age_calendar_days,fvg_low,fvg_gap_size,fvg_gap_pct,break_date,entry_date,broken_support,break_high,break_low,break_range_pct,stop_source,support_distance_pct,support_ratcheted_count,atr14,risk_atr,volume_zscore_20,risk_pct,close_vs_sma10,sma20_sma200_spread,prior_close,prior_sma20,entry,stop,r_multiple,target,exit_date,exit_price,reason,pnl,realized_R,sma5,sma10,sma20,sma200,ret5
AAPL,r3-v5-broad,2003-06-12,1,1,0.3116070032119751,0.0028569996356964,0.0092534400084324,2003-06-13,2003-06-16,0.3116070032119751,0.3205359876155853,0.3058930039405823,0.0470728009924686,BREAK_HIGH,-0.0017230624313852,0,0.0122578505958829,0.5098768328629084,-1.1932108215017367,0.0198863269992436,0.0025312403198588,0.1763946529567634,0.3110710084438324,0.3179196000099182,0.3142859935760498,0.3205359876155853,3,0.2955360114574432,2003-06-16,0.3205359876155853,STOP,-0.0062499940395355,-1.0,0.3093212008476257,0.3102856010198593,0.3179196000099182,0.2702491032332181,0.0157420486188994
AAPL,r3-v5-broad,2004-12-16,1,1,1.1794639825820925,0.0030349493026735,0.0025797980301568,2004-12-17,2004-12-20,1.1794639825820925,1.1971429586410522,1.1589289903640747,0.0329278597168525,BREAK_HIGH,-0.0163096456784715,1,0.0407652599470955,0.6877424154980493,-0.386299549576741,0.0239806957759519,0.0027156275177244,0.7394517547834848,1.1605360507965088,1.1479465514421463,1.1691069602966309,1.1971429586410522,3,1.0849989652633667,2005-01-07,1.1971429586410522,STOP,-0.0280359983444213,-1.0,1.1680357933044434,1.1573930025100707,1.1479465514421463,0.6599473358690738,-0.0024557219982522
AAPL,r3-v5-broad,2005-08-31,1,1,1.652500033378601,0.0085710287094113,0.0052137462658469,2005-09-01,2005-09-02,1.652500033378601,1.684643030166626,1.646070957183838,0.0233466915070011,BREAK_HIGH,-0.0002161022513597,0,0.0415305921009608,0.7481718646140324,-0.3325020031315296,0.0187908595092883,0.0044077046861413,0.1795502784516443,1.6521430015563965,1.626589298248291,1.6535710096359253,1.684643030166626,3,1.5603549480438232,2005-09-06,1.684643030166626,STOP,-0.0310720205307006,-1.0,1.6521428108215332,1.6448927998542786,1.626589298248291,1.378991068005562,0.0043422618314314
AAPL,r3-v5-broad,2007-03-27,1,1,3.392857074737549,0.0332140922546386,0.0098861969643251,2007-03-28,2007-03-29,3.392857074737549,3.4071431159973145,3.3267860412597656,0.024131254227813,BREAK_HIGH,-0.0188760217632493,3,0.0602039609636579,0.7177946770642157,0.9351467344538452,0.0128463122409473,0.005098761431443,0.167643066350666,3.3299999237060547,3.226089358329773,3.363929033279419,3.4071431159973145,3,3.2342867851257324,2007-04-13,3.2342867851257324,TARGET_3R,0.1296422481536865,3.0,3.3716427803039553,3.3131071805953978,3.226089358329773,2.76290713429451,-0.0067114208510046
AAPL,r3-v5-broad,2007-05-23,1,1,4.021070957183838,0.0050001144409179,0.0012450264541406,2007-05-24,2007-05-25,4.021070957183838,4.087856769561768,3.941786050796509,0.036949864425995,BREAK_HIGH,-0.0171650278110806,8,0.0972195012228828,0.9036949218691166,0.7560942532223961,0.0219641923904418,0.0048841084150531,0.2436078976458841,3.953213930130005,3.795553481578827,4.0,4.087856769561768,3,3.7364296913146977,2007-05-29,4.087856769561768,STOP,-0.0878567695617675,-1.0,3.9937143325805664,3.933999848365784,3.795553481578827,3.052049998044968,0.0114218022921561
AAPL,r3-v5-broad,2007-07-27,1,3,5.135000228881836,0.1935710906982422,0.039173098568281,2007-07-30,2007-07-31,5.135000228881836,5.194643020629883,4.98464298248291,0.0415753473281635,BREAK_HIGH,-0.0166160917387403,0,0.1586991378239222,0.5581128323289538,-0.0152779973980612,0.0173464147639282,0.0045385945544167,0.3877331784919792,5.0510711669921875,4.86850004196167,5.1060709953308105,5.194643020629883,3,4.840354919433594,2007-07-31,4.840354919433594,TARGET_3R,0.2657160758972168,3.0,5.024499988555908,5.028249979019165,4.86850004196167,3.508239276409149,-0.0157968812076763
AAPL,r3-v5-broad,2007-08-22,4,6,4.6546430587768555,0.2082142829895019,0.0468273064719522,2007-08-28,2007-08-29,4.6546430587768555,4.728929042816162,4.522500038146973,0.0455765012131786,BREAK_HIGH,-0.0276770231742548,1,0.2053827387945992,0.4399505909017376,0.4094997775569357,0.0194797625112718,0.0011447299236201,0.2451265513547198,4.529285907745361,4.602839303016663,4.638570785522461,4.728929042816162,3,4.367496013641357,2007-08-29,4.728929042816162,STOP,-0.0903582572937011,-1.0,4.699642753601074,4.524107027053833,4.602839303016663,3.696683921813965,-0.0058789465746595
AAPL,r3-v5-broad,2007-12-26,4,7,7.029285907745361,0.1039290428161621,0.0150070306618379,2008-01-02,2008-01-03,7.029285907745361,7.1521430015563965,6.876786231994629,0.0395708790290478,BREAK_HIGH,-0.0101622805884474,2,0.2043111664908272,0.8477948695379357,1.0045283909004337,0.0248195615226284,0.0062541717002885,0.3745127676497177,6.958570957183838,6.83228566646576,6.978929042816162,7.1521430015563965,3,6.459287166595459,2008-01-04,6.459287166595459,TARGET_3R,0.5196418762207031,3.0,7.073357200622558,6.915321350097656,6.83228566646576,4.970696400403977,-0.0199195703307617
AAPL,r3-v5-broad,2009-08-03,3,3,5.888214111328125,0.0053572654724121,0.0009106571199647,2009-08-06,2009-08-07,5.888214111328125,5.946785926818848,5.824643135070801,0.0208650960499663,BREAK_HIGH,-0.005856761887819,8,0.1242856979370117,0.2931063588161721,-0.9395784702538528,0.0061635749557661,0.0072513177398612,0.3844447570942079,5.853929042816162,5.563499999046326,5.9103569984436035,5.946785926818848,3,5.801070213317871,2009-08-07,5.946785926818848,STOP,-0.0364289283752441,-1.0,5.888500308990478,5.811785936355591,5.563499999046326,4.018578546047211,0.0068800223215659
AAPL,r3-v5-broad,2009-08-24,2,2,6.009643077850342,0.0553569793701171,0.0092969968951015,2009-08-26,2009-08-27,6.009643077850342,6.055356979370117,5.955714225769043,0.0166656524751364,BREAK_HIGH,-0.0051370462526367,2,0.1176020077296665,0.2429476281637275,-1.474231618953339,0.0047406909012249,0.0055802879004919,0.4140504956793321,5.978929042816162,5.911357259750366,6.026785850524902,6.055356979370117,3,5.941072463989258,2009-08-27,6.055356979370117,STOP,-0.0285711288452148,-1.0,6.01014289855957,5.945750045776367,5.911357259750366,4.1804428327083585,0.0170718374868401
