ticker,variant,fvg_form_date,fvg_age_bars,fvg_age_calendar_days,fvg_low,fvg_gap_size,fvg_gap_pct,break_date,entry_date,broken_support,break_high,break_low,break_range_pct,stop_source,support_distance_pct,support_ratcheted_count,atr14,risk_atr,volume_zscore_20,ret5,risk_pct,close_vs_sma10,sma10_sma20_spread,sma20_sma200_spread,prior_close,prior_sma20,entry,stop,r_multiple,target,exit_date,exit_price,reason,pnl
MU,r3-v5-high-conviction,2004-11-08,1,1,11.899999618530272,0.08999919891357244,0.00762059235527897,2004-11-09,2004-11-10,11.899999618530272,11.989999771118164,11.710000038146973,0.023628668688402497,BREAK_HIGH,-0.004219344763796711,0,0.3521427427019394,0.36916880195640617,-0.49713590806360797,0.0033869568528202,0.01096122413188496,-0.00820218968026364,0.015986399469020713,-0.1535701504143383,11.850000381469728,11.760000085830688,11.859999656677246,11.989999771118164,3.0,11.469999313354492,2004-11-10,11.469999313354492,TARGET_3R,0.3900003433227539
MU,r3-v5-high-conviction,2005-03-31,1,1,10.300000190734863,0.07000064849853516,0.006842683443877523,2005-04-01,2005-04-04,10.300000190734863,10.4399995803833,10.1899995803833,0.02436647119132138,BREAK_HIGH,-0.0038986316725829794,0,0.2585713522774829,0.8508263247910094,-0.2090874954256973,0.002932618571647616,0.021526351037801986,0.0016596893794404092,-0.014527614211307032,-0.12605154553332745,10.260000228881836,10.394000053405762,10.220000267028809,10.4399995803833,3.0,9.560002326965332,2005-04-15,9.560002326965332,TARGET_3R,0.6599979400634766
MU,r3-v5-high-conviction,2006-12-06,1,1,14.760000228881836,0.07999992370605646,0.005449585970229892,2006-12-07,2006-12-08,14.760000228881836,14.989999771118164,14.529999732971191,0.03150685110466183,BREAK_HIGH,-0.010958893372028872,0,0.4114286558968683,0.680554766805981,-0.924758755336207,0.0,0.01903465209008002,-0.001914128892067392,0.004497865311796251,-0.07103214548392214,14.600000381469728,14.562500095367431,14.710000038146973,14.989999771118164,3.0,13.870000839233398,2006-12-12,13.870000839233398,TARGET_3R,0.8399991989135742
MU,r3-v5-high-conviction,2007-01-11,3,6,13.859999656677246,0.1099996566772461,0.007999975031072443,2007-01-17,2007-01-18,13.859999656677246,13.9399995803833,13.600000381469728,0.024853742056199734,BREAK_HIGH,-0.013157847038451052,0,0.32142843518938286,0.9955550280910204,-0.838018806376073,0.0007315456346761451,0.023494838290234184,-0.012915767064740733,0.0038752625492751735,-0.11104314313762151,13.68000030517578,13.805499982833862,13.619999885559082,13.9399995803833,3.0,12.660000801086426,2007-02-09,12.660000801086426,TARGET_3R,0.9599990844726562
MU,r3-v5-high-conviction,2007-12-06,3,5,8.960000038146973,0.19999980926513672,0.02283102785839374,2007-12-11,2007-12-12,8.960000038146973,8.979999542236328,8.569999694824219,0.0476743987471825,BREAK_HIGH,-0.04186042333822812,2,0.4149999277932303,0.4337334525782081,-1.029253038070842,0.0,0.02045447131819137,-0.008416876875268067,-0.0012091928108970238,-0.23212627726750526,8.600000381469727,8.68349997997284,8.800000190734863,8.979999542236328,3.0,8.260002136230469,2007-12-17,8.260002136230469,TARGET_3R,0.5399980545043945
MU,r3-v5-high-conviction,2014-12-30,1,1,35.29999923706055,0.06999969482421875,0.0019869343097861226,2014-12-31,2015-01-02,35.29999923706055,35.529998779296875,35.0,0.015138497706550721,BREAK_HIGH,-0.008283374162545336,2,0.8199994223458427,0.35365525014695565,-0.8361763788860802,0.001143754630651861,0.008229202242271152,0.005369956179455721,-0.00347693153129023,0.1422533553718266,35.0099983215332,34.94449996948242,35.2400016784668,35.529998779296875,3.0,34.37001037597656,2015-01-02,34.37001037597656,TARGET_3R,0.8699913024902344
MU,r3-v5-high-conviction,2018-12-28,3,6,31.399999618530273,0.48999977111816406,0.015852467600681288,2019-01-03,2019-01-04,31.399999618530273,32.150001525878906,30.86000061035156,0.04161293275894669,BREAK_HIGH,-0.012903213500976562,0,1.727857317243304,0.28358920240507246,-0.4562082512808641,0.003561042814018922,0.015476995604181901,-0.0060916948408273695,-0.06196899441758423,-0.3027768970036722,31.0,33.25050001144409,31.65999984741211,32.150001525878906,3.0,30.18999481201172,2019-01-04,32.150001525878906,STOP,-0.4900016784667969
MU,r3-v5-high-conviction,2019-12-06,1,3,47.31999969482422,0.720001220703125,0.015450670478089639,2019-12-09,2019-12-10,47.31999969482422,47.77000045776367,46.43000030517578,0.028848226707824335,BREAK_HIGH,-0.018729793704953004,1,1.3907149178641183,0.524909550375337,0.22186403340820027,0.0012934118146250562,0.01551869744958623,-0.009235736632219093,0.00371444913772749,0.0965031662011506,46.45000076293945,46.709499740600585,47.040000915527344,47.77000045776367,3.0,44.85000228881836,2019-12-10,47.77000045776367,STOP,-0.7299995422363281
MU,r3-v5-high-conviction,2022-08-12,3,5,62.22999954223633,0.6699981689453125,0.010883660721229354,2022-08-17,2022-08-18,62.22999954223633,62.810001373291016,60.7599983215332,0.03326846944648445,BREAK_HIGH,-0.00989939339378863,1,2.272142137799944,0.46652071437634063,0.011934197256714501,0.0035830195527459807,0.017166014142364624,-0.016989725103609615,0.005639018307502167,-0.1724495470476532,61.619998931884766,62.33350009918213,61.75,62.810001373291016,3.0,58.56999588012695,2022-08-18,62.810001373291016,STOP,-1.0600013732910156
MU,r3-v5-high-conviction,2023-09-01,13,20,69.55000305175781,0.850006103515625,0.012372724036014297,2023-09-21,2023-09-22,69.55000305175781,69.29000091552734,67.83000183105469,0.021502195164402212,SUPPORT,-0.024300463752567617,3,1.5235731942313058,0.6301021293247046,0.9386126812709598,-0.05418581055912863,0.013996307991298997,-0.03252921523942623,0.016982793352775357,0.11079813108680439,67.9000015258789,69.0109998703003,68.58999633789062,69.55000305175781,3.0,65.70997619628906,2023-09-22,69.55000305175781,STOP,-0.9600067138671875
