section,group,trades,total_R,avg_R,PF,win_rate,target_rate,gap_stop_rate
source,RANGE_DISPLACEMENT,212,111.34804450405554,0.5252266250191299,1.8327633868681779,0.3867924528301887,0.38207547169811323,0.0330188679245283
source,NONE,24,2.357736975280607,0.09823904063669196,1.1264726804977636,0.2916666666666667,0.2916666666666667,0.041666666666666664
source,BREAK_DAY_BEARISH_FVG,2,-2.0,-1.0,0.0,0.0,0.0,0.0
profile_source,LOW_VOL | RANGE_DISPLACEMENT,61,44.98656148865668,0.7374846145681423,2.282743406564309,0.4426229508196721,0.4262295081967213,0.01639344262295082
profile_source,HIGH_VOL | RANGE_DISPLACEMENT,54,36.01205134620644,0.6668898397445637,2.091672953785355,0.42592592592592593,0.42592592592592593,0.05555555555555555
profile_source,MID_VOL | RANGE_DISPLACEMENT,97,30.349431669192413,0.3128807388576537,1.4622874171669653,0.32989690721649484,0.32989690721649484,0.030927835051546393
profile_source,LOW_VOL | NONE,4,8.0,2.0,9.0,0.75,0.75,0.0
profile_source,HIGH_VOL | BREAK_DAY_BEARISH_FVG,1,-1.0,-1.0,0.0,0.0,0.0,0.0
profile_source,MID_VOL | BREAK_DAY_BEARISH_FVG,1,-1.0,-1.0,0.0,0.0,0.0,0.0
profile_source,MID_VOL | NONE,20,-5.642263024719393,-0.28211315123596964,0.6801848483488907,0.2,0.2,0.05
range_atr,0.75-1.0ATR,109,74.40910822195607,0.6826523690087714,2.1701221061920593,0.42201834862385323,0.42201834862385323,0.01834862385321101
range_atr,1.0-1.25ATR,68,23.565498296359525,0.3465514455346989,1.5186696764074188,0.3382352941176471,0.3382352941176471,0.029411764705882353
range_atr,1.25-1.5ATR,32,8.37343798573994,0.26166993705437314,1.3535526556386333,0.34375,0.3125,0.09375
range_atr,>2ATR,1,3.0,3.0,inf,1.0,1.0,0.0
range_atr,0.5-0.75ATR,25,1.357736975280607,0.05430947901122428,1.0691232458078748,0.28,0.28,0.04
range_atr,1.5-2.0ATR,3,1.0,0.3333333333333333,1.5,0.3333333333333333,0.3333333333333333,0.0
high_vol_range_atr,0.75-1.0ATR,30,34.0,1.1333333333333333,3.4285714285714284,0.5333333333333333,0.5333333333333333,0.0
high_vol_range_atr,1.0-1.25ATR,16,7.789288439072074,0.4868305274420046,1.7628546152335147,0.375,0.375,0.0625
high_vol_range_atr,1.5-2.0ATR,2,-2.0,-1.0,0.0,0.0,0.0,0.0
high_vol_range_atr,1.25-1.5ATR,7,-4.777237092865634,-0.6824624418379477,0.3857411011362915,0.14285714285714285,0.14285714285714285,0.2857142857142857
