ticker,break_date,entry_date,support,support_age,support_updates,entry,stop,risk,mfe_R,mae_R,break_close,break_high,break_low,break_open,break_depth_pct,break_depth_atr,close_pos_range,body_pct_range,red_break,gap_entry_vs_close_R,gap_entry_vs_support_R,support_vs_sma10_atr,close_vs_sma10_atr,close_vs_sma20_atr,sma10_20_spread_atr,close_vs_sma200_pct,ret_5d,ret_10d,vol_ratio,hit_1R,bars_1R,hit_2R,bars_2R,hit_2.5R,bars_2.5R,hit_3R,bars_3R,hit_4R,bars_4R
NVDA,1999-11-23,1999-11-24,0.0838539972901344,1,8,0.0824220031499862,0.0838539972901344,0.0014319941401482045,7.183689821486866,6.456027346656172,0.0828130021691322,0.0837239995598793,0.0791670009493827,0.0800779983401298,0.01241437682929246,0.1537448283702942,0.800088288671253,0.6001765773425061,False,-0.27304512510473034,-1.0,1.5095415946655908,1.3557967662952966,2.8673400312562465,1.51154326496095,0.8525242388260261,0.1563638712971689,0.38866444763004604,0.8139916736406106,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0
NVDA,2000-02-25,2000-02-28,0.1312499940395355,3,5,0.1268229931592941,0.1360680013895034,0.009245008230209295,0.7605178410823692,20.084028290421806,0.1274739950895309,0.1360680013895034,0.1218750029802322,0.1360680013895034,0.02876951711607079,0.35769903112563034,0.3944897299249537,0.6055102700750463,True,-0.070416587419528,-0.47885310321039837,0.44157232049659567,0.08387328937096532,2.136352004105683,2.0524787147347174,1.0949027563865155,0.013459866224697858,0.24238814181053425,0.6397593878933772,False,7.0,False,7.0,False,7.0,False,7.0,False,7.0
NVDA,2000-05-19,2000-05-22,0.2131509929895401,1,2,0.2104170024394989,0.2197919934988021,0.0093749910593032,1.986135151674121,15.611107137464469,0.2127600014209747,0.2197919934988021,0.2067710012197494,0.2083330005407333,0.0018343408261043543,0.02027934403626364,0.45994960083495384,0.3399895173398769,False,-0.24992012969983,-0.2916259367872297,1.2007650091138002,1.1804856650775366,1.3884907245073985,0.20800505942986192,1.066905232455125,0.28056051600247556,0.10854648092861452,1.653443786261402,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0
NVDA,2000-06-07,2000-06-08,0.2627600133419037,2,4,0.2606770098209381,0.2662760019302368,0.005598992109298706,7.302210027093073,18.93019146116218,0.2541669905185699,0.2662760019302368,0.2502599954605102,0.2640630006790161,0.03270293190369321,0.37519784979597876,0.24394314933904881,0.6178825026795297,True,1.1627127124463161,-0.37203187293408774,0.7937909391880692,0.41859308939209044,1.4265269905276547,1.0079339011355644,1.2183960208169125,0.06900648817195276,0.1309379377307296,0.7033511778389525,True,1.0,True,1.0,True,1.0,False,2.0,False,2.0
NVDA,2000-06-23,2000-06-26,0.3229170143604278,3,2,0.3145830035209656,0.3356769979000091,0.021093994379043524,4.493743968962868,1.6049587664259684,0.308463990688324,0.3356769979000091,0.30833300948143,0.3315100073814392,0.044757702534595795,0.5594404937525524,0.004790128085520258,0.8428184045549268,True,0.29008317356530267,-0.39508926994604227,0.7474542959305908,0.18801380217803837,1.1776871970762193,0.9896733948981808,1.389713584589834,-0.011266800518671793,0.17103692595868614,1.2118310101943583,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0
NVDA,2000-08-22,2000-08-23,0.324999988079071,1,2,0.2903650104999542,0.324999988079071,0.034634977579116766,0.8045341550238078,1.5413605906947192,0.2950519919395447,0.3156250119209289,0.2921879887580871,0.3088540136814117,0.09214768380926865,1.433682890659455,0.12219995523997713,0.5888982421517341,True,-0.13532508946725808,-1.0,1.4894636511198827,0.05578076046042758,1.0588897889611846,1.0031090285007571,0.6774973211857438,-0.005487432406599768,0.052974935706673554,2.221907475152967,False,4.0,False,4.0,False,4.0,False,4.0,False,4.0
NVDA,2000-11-07,2000-11-08,0.3020829856395721,1,3,0.3015629947185516,0.3145830035209656,0.013020008802413996,11.52072885169573,0.0,0.2981770038604736,0.3145830035209656,0.2874999940395355,0.3145830035209656,0.012930161461522701,0.1466893971241674,0.39423276900814647,0.6057672309918536,True,0.26006056596906585,-0.03993783175661894,1.1469311024345155,1.000241705310348,1.084960335953914,0.08471863064356595,0.27943001244352544,0.15162272038748226,0.08633812403861141,0.7587403218300027,True,1.0,True,2.0,True,2.0,True,2.0,True,2.0
NVDA,2001-04-24,2001-04-25,0.3222920000553131,3,3,0.3197500109672546,0.3678750097751617,0.048124998807907104,0.32380278262355694,1.6051949242231436,0.3189170062541961,0.3678750097751617,0.3135420083999634,0.3422499895095825,0.010471850993936455,0.10740910898676949,0.09892694528534343,0.4294440333649108,True,0.017309189271535234,-0.052820553787543564,0.28246273837594055,0.17505362938917104,0.9219666770692198,0.7469130476800487,0.27455623174425564,0.06453643565670353,0.28336821164421666,1.1467926161488813,False,5.0,False,5.0,False,5.0,False,5.0,False,5.0
NVDA,2001-06-11,2001-06-12,0.3988330066204071,1,3,0.3831250071525574,0.4041669964790344,0.02104198932647705,2.90096196880683,1.4435424019760559,0.3913330137729645,0.4041669964790344,0.3850829899311065,0.4037080109119415,0.01880484494248695,0.35333874491761375,0.3275006129431755,0.6484485900745323,True,-0.3900775013738365,-0.7465073394027635,0.7932373248480981,0.4398985799304843,0.804721065725074,0.3648224857945897,0.4790546834108405,0.0558732549106391,0.024209438919212456,0.5139923919713995,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0
NVDA,2001-11-14,2001-11-15,0.4449999928474426,1,1,0.4339169859886169,0.4591670036315918,0.02525001764297491,1.4092652699911448,4.168313956919438,0.4389170110225677,0.4591670036315918,0.4266670048236847,0.4548330008983612,0.013669622298084699,0.20809323565940832,0.37692328148340204,0.4897227833719558,True,-0.19802065506048938,-0.438930658011214,0.7788277599505138,0.5707345242911055,1.42923715517345,0.8585026308823445,0.39137979692257063,0.04029233212676098,0.228884539209528,0.9274818208647608,True,3.0,False,8.0,False,8.0,False,8.0,False,8.0
