variant,quarter_count,core_count,exception_count,total_picks,avg_picks_per_quarter,avg_return_90d_pct,winner_90d_30pct_rate,loser_90d_minus30pct_rate
top15_v4_core_deterioration_refill_strict,18,173,84,257,14.277778,20.615383,0.330291,0.045238
top15_v4_core_deterioration_refill_downgrade,18,173,84,257,14.277778,22.265586,0.326058,0.029894
