ticker,quarter,return_90d_pct,old_v2_status,top15_status,selected_sleeve,selected_sleeve_rank,right_tail_exception_score,mechanical_exclusion_before,mechanical_status_after
IREN,2024Q2,111.3903,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN,ENTRY_SCORE_BELOW_EXCEPTION_MIN
IREN,2025Q2,223.4733,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN,ENTRY_SCORE_BELOW_EXCEPTION_MIN
IRWD,2025Q3,132.9545,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS,NOT_RANKED_IN_SELECTED_SLOTS
KLXE,2021Q4,157.5581,selected,selected,core,2,,SELECTED,SELECTED
KLXE,2022Q3,127.4011,selected,selected,core,1,,SELECTED,SELECTED
LFCR,2023Q1,159.0909,missed,missed,,,,POST_LLM_DEMOTE,POST_LLM_DEMOTE
LITE,2025Q3,104.7607,selected,selected,core,3,,SELECTED,SELECTED
MEC,2022Q4,108.3333,selected,selected,core,10,,SELECTED,SELECTED
MSTR,2024Q1,151.7569,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS,NOT_RANKED_IN_SELECTED_SLOTS
NNBR,2023Q2,183.8095,missed,missed,,,,POST_LLM_DEMOTE,POST_LLM_DEMOTE
NNBR,2023Q4,120.9091,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS,NOT_RANKED_IN_SELECTED_SLOTS
NOK,2026Q1,102.6688,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN,ENTRY_SCORE_BELOW_EXCEPTION_MIN
OSCR,2023Q1,165.1341,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS,NOT_RANKED_IN_SELECTED_SLOTS
PACS,2025Q3,252.8915,missed,missed,,,,POST_LLM_DEMOTE,POST_LLM_DEMOTE
PGY,2025Q2,164.3068,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS,NOT_RANKED_IN_SELECTED_SLOTS
PTON,2024Q3,104.5147,missed,missed,,,,POST_LLM_DEMOTE,POST_LLM_DEMOTE
RBLX,2022Q2,116.0128,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN,ENTRY_SCORE_BELOW_EXCEPTION_MIN
RDNW,2025Q3,112.1212,missed,missed,,,,POST_LLM_DEMOTE,POST_LLM_DEMOTE
REAL,2024Q1,100.6944,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS,NOT_RANKED_IN_SELECTED_SLOTS
REAL,2024Q4,211.1111,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS,NOT_RANKED_IN_SELECTED_SLOTS
RRGB,2023Q1,106.3536,missed,missed,,,,POST_LLM_DEMOTE,POST_LLM_DEMOTE
SHC,2022Q4,196.9106,missed,missed,,,,POST_LLM_DEMOTE,POST_LLM_DEMOTE
SHLS,2022Q2,101.8405,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS,NOT_RANKED_IN_SELECTED_SLOTS
SHLS,2025Q3,100.4338,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS,NOT_RANKED_IN_SELECTED_SLOTS
SILC,2026Q1,101.8229,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN,ENTRY_SCORE_BELOW_EXCEPTION_MIN
SLQT,2023Q1,175.4663,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS,NOT_RANKED_IN_SELECTED_SLOTS
SLQT,2024Q1,117.3913,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS,NOT_RANKED_IN_SELECTED_SLOTS
SLQT,2024Q4,102.9703,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS,NOT_RANKED_IN_SELECTED_SLOTS
SMCI,2023Q2,215.7159,missed,missed,,,,POST_LLM_DEMOTE,POST_LLM_DEMOTE
