quarter,complete_panel_rows,complete_panel_columns,missing_self_contained_columns,required_period_or_flag_blank_cells,financial_provenance_required_blank_cells,derived_qtd_missing_source_json,final_to_complete_key_mismatch_count,final_to_complete_value_mismatch_count,schema_version
2022Q1,201,528,0,0,0,0,0,0,fundamental_complete_panel_v2
2026Q1,191,528,0,0,0,0,0,0,fundamental_complete_panel_v2
