quarter,final_rows,complete_rows,key_mismatch_count,value_mismatch_count
2022Q2,1009,1009,0,0
2022Q3,1014,1014,0,0
2022Q4,1026,1026,0,0
2023Q1,975,975,0,0
2023Q2,1030,1030,0,0
2023Q3,1031,1031,0,0
2023Q4,1042,1042,0,0
2024Q1,1014,1014,0,0
2024Q2,1059,1059,0,0
2024Q3,1064,1064,0,0
2024Q4,1063,1063,0,0
2025Q1,1006,1006,0,0
2025Q2,1054,1054,0,0
2025Q3,1068,1068,0,0
2025Q4,1065,1065,0,0
2026Q1,1019,1019,0,0
2026Q2,1103,1103,0,0
