quarter,asof_date,ticker,cik,entity_name,revenue_bucket,revenue_filter_keep_under_10b,revenue_value,revenue_fact_name,revenue_unit,revenue_filed,revenue_form,revenue_period_end,net_income_value,net_income_fact_name,net_income_unit,net_income_filed,net_income_form,net_income_period_end,assets_value,assets_fact_name,assets_unit,assets_filed,assets_form,assets_period_end,financing_cash_flow_value,financing_cash_flow_fact_name,financing_cash_flow_unit,financing_cash_flow_filed,financing_cash_flow_form,financing_cash_flow_period_end,investing_cash_flow_value,investing_cash_flow_fact_name,investing_cash_flow_unit,investing_cash_flow_filed,investing_cash_flow_form,investing_cash_flow_period_end,operating_cash_flow_value,operating_cash_flow_fact_name,operating_cash_flow_unit,operating_cash_flow_filed,operating_cash_flow_form,operating_cash_flow_period_end,universal_feature_set,universal_feature_complete,universal_feature_complete_through_eps,missing_universal_features,net_income_margin,operating_cash_flow_to_revenue,assets_to_revenue,financing_cash_flow_to_revenue,investing_cash_flow_to_revenue
2024Q3,2024-07-01,ACCO,712034,ACCO Brands Corporation,$100M-$500M,True,402600000,Revenues,USD,2024-05-03,10-Q,2023-03-31,-3700000,NetIncomeLoss,USD,2024-05-03,10-Q,2023-03-31,2644800000,Assets,USD,2024-05-03,10-Q,2023-12-31,88200000,NetCashProvidedByUsedInFinancingActivities,USD,2024-05-03,10-Q,2023-03-31,-2000000,NetCashProvidedByUsedInInvestingActivities,USD,2024-05-03,10-Q,2023-03-31,-23200000,NetCashProvidedByUsedInOperatingActivities,USD,2024-05-03,10-Q,2023-03-31,through_ocf,True,,,-0.00919,-0.057625,6.5693,0.219076,-0.004968
2024Q3,2024-07-01,ACDC,0001881487,ProFrac Holding Corp.,$500M-$1B,True,857500000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2024-05-10,10-Q,2023-03-31,22000000,NetIncomeLoss,USD,2024-05-10,10-Q,2023-03-31,3070700000,Assets,USD,2024-05-10,10-Q,2023-12-31,327100000,NetCashProvidedByUsedInFinancingActivities,USD,2024-05-10,10-Q,2023-03-31,-525800000,NetCashProvidedByUsedInInvestingActivities,USD,2024-05-10,10-Q,2023-03-31,233500000,NetCashProvidedByUsedInOperatingActivities,USD,2024-05-10,10-Q,2023-03-31,through_ocf,True,,,0.025656,0.272303,3.580991,0.381458,-0.613178
2024Q3,2024-07-01,ACGL,947484,Arch Capital Group Ltd.,$2B-$10B,True,3168000000,Revenues,USD,2024-05-09,10-Q,2023-03-31,715000000,NetIncomeLoss,USD,2024-05-09,10-Q,2023-03-31,58906000000,Assets,USD,2024-05-09,10-Q,2023-12-31,-30000000,NetCashProvidedByUsedInFinancingActivities,USD,2024-05-09,10-Q,2023-03-31,-996000000,NetCashProvidedByUsedInInvestingActivities,USD,2024-05-09,10-Q,2023-03-31,963000000,NetCashProvidedByUsedInOperatingActivities,USD,2024-05-09,10-Q,2023-03-31,through_ocf,True,,,0.225694,0.303977,18.594066,-0.00947,-0.314394
2024Q3,2024-07-01,ACH,75252,"Accendra Health, Inc.",$2B-$10B,True,2522849000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2024-05-03,10-Q,2023-03-31,-24418000,NetIncomeLoss,USD,2024-05-03,10-Q,2023-03-31,5093322000,Assets,USD,2024-05-03,10-Q,2023-12-31,-127489000,NetCashProvidedByUsedInFinancingActivities,USD,2024-05-03,10-Q,2023-03-31,-34184000,NetCashProvidedByUsedInInvestingActivities,USD,2024-05-03,10-Q,2023-03-31,158398000,NetCashProvidedByUsedInOperatingActivities,USD,2024-05-03,10-Q,2023-03-31,through_ocf,True,,,-0.009679,0.062785,2.018877,-0.050534,-0.01355
2024Q3,2024-07-01,ACIW,935036,"ACI WORLDWIDE, INC.",$100M-$500M,True,289676000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2024-04-30,10-Q,2023-03-31,-32308000,NetIncomeLoss,USD,2024-04-30,10-Q,2023-03-31,3444739000,Assets,USD,2024-04-30,10-Q,2023-12-31,-20326000,NetCashProvidedByUsedInFinancingActivities,USD,2024-04-30,10-Q,2023-03-31,-8739000,NetCashProvidedByUsedInInvestingActivities,USD,2024-04-30,10-Q,2023-03-31,40068000,NetCashProvidedByUsedInOperatingActivities,USD,2024-04-30,10-Q,2023-03-31,through_ocf,True,,,-0.111532,0.13832,11.891696,-0.070168,-0.030168
2024Q3,2024-07-01,ACLS,1113232,AXCELIS TECHNOLOGIES INC,$100M-$500M,True,254020000,Revenues,USD,2024-05-02,10-Q,2023-03-31,47697000,ProfitLoss,USD,2024-05-02,10-Q,2023-03-31,1281967000,Assets,USD,2024-05-02,10-Q,2023-12-31,-16670000,NetCashProvidedByUsedInFinancingActivities,USD,2024-05-02,10-Q,2023-03-31,-33049000,NetCashProvidedByUsedInInvestingActivities,USD,2024-05-02,10-Q,2023-03-31,34559000,NetCashProvidedByUsedInOperatingActivities,USD,2024-05-02,10-Q,2023-03-31,through_ocf,True,,,0.187769,0.136048,5.046717,-0.065625,-0.130104
2024Q3,2024-07-01,ACT,1823529,"Enact Holdings, Inc.",$100M-$500M,True,280939000,Revenues,USD,2024-05-03,10-Q,2023-03-31,255943000,NetIncomeLoss,USD,2022-08-04,10-Q,2021-06-30,6190473000,Assets,USD,2024-05-03,10-Q,2023-12-31,-44956000,NetCashProvidedByUsedInFinancingActivities,USD,2024-05-03,10-Q,2023-03-31,33463000,NetCashProvidedByUsedInInvestingActivities,USD,2024-05-03,10-Q,2023-03-31,119339000,NetCashProvidedByUsedInOperatingActivities,USD,2024-05-03,10-Q,2023-03-31,through_ocf,True,,,0.911027,0.424786,22.034936,-0.160021,0.119111
2024Q3,2024-07-01,ACVA,1637873,ACV Auctions Inc.,$100M-$500M,True,119626000,Revenues,USD,2024-05-08,10-Q,2023-03-31,-18200000,NetIncomeLoss,USD,2024-05-08,10-Q,2023-03-31,922924000,Assets,USD,2024-05-08,10-Q,2023-12-31,17280000,NetCashProvidedByUsedInFinancingActivities,USD,2024-05-08,10-Q,2023-03-31,-23866000,NetCashProvidedByUsedInInvestingActivities,USD,2024-05-08,10-Q,2023-03-31,42980000,NetCashProvidedByUsedInOperatingActivities,USD,2024-05-08,10-Q,2023-03-31,through_ocf,True,,,-0.152141,0.359286,7.715079,0.14445,-0.199505
2024Q3,2024-07-01,ADBE,796343,ADOBE INC.,$2B-$10B,True,9471000000,Revenues,USD,2024-06-26,10-Q,2023-06-02,2542000000,NetIncomeLoss,USD,2024-06-26,10-Q,2023-06-02,29779000000,Assets,USD,2024-06-26,10-Q,2023-12-01,-3094000000,NetCashProvidedByUsedInFinancingActivities,USD,2024-06-26,10-Q,2023-06-02,478000000,NetCashProvidedByUsedInInvestingActivities,USD,2024-06-26,10-Q,2023-06-02,3832000000,NetCashProvidedByUsedInOperatingActivities,USD,2024-06-26,10-Q,2023-06-02,through_ocf,True,,,0.268398,0.404604,3.14423,-0.326681,0.05047
2024Q3,2024-07-01,ADEA,1803696,ADEIA INC.,$100M-$500M,True,117307000,Revenues,USD,2024-05-08,10-Q,2023-03-31,29021000,NetIncomeLoss,USD,2024-05-08,10-Q,2023-03-31,1105556000,Assets,USD,2024-05-08,10-Q,2023-12-31,-95088000,NetCashProvidedByUsedInFinancingActivities,USD,2024-05-08,10-Q,2023-03-31,-390000,NetCashProvidedByUsedInInvestingActivities,USD,2024-05-08,10-Q,2023-03-31,63352000,NetCashProvidedByUsedInOperatingActivities,USD,2024-05-08,10-Q,2023-03-31,through_ocf,True,,,0.247394,0.540053,9.424467,-0.810591,-0.003325
