quarter,ticker,revenue_bucket,profitability_score,operating_cash_flow_score,fcf_proxy_score,financing_dependence_score,asset_efficiency_score,pre_llm_fundamental_score,pre_llm_fundamental_bucket,pre_llm_fundamental_missing_fields,tier_bucket,tier_1_bucket,tier_2_bucket,tier_3_bucket,tier_4_bucket,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct
2024Q2,A,$1B-$2B,2,2,2,1,0,7,strong,,,,,,,2024-05-30,125.300003,6.1692,5.9298,1.6760,9.6409,12.5778
2024Q2,AAP,>$10B,1,2,2,1,1,7,strong,,,,,,,2024-05-30,62.509998,1.0878,5.8071,-4.4793,-2.4316,-25.3879
2024Q2,AAT,$100M-$500M,1,2,-1,-1,0,1,mixed,,Tier 0 - Broad right-tail scouting universe,,,,,2024-05-01,21.129999,5.3479,5.6318,2.9342,6.0104,22.1959
2024Q2,ABG,$2B-$10B,1,2,-1,-1,2,3,good,,,,,,,2024-04-26,217.119995,2.0634,12.3250,7.0560,3.0122,14.8904
2024Q2,ABM,$2B-$10B,1,-1,-1,0,1,0,mixed,,,,,,,2024-06-07,48.599998,4.0329,3.0658,2.0782,7.3251,15.4321
2024Q2,ABNB,$1B-$2B,1,2,2,-1,0,4,good,,,,,,,2024-05-09,146.600006,-0.1569,0.0068,1.0027,3.6562,-22.9127
2024Q2,ABT,>$10B,2,2,2,1,1,8,strong,,,,,,,2024-04-18,106.500000,0.7230,-1.4648,-3.0892,-2.8639,-1.7089
2024Q2,ACA,$2B-$10B,1,1,-1,-1,1,1,mixed,,,,,,,2024-05-03,80.430000,8.9519,6.4031,7.1739,1.5168,13.0424
2024Q2,ACAD,$100M-$500M,-1,-1,-1,-1,0,-4,weak,,Tier 0 - Broad right-tail scouting universe,,,,,2024-05-09,17.500000,-13.7143,-16.4571,-14.9714,-6.7429,-13.3143
2024Q2,ACCO,$2B-$10B,1,1,2,1,1,6,strong,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,2024-05-03,5.050000,1.5842,-0.1980,-0.1980,-8.3168,-1.3861
2024Q2,ACDC,$500M-$1B,2,1,-1,0,0,2,mixed,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,2024-05-10,8.240000,12.1359,12.8641,7.6456,-11.1044,-25.9102
2024Q2,ACGL,$2B-$10B,2,2,2,1,0,7,strong,,,,,,,2024-04-30,92.500000,8.1622,8.2919,9.6324,8.8108,4.8757
2024Q2,ACH,$2B-$10B,-1,1,1,1,0,2,mixed,,Tier 0 - Broad right-tail scouting universe,,,,,2024-05-06,18.250000,4.7123,-5.2603,-4.1096,-31.0137,-18.5205
2024Q2,ACIW,$100M-$500M,-1,2,2,1,0,4,good,,,,,,,2024-05-01,34.560001,5.4977,6.3079,4.1956,13.3681,23.7847
2024Q2,ACLS,$500M-$1B,2,2,2,1,1,8,strong,,,,,,,2024-05-02,101.250000,10.5778,12.1778,10.1630,38.9531,24.7901
2024Q2,ACT,$1B-$2B,2,2,2,1,0,7,strong,,,,,,,2024-05-02,30.309999,4.2560,3.7281,2.2765,2.3095,12.2732
2024Q2,ACVA,$100M-$500M,-1,2,2,-1,0,2,mixed,,Tier 0 - Broad right-tail scouting universe,,,,,2024-05-09,16.370001,14.5999,9.1020,12.1564,9.2242,-9.4075
2024Q2,ADBE,$2B-$10B,2,2,2,1,0,7,strong,,,,,,,2024-06-14,530.250000,-1.1466,9.0693,6.6874,0.9373,10.6176
2024Q2,ADEA,$100M-$500M,1,2,2,1,0,6,strong,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,,,2024-05-07,10.500000,10.7619,10.4762,13.0476,6.6667,-5.4286
2024Q2,ADI,$2B-$10B,2,2,2,1,0,7,strong,,,,,,,2024-05-23,240.880005,-3.5993,-1.0130,-5.1561,-0.3487,-5.5546
2024Q2,ADNT,$2B-$10B,-1,1,1,1,1,3,good,,,,,,,2024-05-06,27.700001,7.0036,-1.0469,1.2274,-12.7437,-17.6173
2024Q2,ADSK,$2B-$10B,1,2,2,1,0,6,strong,,,,,,,2024-06-04,211.000000,7.0474,13.3507,17.4739,6.9763,22.1943
2024Q2,ADTN,$500M-$1B,-1,1,1,1,0,2,mixed,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,"Tier 4 - Ultra-distressed tag, not a production tier",2024-05-06,4.710000,14.0127,20.1698,13.5881,10.1911,22.2930
2024Q2,ADUS,$500M-$1B,1,1,-1,0,1,2,mixed,,,,,,,2024-05-07,99.900002,10.7708,11.9219,16.1862,18.9590,17.8278
2024Q2,ADV,$2B-$10B,1,1,1,1,1,5,good,,,,,,,2024-05-10,92.500000,-2.1622,-6.4865,-19.1892,-10.2703,1.4865
2024Q2,AEE,$2B-$10B,2,2,-1,-1,0,2,mixed,,,,,,,2024-05-03,75.089996,-0.8257,-4.7809,-1.7579,-4.7809,8.2168
2024Q2,AEIS,$100M-$500M,1,1,1,1,0,4,good,,,,,,,2024-05-02,93.250000,9.4584,16.9008,16.0429,13.4906,24.7936
2024Q2,AEO,$2B-$10B,1,1,-1,1,2,4,good,,Tier 0 - Broad right-tail scouting universe,,,,,2024-05-30,21.590000,-3.8907,-8.1982,-10.1436,3.3349,0.5095
2024Q2,AEP,$2B-$10B,1,2,-1,-1,0,1,mixed,,,,,,,2024-05-01,85.760002,6.7164,7.9991,5.2355,1.7724,14.4356
2024Q2,AES,$2B-$10B,1,2,-1,-1,0,1,mixed,,Tier 0 - Broad right-tail scouting universe,,,,,2024-05-03,18.719999,6.6239,9.8291,10.8974,-6.3568,-4.3269
2024Q2,AESI,$100M-$500M,1,2,1,0,0,4,good,,Tier 0 - Broad right-tail scouting universe,,,,,2024-05-07,22.400000,5.0446,7.1429,-2.4554,-10.1339,-19.0625
2024Q2,AFL,>$10B,2,2,2,1,0,7,strong,,,,,,,2024-05-02,83.750000,2.5313,4.6687,6.1612,6.3403,13.8866
2024Q2,AFRM,$1B-$2B,-1,-1,-1,-1,0,-4,weak,,,,,,,2024-05-09,32.610001,1.2879,-11.9289,-6.6544,-13.6768,-26.0350
2024Q2,AGX,$500M-$1B,1,1,1,1,1,5,good,,,,,,,2024-04-12,55.200001,11.6667,10.5435,21.7935,39.6739,30.8877
2024Q2,AGYS,$100M-$500M,1,2,2,1,1,7,strong,,,,,,,2024-05-14,86.050003,20.9181,9.2388,5.1946,25.2411,27.3911
2024Q2,AHCO,$500M-$1B,1,2,2,0,0,5,good,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,2024-05-08,9.660000,2.3810,4.6584,15.9420,-2.3809,-10.3520
2024Q2,AHR,$1B-$2B,-1,1,-1,0,0,-1,weak,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,Tier 3 - Revised dislocation feed,,2024-05-14,14.000000,0.0000,5.5000,6.0714,16.0714,22.4286
2024Q2,AHRT,$100M-$500M,1,2,2,1,0,6,strong,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,,,2024-05-10,11.550000,-1.2121,-3.3766,-5.1082,-4.8485,-1.1255
2024Q2,AI,$100M-$500M,-1,-1,-1,1,0,-2,weak,,,,,,,2024-05-30,26.459999,18.5185,3.7415,8.1255,3.5525,-13.0763
2024Q2,AIZ,>$10B,2,1,2,1,0,6,strong,,,,,,,2024-05-08,182.210007,-5.4992,-7.4859,-4.8680,-11.4209,-6.6078
2024Q2,AJG,$2B-$10B,2,2,-1,-1,0,2,mixed,,,,,,,2024-04-26,236.949997,2.5575,7.8371,4.8027,9.6856,15.6236
2024Q2,AKAM,$500M-$1B,2,2,2,1,0,7,strong,,,,,,,2024-05-10,94.199997,0.7431,-4.2250,-4.0977,-1.8259,-2.7919
2024Q2,ALB,$2B-$10B,2,2,2,1,0,7,strong,,,,,,,2024-05-02,117.500000,11.9234,7.6426,2.8851,-17.0979,-20.2809
2024Q2,ALG,$100M-$500M,1,1,-1,-1,0,0,mixed,,,,,,,2024-05-03,190.000000,3.4579,0.4053,-1.6263,-11.5526,-2.7474
2024Q2,ALGM,$100M-$500M,2,2,2,1,0,7,strong,,,,,,,2024-05-10,27.549999,9.0744,8.0581,9.0381,12.8494,-16.7332
2024Q2,ALGN,$2B-$10B,2,2,2,1,1,8,strong,,,,,,,2024-04-25,325.000000,-11.5785,-13.7477,-21.9169,-27.0523,-24.6769
2024Q2,ALGT,$1B-$2B,1,2,-1,-1,0,1,mixed,,,,,,,2024-05-08,52.910000,-4.8195,-7.4466,-1.1718,-13.8915,-20.0718
2024Q2,ALKS,$100M-$500M,-1,-1,2,1,0,1,mixed,,Tier 0 - Broad right-tail scouting universe,,,,,2024-05-02,23.870001,3.5191,1.4244,0.7960,2.1785,14.4533
2024Q2,ALLE,$500M-$1B,2,1,1,1,0,5,good,,,,,,,2024-04-26,125.080002,-0.1599,0.2478,-3.7256,-7.1554,6.2360
2024Q2,ALRM,$500M-$1B,1,2,2,-1,1,5,good,,,,,,,2024-05-10,68.309998,0.8491,-3.2499,-8.3297,-6.1045,-3.9672
2024Q2,ALTG,$100M-$500M,1,-1,-1,0,0,-1,weak,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,Tier 3 - Revised dislocation feed,,2024-05-09,10.920000,-15.2930,-23.0769,-18.5897,-25.1832,-25.0000
2024Q2,AMC,$2B-$10B,-1,-1,-1,-1,0,-4,weak,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,"Tier 4 - Ultra-distressed tag, not a production tier",2024-04-29,3.330000,-8.4084,45.0450,35.1351,49.5496,55.2553
2024Q2,AMCX,$500M-$1B,2,-1,-1,1,0,1,mixed,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,,,2024-05-13,13.570000,21.5917,35.0037,17.1702,-26.0133,-33.5298
2024Q2,AMD,>$10B,2,2,2,-1,0,5,good,,,,,,,2024-05-01,148.110001,1.6542,11.1741,12.6865,6.4682,-6.5289
2024Q2,AME,$1B-$2B,2,2,2,1,0,7,strong,,,,,,,2024-05-03,163.699997,3.9096,5.5101,1.5333,1.4661,-2.7917
2024Q2,AMGN,>$10B,2,2,2,1,0,7,strong,,,,,,,2024-05-03,313.390015,-1.5763,-2.1985,-1.9050,-0.8360,7.0647
2024Q2,AMKR,$2B-$10B,2,2,1,1,1,7,strong,,,,,,,2024-04-30,35.029999,-6.8513,-5.4239,-6.8227,14.8730,7.3366
2024Q2,AMN,$2B-$10B,1,1,1,1,2,6,strong,,,,,,,2024-05-10,56.430000,5.6353,-3.7569,-6.8049,-15.1870,10.2428
2024Q2,AMP,>$10B,2,2,-1,-1,0,2,mixed,,,,,,,2024-04-23,420.109985,-0.2761,2.8159,3.3420,4.8178,-0.0238
2024Q2,AMPH,$100M-$500M,2,2,2,1,1,8,strong,,,,,,,2024-05-09,45.560001,-5.4653,-8.6040,-8.6040,-17.9763,-14.6400
2024Q2,AMR,$500M-$1B,2,2,2,1,0,7,strong,,,,,,,2024-05-07,300.739990,-4.7383,2.9893,2.9826,1.0640,-16.7919
2024Q2,AMRX,$2B-$10B,1,2,1,1,1,6,strong,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,2024-05-06,6.820000,-1.0264,-0.4399,-0.1466,-2.1994,-1.7595
2024Q2,AMT,$2B-$10B,2,2,2,1,0,7,strong,,,,,,,2024-05-01,173.279999,6.7636,12.0326,12.9617,11.9691,28.7223
2024Q2,AMWD,$1B-$2B,1,1,2,1,2,7,strong,,,,,,,2024-05-24,85.339996,0.4218,-3.0701,-6.8198,9.7375,11.5889
2024Q2,ANDE,>$10B,1,-1,1,1,2,4,good,,,,,,,2024-05-08,52.139999,-2.0522,0.9590,-3.9701,-7.5374,-8.4580
2024Q2,ANET,$2B-$10B,2,2,1,1,0,6,strong,,,,,,,2024-05-08,70.787498,12.7989,8.5961,4.8172,31.0507,14.2645
2024Q2,ANF,$2B-$10B,1,1,1,1,2,6,strong,,,,,,,2024-05-31,176.479996,4.9014,-0.5213,4.5954,-17.2711,-19.4130
2024Q2,ANGI,$100M-$500M,-1,1,-1,1,0,0,mixed,,Tier 0 - Broad right-tail scouting universe,,,,,2024-05-08,23.100000,-3.8961,-6.9264,-9.5238,-19.0476,-14.2857
2024Q2,ANGO,$100M-$500M,-1,-1,-1,-1,0,-4,weak,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,2024-04-05,6.980000,-9.5989,-17.1920,-11.1748,-8.3095,-20.3438
2024Q2,AON,$2B-$10B,2,2,2,-1,0,5,good,,,,,,,2024-04-29,281.260010,2.2470,4.1598,-1.9342,4.3803,13.5213
2024Q2,AOS,$2B-$10B,2,2,2,1,2,9,strong,,,,,,,2024-04-26,82.330002,3.4252,3.6803,0.2551,0.7288,-0.1822
2024Q2,AOSL,$100M-$500M,1,1,-1,0,0,1,mixed,,Tier 0 - Broad right-tail scouting universe,,,,,2024-05-08,23.000000,16.0435,29.1739,26.7391,62.7391,50.0000
2024Q2,APAM,$1B-$2B,2,2,2,1,1,8,strong,,,,,,,2024-04-24,42.549999,0.9636,7.5206,5.8754,-2.8907,0.1175
2024Q2,APD,$2B-$10B,2,2,-1,0,0,3,good,,,,,,,2024-05-01,233.979996,6.9579,13.1122,13.9841,5.7099,12.9285
2024Q2,APEI,$100M-$500M,-1,1,2,1,0,3,good,,Tier 0 - Broad right-tail scouting universe,,,,,2024-05-08,16.719999,8.1938,7.8349,-0.2392,5.5024,2.0933
2024Q2,APH,>$10B,2,2,-1,1,1,5,good,,,,,,,2024-04-25,57.610001,8.3058,14.5287,16.2819,16.7679,7.6028
