batch,status,tickers_requested,rows,tickers_returned,output_path,tickers
11,fetched,100,13408,100,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_batch_0011.parquet,FISV;FIVE;FIVN;FIX;FIZZ;FKWL;FLEX;FLG;FLGT;FLL;FLNC;FLNT;FLR;FLUX;FLWS;FLXS;FLYE;FLYW;FN;FNGR;FNKO;FNWB;FOA;FOLD;FONR;FOR;FORA;FORM;FORR;FOSL;FOX;FOXA;FOXF;FPI;FRD;FRHC;FROG;FRPH;FRPT;FRSH;FRT;FSBW;FSLR;FSP;FSS;FSTR;FTAI;FTAIM;FTAIN;FTCI;FTDR;FTEK;FTFT;FTHM;FTK;FTLF;FTRE;FTV;FUBO;FUL;FULC;FUNC;FUSB;FVCB;FWDI;FWONA;FWONK;FWRD;FWRG;FXNC;GABC;GAIA;GAME;GANX;GATX;GBCI;GBLI;GBTG;GBX;GCBC;GCMG;GCO;GCT;GCTK;GDC;GDDY;GDEN;GDOT;GDRX;GDYN;GEF;GEG;GEGGL;GEN;GENC;GENK;GENVR;GEO;GEOS;GERN
12,fetched,100,16187,100,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_batch_0012.parquet,GETY;GEVO;GFF;GGRP;GH;GHC;GHM;GIC;GIFT;GIII;GIPR;GIPRW;GIS;GITS;GKOS;GL;GLDD;GLPI;GLRE;GLW;GNE;GNK;GNL;GNLN;GNLX;GNPX;GNRC;GNSS;GNTX;GNW;GO;GOAI;GOGO;GOLD;GOLF;GOOD;GOODN;GOODO;GPC;GPGI;GPI;GPN;GPOR;GPRE;GPRO;GRBK;GRC;GRCE;GRDX;GREE;GREEL;GRI;GRMN;GRND;GRNQ;GRNT;GROW;GRPN;GRWG;GSAT;GSHD;GSIT;GT;GTBP;GTEC;GTIM;GTLB;GTLS;GTM;GTN;GTX;GTY;GURE;GVA;GWAV;GWRS;GWW;GXAI;GYRE;GYRO;HAE;HAIN;HAL;HALO;HAS;HASI;HBAN;HBANL;HBANM;HBANP;HBANZ;HBB;HBIO;HCA;HCAT;HCC;HCI;HCKT;HCSG;HCTI
13,fetched,100,16187,100,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_batch_0013.parquet,HCWB;HDSN;HE;HELE;HFBL;HFFG;HG;HGBL;HGV;HHS;HIG;HII;HIMS;HIND;HIPO;HL;HLF;HLIO;HLIT;HLLY;HLMN;HLNE;HLT;HLX;HMN;HNI;HNNA;HNNAZ;HNRG;HNST;HOFT;HOLO;HOLOW;HOTH;HOUR;HOV;HOVNP;HP;HPE;HPK;HPP;HPQ;HQI;HQY;HRI;HRL;HRMY;HROW;HRTG;HRTX;HSCS;HSCSW;HSDT;HSIC;HST;HSTM;HSY;HTB;HTBK;HTCR;HTH;HTLD;HTO;HTZ;HTZWW;HUBB;HUBG;HUBS;HUM;HURA;HURC;HURN;HUT;HVT;HWH;HWKN;HWM;HY;HYFM;HYLN;HYMC;HYPD;HYPR;HZO;IAC;IART;IBCP;IBEX;IBIO;IBKR;IBP;IBRX;IBTA;ICCC;ICE;ICFI;ICHR;ICUI;IDAI;IDCC
14,fetched,100,16187,100,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_batch_0014.parquet,IDN;IDR;IDT;IDYA;IE;IEP;IESC;IEX;IFF;IHRT;III;IIIN;IIIV;IIPR;IKT;ILMN;IMA;IMAX;IMCR;IMDX;IMKTA;IMMR;IMMX;IMNM;IMNN;IMRX;IMUX;IMXI;INBS;INCY;INDI;INGN;INHD;INM;INMB;INN;INNV;INO;INOD;INSE;INSG;INSM;INSW;INTA;INTG;INTZ;INVA;INVE;INVH;INVX;IONQ;IONS;IOSP;IOVA;IP;IPAR;IPDN;IPGP;IPM;IPSC;IPW;IPWR;IQST;IQV;IR;IRD;IRDM;IRIX;IRM;IRMD;IRT;IRTC;IRWD;ISBA;ISPC;ISPR;ISSC;IT;ITGR;ITIC;ITRI;ITRM;ITW;IVDA;IVDAW;IVF;IVT;IVZ;IZEA;J;JACK;JAGX;JAKK;JAZZ;JBGS;JBHT;JBI;JBL;JBLU;JBSS
15,fetched,100,16187,100,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_batch_0015.parquet,JBTM;JCI;JCTC;JELD;JILL;JJSF;JKHY;JOBY;JOE;JOUT;JRSH;JRVR;JSM;JTAI;JVA;JXN;JYNT;KAI;KALA;KALU;KALV;KBH;KE;KELYA;KELYB;KEQU;KEY;KEYS;KFRC;KFS;KFY;KGS;KIDS;KIM;KINS;KITT;KITTW;KKR;KLIC;KLRS;KLTR;KLXE;KMB;KMI;KMT;KN;KNF;KNSA;KNTK;KODK;KOP;KOPN;KOS;KOSS;KPLT;KPRX;KPTI;KR;KRG;KRMD;KRO;KROS;KRRO;KRT;KRUS;KRYS;KSCP;KSS;KTB;KTCC;KTOS;KTTA;KTTAW;KULR;KUST;KVHI;KVUE;KW;KWR;KYMR;KYNB;KZR;L;LAB;LAKE;LAMR;LAND;LANDO;LANDP;LASE;LASR;LAUR;LAW;LBRDA;LBRDK;LBRDP;LBRT;LBTYA;LBTYB;LBTYK
16,fetched,100,13408,100,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_batch_0016.parquet,LC;LCID;LCII;LCNB;LCUT;LDOS;LE;LECO;LEDS;LEE;LEG;LEGH;LEN;LESL;LEU;LEXX;LFCR;LFMD;LFMDP;LFST;LFUS;LFVN;LFWD;LGIH;LGND;LGVN;LH;LHX;LIDR;LIDRW;LIF;LII;LILA;LILAK;LINC;LIND;LINK;LIQT;LITE;LITS;LIVE;LIVN;LIXT;LKQ;LMAT;LMB;LMFA;LMND;LMNR;LNAI;LNN;LNSR;LNT;LNTH;LNZA;LNZAW;LOAN;LOCO;LOGI;LOOP;LOPE;LOVE;LPCN;LPG;LPLA;LPRO;LPSN;LPTH;LQDA;LQDT;LRHC;LRMR;LRN;LSAK;LSCC;LSTA;LSTR;LTBR;LTC;LTH;LTRX;LTRYW;LUCD;LUCY;LUCYW;LUMN;LUNG;LUNR;LUV;LVLU;LVO;LVS;LVWR;LW;LWAY;LWLG;LXEO;LXFR;LXP;LXRX
17,fetched,100,13408,100,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_batch_0017.parquet,LXU;LYB;LYEL;LYFT;LYRA;LYTS;LYV;LZ;LZB;MAA;MAC;MAGN;MAMA;MAMO;MANH;MAPS;MAPSW;MARA;MAS;MASI;MASS;MAT;MATV;MATW;MATX;MAX;MAYS;MBC;MBI;MBIO;MBLY;MBOT;MBRX;MBUU;MCFT;MCHPP;MCHX;MCK;MCO;MCRB;MCRI;MCS;MCW;MCY;MDAI;MDAIW;MDGL;MDIA;MDRR;MDV;MDXG;MEC;MED;MEDP;MEG;MEI;MERC;METC;METCB;METCI;METCZ;MG;MGM;MGNI;MGNX;MGPI;MGRC;MGRX;MGTX;MGX;MGY;MHO;MIDD;MIGI;MIND;MIR;MIRM;MITK;MKC;MKSI;MKTW;MKTX;MKZR;MLAB;MLGO;MLKN;MLM;MLP;MLR;MMI;MMLP;MMS;MMSI;MNKD;MNOV;MNPR;MNRO;MNSB;MNSBP;MNTK
18,fetched,100,16187,100,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_batch_0018.parquet,MNTS;MNTSW;MOD;MODD;MOH;MORN;MOS;MOV;MOVE;MP;MPAA;MPC;MPTI;MPWR;MPX;MQ;MRAM;MRBK;MRCY;MRDN;MREO;MRKR;MRNA;MRSH;MRTN;MRVI;MSAI;MSAIW;MSCI;MSGE;MSGM;MSI;MSS;MTB;MTCH;MTD;MTEX;MTH;MTRN;MTRX;MTSI;MTUS;MTW;MTX;MUR;MVBF;MVIS;MVST;MVSTW;MWA;MXCT;MXL;MYE;MYFW;MYGN;MYO;MYPS;MYPSW;MYRG;MYSE;MYSZ;MZTI;NABL;NAGE;NAII;NAKA;NAMS;NAMSW;NATH;NATL;NATR;NAVI;NBHC;NBIX;NBR;NBTB;NC;NCLH;NCMI;NCNO;NCPL;NCPLW;NCRA;NCSM;NDAQ;NDLS;NDRA;NDSN;NE;NEGG;NEM;NEO;NEOG;NEON;NEOV;NEOVW;NEPH;NERV;NEWT;NEWTG
19,fetched,100,13408,100,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_batch_0019.parquet,NEWTH;NEWTI;NEWTO;NEWTP;NEXT;NFBK;NFE;NG;NGNE;NGS;NGVC;NGVT;NHC;NHI;NHPAP;NHPBP;NHTC;NI;NIXX;NJR;NKTR;NKTX;NL;NLOP;NMIH;NMRK;NMTC;NN;NNAVW;NNBR;NNI;NOC;NODK;NOG;NOTV;NOVT;NOVTU;NOW;NPCE;NPK;NPKI;NPO;NPWR;NRC;NRDS;NRDY;NRG;NRIM;NRIX;NSC;NSIT;NSP;NSPR;NSSC;NSYS;NTAP;NTCT;NTGR;NTIC;NTLA;NTNX;NTRA;NTRB;NTRP;NTRS;NTRSO;NTST;NTWK;NUE;NUS;NUTX;NUWE;NVAX;NVCR;NVEC;NVNO;NVR;NVRI;NVTS;NVVE;NVVEW;NWE;NWFL;NWL;NWN;NWPX;NWS;NWSA;NWTG;NX;NXDR;NXDT;NXGL;NXGLW;NXL;NXPL;NXPLW;NXRT;NXST;NXT
20,fetched,100,13408,100,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_batch_0020.parquet,NXTC;NXTS;NXTT;NXXT;O;OABI;OABIW;OBIO;OCC;OCGN;OCUL;ODC;ODYS;OEC;OESX;OFG;OFIX;OFLX;OGS;OI;OII;OIS;OKE;OKTA;OLB;OLED;OLLI;OLOX;OLP;OLPX;OM;OMC;OMCL;OMER;OMEX;ONB;ONBPO;ONBPP;ONC;ONCO;ONDS;ONEW;ONFO;ONFOW;ONIT;ONMD;ONMDW;ONTF;ONTO;OOMA;OPAL;OPBK;OPCH;OPEN;OPENL;OPENW;OPENZ;OPK;OPLN;OPRT;OPRX;OPTU;OPTX;OPTXW;OPXS;ORA;ORBS;ORGN;ORGNW;ORGO;ORKA;ORMP;ORN;ORRF;OSCR;OSG;OSIS;OSPN;OSS;OSUR;OSW;OTEX;OTIS;OTLK;OTTR;OUST;OUSTZ;OUT;OVID;OWL;OXBR;OXBRW;OXM;OXY;PAA;PACB;PACK;PACS;PAGP;PAHC
