batch,status,tickers_requested,rows,tickers_returned,output_path,tickers
21,fetched,100,13588,100,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_batch_0021.parquet,PALI;PAMT;PANL;PAR;PARR;PATK;PAVM;PAYC;PAYO;PAYS;PBF;PBFS;PBH;PBI;PBYI;PCB;PCG;PCRX;PCSA;PCTY;PCYO;PD;PDEX;PDFS;PDM;PDYN;PDYNW;PEB;PEBK;PEBO;PECO;PEG;PEGA;PENG;PENN;PESI;PETS;PFG;PFS;PFSI;PGC;PGEN;PGNY;PGR;PGY;PGYWW;PH;PHAT;PHIN;PHIO;PHM;PHR;PHUN;PI;PII;PIII;PIIIW;PINE;PIPR;PJT;PKE;PKG;PKOH;PKST;PL;PLAB;PLAY;PLBY;PLCE;PLD;PLMR;PLOW;PLPC;PLRX;PLSE;PLTK;PLUG;PLUR;PLUS;PLX;PLXS;PMCB;PMT;PMTS;PNC;PNR;PNRG;PNTG;PNW;POCI;PODC;PODD;POLA;POOL;POR;POWI;POWL;POWW;POWWP;PPC
22,fetched,100,11622,100,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_batch_0022.parquet,PPG;PPIH;PPL;PPSI;PRA;PRAA;PRAX;PRCH;PRCT;PRDO;PRG;PRGS;PRHI;PRHIZ;PRIM;PRKS;PRLB;PRM;PRME;PROP;PRPL;PRPO;PRSO;PRSU;PRTA;PRTH;PRTS;PRU;PSA;PSIX;PSMT;PSNL;PSTL;PSTV;PSX;PTC;PTCT;PTEN;PTGX;PTLO;PTON;PUBM;PULM;PUMP;PVLA;PWP;PWR;PXLW;PYXS;PZZA;QBTS;QCLS;QCRH;QDEL;QLYS;QMCO;QNST;QRHC;QRVO;QSI;QSIAW;QTI;QTRX;QTTB;QTWO;QUAD;QUBT;QUIK;QURE;QVCGA;QVCGP;RAIL;RAMP;RANI;RARE;RAVE;RBB;RBBN;RBCAA;RBLX;RCAT;RCEL;RCKT;RCKTW;RCKY;RCL;RCMT;RCON;RCUS;RDI;RDIB;RDN;RDNT;RDNW;RDVT;RDW;RDZN;RDZNW;REAL;REBN
23,fetched,100,13408,100,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_batch_0023.parquet,REFI;REFR;REG;REGCO;REGCP;REKR;RELL;RELY;RENT;RENX;REPL;REPX;RES;REX;REXR;REYN;REZI;RFIL;RGCO;RGEN;RGLD;RGNX;RGP;RGR;RGS;RGTI;RGTIW;RHP;RICK;RIG;RIGL;RILY;RILYG;RILYL;RILYN;RILYP;RILYT;RILYZ;RIME;RIOT;RIVN;RJET;RJF;RKDA;RKLB;RL;RLAY;RLGT;RLJ;RLMD;RM;RMAX;RMBS;RMCF;RMCO;RMCOW;RMD;RMNI;RMR;RMTI;RNAC;RNGR;RNTX;ROAD;ROCK;ROG;ROIV;ROK;ROKU;ROL;ROOT;RPAY;RPC;RPD;RPID;RPRX;RR;RRGB;RRR;RSG;RSI;RSKIA;RSSS;RSVR;RSVRW;RUM;RUMBW;RUN;RUSHA;RUSHB;RVLV;RVMD;RVMDW;RVTY;RVYL;RXO;RXRX;RXST;RXT;RYAM
24,fetched,100,13408,100,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_batch_0024.parquet,RYM;RYTM;RYZ;SABR;SABS;SABSW;SAFE;SAFT;SAH;SAIA;SAIC;SAMG;SANM;SATA;SATS;SAVA;SBAC;SBET;SBFG;SBFM;SBFMW;SBGI;SBH;SBLX;SBRA;SCCO;SCHL;SCKT;SCL;SCLX;SCLXW;SCNX;SCOR;SCSC;SCVL;SCWO;SCYX;SD;SDGR;SDOT;SEAT;SEDG;SEER;SEGG;SEI;SEIC;SELF;SEM;SEMR;SENEA;SENEB;SENS;SERA;SERV;SEVN;SEZL;SFD;SFIX;SFM;SG;SGA;SGC;SGHT;SGLY;SGMO;SGMT;SGRP;SGRY;SHAK;SHBI;SHC;SHEN;SHFS;SHFSW;SHIM;SHLS;SHO;SHOO;SIBN;SIDU;SIEB;SIG;SIGA;SIGI;SIGIP;SILA;SILO;SINT;SIRI;SITC;SITM;SJM;SKIL;SKIN;SKT;SKWD;SKY;SKYH;SKYT;SKYW
25,fetched,100,13408,100,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_batch_0025.parquet,SKYX;SLAB;SLB;SLDB;SLDP;SLDPW;SLE;SLG;SLGN;SLND;SLNG;SLNH;SLNHP;SLNO;SLP;SLQT;SLS;SLSN;SLVM;SM;SMA;SMCI;SMHI;SMID;SMMT;SMP;SMPL;SMR;SMSI;SMTC;SMTI;SMTK;SMXT;SNA;SNAL;SNBR;SNCY;SND;SNDA;SNDX;SNES;SNEX;SNFCA;SNGX;SNOA;SNTI;SNWV;SNYR;SOBR;SOC;SOHOB;SOHON;SOHOO;SOLV;SONM;SONO;SOPA;SOTK;SOUN;SOUNW;SOWG;SPB;SPGI;SPHR;SPIR;SPNT;SPOK;SPRB;SPRO;SPRY;SPSC;SPT;SPWH;SPWR;SPWRW;SPXC;SQFT;SQFTP;SQFTW;SR;SRE;SRPT;SRRK;SRTA;SRTAW;SRTS;SSNC;SSP;SSRM;SSTI;SSTK;STAA;STC;STE;STEP;STEX;STGW;STHO;STI;STIM
26,fetched,100,13408,100,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_batch_0026.parquet,STKL;STKS;STLD;STOK;STRA;STRC;STRD;STRF;STRK;STRL;STRO;STRR;STRRP;STRS;STRT;STRW;STRZ;STT;STTK;STXS;STZ;SUIG;SUNE;SUPN;SURG;SVC;SVCO;SVRA;SVV;SWAG;SWAGW;SWBI;SWIM;SWK;SWKH;SWKHL;SWKS;SWX;SXC;SXI;SXT;SXTP;SXTPW;SYK;SYM;SYNA;SYPR;SYRE;SYY;TACT;TALK;TALKW;TALO;TAP;TARA;TARS;TASK;TAYD;TBCH;TBHC;TBI;TBLA;TBLAW;TBPH;TBRG;TCBI;TCBIO;TCBK;TCI;TCMD;TCRT;TCRX;TCX;TDAY;TDG;TDOC;TDS;TDUP;TDW;TDY;TEAD;TECH;TEL;TELA;TENB;TENX;TER;TERN;TEX;TFSL;TG;TGL;TGLS;TGNA;TGTX;TH;THR;THRM;THRY;TIL
27,fetched,100,13408,100,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_batch_0027.parquet,TILE;TIPT;TITN;TIVC;TJX;TKNO;TKO;TLF;TLPH;TLRY;TLS;TLSI;TLSIW;TMCI;TMDX;TMHC;TMP;TMUSI;TMUSL;TMUSZ;TNC;TNDM;TNET;TNGX;TNON;TNXP;TOI;TOMZ;TONX;TPB;TPC;TPCS;TPG;TPGXL;TPH;TPL;TPR;TPST;TR;TRAK;TRAW;TRC;TRDA;TREE;TRGP;TRIP;TRMB;TRN;TRNO;TRNR;TRNS;TRON;TROW;TROX;TRS;TRUP;TSCO;TSEOF;TSHA;TSN;TSSI;TT;TTEC;TTEK;TTI;TTMI;TTSH;TULP;TUSK;TVRD;TVTX;TW;TWAV;TWI;TWIN;TXG;TXMD;TXNM;TXRH;TXT;TYGO;TYL;TZOO;UAL;UAMY;UBSI;UCB;UCTT;UDR;UE;UEC;UEIC;UFCS;UFPI;UFPT;UG;UGRO;UHG;UHGWW;UHS
28,fetched,100,13588,100,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_batch_0028.parquet,UHT;UIS;ULBI;ULCC;ULH;ULTA;ULY;UMH;UNCY;UNF;UNFI;UONE;UONEK;UPBD;UPLD;UPST;UPWK;UPXI;URBN;URGN;URI;USAU;USEG;USIO;USLM;USNA;USPH;UTHR;UTI;UTL;UTMD;UTZ;UUUU;UVE;UVSP;UVV;VAC;VAL;VALU;VANI;VBIX;VC;VCEL;VCNX;VCTR;VCYT;VECO;VEEE;VELO;VERI;VERU;VERX;VFC;VFF;VHC;VHI;VIASP;VIAV;VICI;VICR;VIR;VIRC;VISN;VITL;VIVS;VKTX;VLGEA;VLTO;VMC;VMD;VNCE;VNDA;VPG;VRA;VRCA;VRDN;VRE;VREX;VRM;VRME;VRNS;VRRM;VRSK;VRSN;VRT;VRTS;VS;VSAT;VSCO;VSEC;VSECU;VSH;VST;VSTD;VSTM;VSTS;VTGN;VTOL;VTR;VTRS
29,fetched,100,13588,100,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_batch_0029.parquet,VTS;VTSI;VTVT;VUZI;VVOS;VVX;VYGR;VYNE;VYX;WAB;WAFD;WAFDP;WASH;WAT;WATT;WD;WDFC;WEAV;WEC;WELL;WEN;WERN;WEST;WETH;WEYS;WFCF;WFRD;WGO;WGS;WGSWW;WHD;WHG;WHLR;WHLRD;WHLRL;WHLRP;WHWK;WINA;WING;WK;WKC;WKHS;WKSP;WLDN;WLFC;WLKP;WLY;WM;WMB;WMG;WMK;WNC;WOOF;WOR;WORX;WRAP;WRB;WRBY;WRLD;WS;WSC;WSFS;WSM;WSR;WST;WT;WTFC;WTFCN;WTI;WTS;WTTR;WTW;WULF;WVE;WVVI;WVVIP;WW;WWD;WWW;WY;WYNN;XAIR;XBIO;XCUR;XELB;XELLL;XENE;XERS;XFOR;XGN;XHR;XMTR;XNCR;XOMA;XOMAO;XOMAP;XOS;XOSWW;XPEL;XPER
30,fetched,42,16187,42,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_batch_0030.parquet,XPOF;XPON;XPRO;XRAY;XRN;XRX;XRXDW;XTIA;XWEL;XWIN;XXII;XYL;XYZ;YELP;YEXT;YHC;YHGJ;YORW;YOU;YUM;YYAI;Z;ZBAI;ZBH;ZBRA;ZD;ZEO;ZEOWW;ZETA;ZG;ZION;ZIONP;ZIP;ZLAB;ZM;ZNTL;ZTS;ZUMZ;ZVIA;ZVRA;ZWS;ZYME
