batch,status,tickers_requested,rows,tickers_returned,output_path,tickers
1,fetched,10,11622,10,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_smoke_batch_0001.parquet,A;AAL;AAME;AAMI;AAOI;AAON;AAP;AAT;ABAT;ABCL
2,fetched,10,11622,10,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/prices_akg_2024Q3_smoke_batch_0002.parquet,ABEO;ABG;ABM;ABSI;ABTC;ABUS;ABVC;ABX;ACA;ACAD
