quarter,asof_date,ticker,cik,entity_name,revenue_bucket,revenue_filter_keep_under_10b,revenue_value,revenue_fact_name,revenue_unit,revenue_filed,revenue_form,revenue_period_end,net_income_value,net_income_fact_name,net_income_unit,net_income_filed,net_income_form,net_income_period_end,assets_value,assets_fact_name,assets_unit,assets_filed,assets_form,assets_period_end,financing_cash_flow_value,financing_cash_flow_fact_name,financing_cash_flow_unit,financing_cash_flow_filed,financing_cash_flow_form,financing_cash_flow_period_end,investing_cash_flow_value,investing_cash_flow_fact_name,investing_cash_flow_unit,investing_cash_flow_filed,investing_cash_flow_form,investing_cash_flow_period_end,operating_cash_flow_value,operating_cash_flow_fact_name,operating_cash_flow_unit,operating_cash_flow_filed,operating_cash_flow_form,operating_cash_flow_period_end,universal_feature_set,universal_feature_complete,universal_feature_complete_through_eps,missing_universal_features,net_income_margin,operating_cash_flow_to_revenue,assets_to_revenue,financing_cash_flow_to_revenue,investing_cash_flow_to_revenue
2022Q1,2022-02-22,A,1090872,"AGILENT TECHNOLOGIES, INC.",$2B-$10B,,5163000000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2021-12-17,10-K,2019-10-31,1071000000,ProfitLoss,USD,2021-12-17,10-K,2019-10-31,9627000000,Assets,USD,2021-12-17,10-K,2020-10-31,-299000000,NetCashProvidedByUsedInFinancingActivities,USD,2021-12-17,10-K,2019-10-31,-1590000000,NetCashProvidedByUsedInInvestingActivities,USD,2021-12-17,10-K,2019-10-31,1021000000,NetCashProvidedByUsedInOperatingActivities,USD,2021-12-17,10-K,2019-10-31,through_ocf,True,,,0.207438,0.197753,1.864614,-0.057912,-0.30796
2022Q1,2022-02-14,AAP,1158449,"Advance Auto Parts, Inc.",$2B-$10B,,7741190000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2021-11-16,10-Q,2020-10-03,381024000,NetIncomeLoss,USD,2021-11-16,10-Q,2020-10-03,11839636000,Assets,USD,2021-11-16,10-Q,2021-01-02,33460000,NetCashProvidedByUsedInFinancingActivities,USD,2021-11-16,10-Q,2020-10-03,-191948000,NetCashProvidedByUsedInInvestingActivities,USD,2021-11-16,10-Q,2020-10-03,809218000,NetCashProvidedByUsedInOperatingActivities,USD,2021-11-16,10-Q,2020-10-03,through_ocf,True,,,0.04922,0.104534,1.529434,0.004322,-0.024796
2022Q1,2022-02-08,AAT,1500217,"AMERICAN ASSETS TRUST, INC.",$100M-$500M,,263226000,Revenues,USD,2021-10-29,10-Q,2020-09-30,15484000,ProfitLoss,USD,2021-10-29,10-Q,2020-03-31,2817309000,Assets,USD,2021-10-29,10-Q,2020-12-31,-8468000,NetCashProvidedByUsedInFinancingActivities,USD,2021-10-29,10-Q,2020-09-30,-53574000,NetCashProvidedByUsedInInvestingActivities,USD,2021-10-29,10-Q,2020-09-30,109149000,NetCashProvidedByUsedInOperatingActivities,USD,2021-10-29,10-Q,2020-09-30,through_ocf,True,,,0.058824,0.414659,10.703004,-0.03217,-0.203529
2022Q1,2022-02-15,ABG,1144980,"ASBURY AUTOMOTIVE GROUP, INC",$2B-$10B,,4897800000,Revenues,USD,2021-10-26,10-Q,2020-09-30,19500000,NetIncomeLoss,USD,2021-10-26,10-Q,2020-03-31,3676300000,Assets,USD,2021-10-26,10-Q,2020-12-31,193500000,NetCashProvidedByUsedInFinancingActivities,USD,2021-10-26,10-Q,2020-09-30,-818100000,NetCashProvidedByUsedInInvestingActivities,USD,2021-10-26,10-Q,2020-09-30,625200000,NetCashProvidedByUsedInOperatingActivities,USD,2021-10-26,10-Q,2020-09-30,through_ocf,True,,,0.003981,0.127649,0.750602,0.039508,-0.167034
2022Q1,2022-03-08,ABM,771497,ABM INDUSTRIES INCORPORATED,$2B-$10B,,6498600000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2021-12-22,10-K,2019-10-31,127400000,NetIncomeLoss,USD,2021-12-22,10-K,2019-10-31,3776900000,Assets,USD,2021-12-22,10-K,2020-10-31,-184800000,NetCashProvidedByUsedInFinancingActivities,USD,2021-12-22,10-K,2019-10-31,-58300000,NetCashProvidedByUsedInInvestingActivities,USD,2021-12-22,10-K,2019-10-31,262700000,NetCashProvidedByUsedInOperatingActivities,USD,2021-12-22,10-K,2019-10-31,through_ocf,True,,,0.019604,0.040424,0.581187,-0.028437,-0.008971
2022Q1,2022-02-15,ABNB,1559720,"Airbnb, Inc.",$2B-$10B,,2518935000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2021-11-05,10-Q,2020-09-30,-696865000,NetIncomeLoss,USD,2021-11-05,10-Q,2020-09-30,10491499000,Assets,USD,2021-11-05,10-Q,2020-12-31,1174207000,NetCashProvidedByUsedInFinancingActivities,USD,2021-11-05,10-Q,2020-09-30,-816104000,NetCashProvidedByUsedInInvestingActivities,USD,2021-11-05,10-Q,2020-09-30,-490622000,NetCashProvidedByUsedInOperatingActivities,USD,2021-11-05,10-Q,2020-09-30,through_ocf,True,,,-0.276651,-0.194774,4.165053,0.466152,-0.323988
2022Q1,2022-02-23,ACA,1739445,"Arcosa, Inc.",$1B-$2B,,1476700000,Revenues,USD,2021-11-04,10-Q,2020-09-30,96100000,NetIncomeLoss,USD,2021-11-04,10-Q,2020-09-30,2646700000,Assets,USD,2021-11-04,10-Q,2020-12-31,131600000,NetCashProvidedByUsedInFinancingActivities,USD,2021-11-04,10-Q,2020-09-30,-409700000,NetCashProvidedByUsedInInvestingActivities,USD,2021-11-04,10-Q,2020-09-30,226700000,NetCashProvidedByUsedInOperatingActivities,USD,2021-11-04,10-Q,2020-09-30,through_ocf,True,,,0.065078,0.153518,1.792307,0.089118,-0.277443
2022Q1,2022-02-28,ACAD,1070494,Acadia Pharmaceuticals Inc.,$100M-$500M,,320748000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2021-11-09,10-Q,2020-09-30,-214824000,NetIncomeLoss,USD,2021-11-09,10-Q,2020-09-30,782616000,Assets,USD,2021-11-09,10-Q,2020-12-31,62870000,NetCashProvidedByUsedInFinancingActivities,USD,2021-11-09,10-Q,2020-09-30,309467000,NetCashProvidedByUsedInInvestingActivities,USD,2021-11-09,10-Q,2020-09-30,-108678000,NetCashProvidedByUsedInOperatingActivities,USD,2021-11-09,10-Q,2020-09-30,through_ocf,True,,,-0.669759,-0.338827,2.439972,0.196011,0.964829
2022Q1,2022-02-15,ACCO,712034,ACCO Brands Corporation,$1B-$2B,,1195100000,Revenues,USD,2021-10-28,10-Q,2020-09-30,8000000,NetIncomeLoss,USD,2021-10-28,10-Q,2020-03-31,3048700000,Assets,USD,2021-10-28,10-Q,2020-12-31,48600000,NetCashProvidedByUsedInFinancingActivities,USD,2021-10-28,10-Q,2020-09-30,-11200000,NetCashProvidedByUsedInInvestingActivities,USD,2021-10-28,10-Q,2020-09-30,21800000,NetCashProvidedByUsedInOperatingActivities,USD,2021-10-28,10-Q,2020-09-30,through_ocf,True,,,0.006694,0.018241,2.551,0.040666,-0.009372
2022Q1,2022-02-09,ACGL,947484,Arch Capital Group Ltd.,$2B-$10B,,6132571000,Revenues,USD,2021-11-04,10-Q,2020-09-30,861977000,NetIncomeLoss,USD,2021-11-04,10-Q,2020-09-30,43282297000,Assets,USD,2021-11-04,10-Q,2020-12-31,566090000,NetCashProvidedByUsedInFinancingActivities,USD,2021-11-04,10-Q,2020-09-30,-2608418000,NetCashProvidedByUsedInInvestingActivities,USD,2021-11-04,10-Q,2020-09-30,2331450000,NetCashProvidedByUsedInOperatingActivities,USD,2021-11-04,10-Q,2020-09-30,through_ocf,True,,,0.140557,0.380175,7.057773,0.092309,-0.425338
2022Q1,2022-02-23,ACH,75252,"Accendra Health, Inc.",$2B-$10B,,9210939000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2022-02-23,10-K,2019-12-31,-62371000,NetIncomeLoss,USD,2022-02-23,10-K,2019-12-31,3335639000,Assets,USD,2022-02-23,10-K,2020-12-31,-130197000,NetCashProvidedByUsedInFinancingActivities,USD,2022-02-23,10-K,2019-12-31,-51897000,NetCashProvidedByUsedInInvestingActivities,USD,2022-02-23,10-K,2019-12-31,166085000,NetCashProvidedByUsedInOperatingActivities,USD,2022-02-23,10-K,2019-12-31,through_ocf,True,,,-0.006771,0.018031,0.362139,-0.014135,-0.005634
2022Q1,2022-02-24,ACIW,935036,"ACI WORLDWIDE, INC.",$1B-$2B,,1258294000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2022-02-24,10-K,2019-12-31,67062000,NetIncomeLoss,USD,2022-02-24,10-K,2019-12-31,3386903000,Assets,USD,2022-02-24,10-K,2020-12-31,668350000,NetCashProvidedByUsedInFinancingActivities,USD,2022-02-24,10-K,2019-12-31,-830481000,NetCashProvidedByUsedInInvestingActivities,USD,2022-02-24,10-K,2019-12-31,132605000,NetCashProvidedByUsedInOperatingActivities,USD,2022-02-24,10-K,2019-12-31,through_ocf,True,,,0.053296,0.105385,2.691663,0.531156,-0.660006
