quarter,asof_date,ticker,cik,entity_name,revenue_bucket,revenue_filter_keep_under_10b,revenue_value,revenue_fact_name,revenue_unit,revenue_filed,revenue_form,revenue_period_end,net_income_value,net_income_fact_name,net_income_unit,net_income_filed,net_income_form,net_income_period_end,assets_value,assets_fact_name,assets_unit,assets_filed,assets_form,assets_period_end,financing_cash_flow_value,financing_cash_flow_fact_name,financing_cash_flow_unit,financing_cash_flow_filed,financing_cash_flow_form,financing_cash_flow_period_end,investing_cash_flow_value,investing_cash_flow_fact_name,investing_cash_flow_unit,investing_cash_flow_filed,investing_cash_flow_form,investing_cash_flow_period_end,operating_cash_flow_value,operating_cash_flow_fact_name,operating_cash_flow_unit,operating_cash_flow_filed,operating_cash_flow_form,operating_cash_flow_period_end,universal_feature_set,universal_feature_complete,universal_feature_complete_through_eps,missing_universal_features,net_income_margin,operating_cash_flow_to_revenue,assets_to_revenue,financing_cash_flow_to_revenue,investing_cash_flow_to_revenue
2023Q1,2023-02-28,A,1090872,"AGILENT TECHNOLOGIES, INC.",$2B-$10B,,5339000000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2022-12-21,10-K,2020-10-31,719000000,NetIncomeLoss,USD,2022-12-21,10-K,2020-10-31,10705000000,Assets,USD,2022-12-21,10-K,2021-10-31,-717000000,NetCashProvidedByUsedInFinancingActivities,USD,2022-12-21,10-K,2020-10-31,-147000000,NetCashProvidedByUsedInInvestingActivities,USD,2022-12-21,10-K,2020-10-31,921000000,NetCashProvidedByUsedInOperatingActivities,USD,2022-12-21,10-K,2020-10-31,through_ocf,True,,,0.134669,0.172504,2.005057,-0.134295,-0.027533
2023Q1,2023-02-28,AAP,1158449,"Advance Auto Parts, Inc.",>$10B,,10106321000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2023-02-28,10-K,2021-01-02,493021000,NetIncomeLoss,USD,2023-02-28,10-K,2021-01-02,12194209000,Assets,USD,2023-02-28,10-K,2022-01-01,-285997000,NetCashProvidedByUsedInFinancingActivities,USD,2023-02-28,10-K,2021-01-02,-266897000,NetCashProvidedByUsedInInvestingActivities,USD,2023-02-28,10-K,2021-01-02,969688000,NetCashProvidedByUsedInOperatingActivities,USD,2023-02-28,10-K,2021-01-02,through_ocf,True,,,0.048783,0.095949,1.206592,-0.028299,-0.026409
2023Q1,2023-02-07,AAT,1500217,"AMERICAN ASSETS TRUST, INC.",$100M-$500M,,274081000,Revenues,USD,2022-10-28,10-Q,2021-09-30,1733000,ProfitLoss,USD,2022-10-28,10-Q,2021-03-31,3017927000,Assets,USD,2022-10-28,10-Q,2021-12-31,168303000,NetCashProvidedByUsedInFinancingActivities,USD,2022-10-28,10-Q,2021-09-30,-263345000,NetCashProvidedByUsedInInvestingActivities,USD,2022-10-28,10-Q,2021-09-30,129632000,NetCashProvidedByUsedInOperatingActivities,USD,2022-10-28,10-Q,2021-09-30,through_ocf,True,,,0.006323,0.47297,11.011077,0.614063,-0.960829
2023Q1,2023-02-02,ABG,1144980,"ASBURY AUTOMOTIVE GROUP, INC",$2B-$10B,,7182900000,Revenues,USD,2022-10-28,10-Q,2021-09-30,92800000,NetIncomeLoss,USD,2022-10-28,10-Q,2021-03-31,8002600000,Assets,USD,2022-10-28,10-Q,2021-12-31,-380800000,NetCashProvidedByUsedInFinancingActivities,USD,2022-10-28,10-Q,2021-09-30,-248600000,NetCashProvidedByUsedInInvestingActivities,USD,2022-10-28,10-Q,2021-09-30,958600000,NetCashProvidedByUsedInOperatingActivities,USD,2022-10-28,10-Q,2021-09-30,through_ocf,True,,,0.01292,0.133456,1.114118,-0.053015,-0.03461
2023Q1,2023-03-08,ABM,771497,ABM INDUSTRIES INCORPORATED,$1B-$2B,,1936200000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2023-03-08,10-Q,2022-01-31,76000000,NetIncomeLoss,USD,2023-03-08,10-Q,2022-01-31,4868900000,Assets,USD,2023-03-08,10-Q,2022-10-31,90300000,NetCashProvidedByUsedInFinancingActivities,USD,2023-03-08,10-Q,2022-01-31,-12400000,NetCashProvidedByUsedInInvestingActivities,USD,2023-03-08,10-Q,2022-01-31,-93600000,NetCashProvidedByUsedInOperatingActivities,USD,2023-03-08,10-Q,2022-01-31,through_ocf,True,,,0.039252,-0.048342,2.514668,0.046638,-0.006404
2023Q1,2023-02-14,ABNB,1559720,"Airbnb, Inc.",$2B-$10B,,4459564000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2022-11-03,10-Q,2021-09-30,-406535000,NetIncomeLoss,USD,2022-11-03,10-Q,2021-09-30,13708474000,Assets,USD,2022-11-03,10-Q,2021-12-31,1455727000,NetCashProvidedByUsedInFinancingActivities,USD,2022-11-03,10-Q,2021-09-30,-1022519000,NetCashProvidedByUsedInInvestingActivities,USD,2022-11-03,10-Q,2021-09-30,1930764000,NetCashProvidedByUsedInOperatingActivities,USD,2022-11-03,10-Q,2021-09-30,through_ocf,True,,,-0.09116,0.432949,3.073949,0.326428,-0.229287
2023Q1,2023-02-23,ACA,1739445,"Arcosa, Inc.",$1B-$2B,,1514600000,Revenues,USD,2022-11-03,10-Q,2021-09-30,60400000,NetIncomeLoss,USD,2022-11-03,10-Q,2021-09-30,3188100000,Assets,USD,2022-11-03,10-Q,2021-12-31,462800000,NetCashProvidedByUsedInFinancingActivities,USD,2022-11-03,10-Q,2021-09-30,-569300000,NetCashProvidedByUsedInInvestingActivities,USD,2022-11-03,10-Q,2021-09-30,76800000,NetCashProvidedByUsedInOperatingActivities,USD,2022-11-03,10-Q,2021-09-30,through_ocf,True,,,0.039879,0.050706,2.104912,0.305559,-0.375875
2023Q1,2023-02-28,ACAD,1070494,Acadia Pharmaceuticals Inc.,$100M-$500M,,106554000,Revenues,USD,2023-02-28,10-K,2021-03-31,-281584000,NetIncomeLoss,USD,2023-02-28,10-K,2020-12-31,700122000,Assets,USD,2023-02-28,10-K,2021-12-31,80996000,NetCashProvidedByUsedInFinancingActivities,USD,2023-02-28,10-K,2020-12-31,192509000,NetCashProvidedByUsedInInvestingActivities,USD,2023-02-28,10-K,2020-12-31,-136166000,NetCashProvidedByUsedInOperatingActivities,USD,2023-02-28,10-K,2020-12-31,through_ocf,True,,,-2.642641,-1.277906,6.570584,0.76014,1.80668
2023Q1,2023-02-23,ACCO,712034,ACCO Brands Corporation,$1B-$2B,,1455000000,Revenues,USD,2022-11-08,10-Q,2021-09-30,-20400000,NetIncomeLoss,USD,2022-11-08,10-Q,2021-03-31,3091300000,Assets,USD,2022-11-08,10-Q,2021-12-31,-22500000,NetCashProvidedByUsedInFinancingActivities,USD,2022-11-08,10-Q,2021-09-30,1500000,NetCashProvidedByUsedInInvestingActivities,USD,2022-11-08,10-Q,2021-09-30,44000000,NetCashProvidedByUsedInOperatingActivities,USD,2022-11-08,10-Q,2021-09-30,through_ocf,True,,,-0.014021,0.030241,2.124605,-0.015464,0.001031
2023Q1,2023-03-21,ACDC,0001881487,ProFrac Holding Corp.,$500M-$1B,,520336000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2022-11-14,10-Q,2021-09-30,51488000,NetIncomeLoss,USD,2022-11-14,10-Q,2022-09-30,664570000,Assets,USD,2022-11-14,10-Q,2021-12-31,31253000,NetCashProvidedByUsedInFinancingActivities,USD,2022-11-14,10-Q,2021-09-30,-55528000,NetCashProvidedByUsedInInvestingActivities,USD,2022-11-14,10-Q,2021-09-30,37690000,NetCashProvidedByUsedInOperatingActivities,USD,2022-11-14,10-Q,2021-09-30,through_ocf,True,,,0.098951,0.072434,1.277194,0.060063,-0.106716
