quarter,ticker,event_date,revenue_bucket,revenue_value_millions,avg_dollar_volume_60d,earnings_score,earnings_score_bucket,guidance_torque,earnings_torque,segment_wave_torque,margin_quality,warning_penalty,guidance_vs_current_pct,score_status,score_missing_fields,extraction_source,quarter_revenue_millions,quarter_revenue_yoy_pct,guidance_revenue_millions,numeric_evidence_count,guidance_evidence_count,wave_or_demand_evidence_count,warning_or_risk_evidence_count,exhibit_doc_count,exhibit_text_len,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct
2024Q3,AEMD,2024-08-14,<$100M,0.574,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,2,2,6,6,1,16372,2024-08-15,26.400000,54.5455,3.0303,18.1818,21.2121,24.2424
2024Q3,AEVA,2024-08-07,<$100M,1.148,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,2,,,2,2,6,6,1,13411,2024-08-08,2.800000,7.1429,13.5714,-11.0714,23.2143,53.9286
2024Q3,AEYE,2024-07-25,<$100M,7.772,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,6,6,6,6,1,21200,2024-07-26,22.100000,-7.9186,3.2579,13.1222,6.6968,4.0271
2024Q3,AFCG,2024-08-07,<$100M,16.832,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,6,3,6,5,1,11827,2024-08-08,9.520000,5.0420,6.8277,6.7227,3.5714,4.4118
2024Q3,AGEN,2024-08-08,<$100M,22.902,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,23.5,,,1,2,6,6,2,19034,2024-08-09,5.160000,-1.3566,-3.2946,-0.5814,-11.8217,-23.8372
2024Q3,AGIO,2024-08-01,<$100M,5.609,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,8.6,,,4,3,6,5,1,13279,2024-08-02,42.139999,6.1699,8.4480,6.1462,0.7831,5.4343
2024Q3,AIMD,2024-08-05,<$100M,0.049,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,3,4,6,5,1,16855,2024-08-06,2.610000,30.4598,30.0766,9.1954,-6.1303,-15.7088
2024Q3,AIP,2024-08-01,<$100M,13.154,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,14.6,,,6,5,6,6,1,21712,2024-08-02,7.920000,-12.6263,0.1263,-2.9040,-9.4697,-14.0152
2024Q3,AIR,2024-07-18,<$100M,9.8,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,657,,,6,5,6,6,2,53229,2024-07-19,67.980003,-3.2951,-11.4298,-6.4137,-0.0147,-8.2083
2024Q3,AISP,2024-08-15,<$100M,2.939,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,6.4,,,6,6,6,4,1,19816,2024-08-16,2.850000,14.0351,1.0526,-8.0702,-25.6140,29.6491
2024Q3,AKR,2024-07-30,<$100M,81.839,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,6,6,6,6,2,124389,2024-07-31,21.580000,-1.2975,-0.6487,4.3095,8.8044,12.8360
2024Q3,ALAB,2024-08-06,<$100M,17.664,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,76.9,,,6,3,6,6,1,22657,2024-08-07,43.119999,-4.7078,3.6874,-7.2356,21.8692,122.4258
2024Q3,ALEC,2024-08-07,<$100M,16.549,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,15.1,,,6,4,6,6,1,15266,2024-08-08,5.500000,-4.7273,-5.2727,-4.1818,-17.8182,-4.7273
2024Q3,ALEX,2024-07-25,<$100M,50.39,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,0.3,,,6,6,6,6,1,28030,2024-07-26,19.600000,-5.1020,-3.5204,-0.1531,-0.0510,-6.5306
2024Q3,ALKT,2024-07-31,<$100M,59.996,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,82.2,,,6,6,6,6,2,35737,2024-08-01,34.410000,-9.1834,-7.9047,-7.8466,-8.3406,10.9561
2024Q3,ALT,2024-08-08,<$100M,0.021,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,0,2,6,6,1,14886,2024-08-09,6.400000,17.8125,3.2813,-0.3125,-2.5000,16.5625
2024Q3,ALXO,2024-08-08,<$100M,1.182,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,0,0,6,6,1,15373,2024-08-09,2.740000,-6.2044,-16.0584,-23.3577,-39.7810,-44.8905
2024Q3,AMBA,2024-08-27,<$100M,62.142,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct,regex_fallback,63.7,,77,6,6,6,6,1,16120,2024-08-28,63.500000,-18.7717,-14.4567,-11.1181,-6.5669,7.7323
2024Q3,AMPL,2024-08-08,<$100M,66.477,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,290,,,6,6,6,6,1,28204,2024-08-09,8.400000,2.6191,6.9048,3.6905,2.0238,24.8810
2024Q3,AMRN,2024-07-31,<$100M,85.975,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,68,,,6,5,6,6,1,21928,2024-08-01,13.400000,-8.9552,-2.9851,-5.9701,-5.9701,-10.4478
2024Q3,AMSF,2024-07-29,<$100M,78.438,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,6,0,6,6,1,13413,2024-07-30,47.349998,-1.0560,2.3231,5.2798,2.0697,15.9240
2024Q3,ANAB,2024-08-05,<$100M,1.374,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,11,,,2,1,6,6,1,14454,2024-08-06,22.440001,1.0101,10.8734,9.2989,-1.9608,-40.7605
2024Q3,ANY,2024-08-13,<$100M,3.026,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,4.7,,,5,1,6,6,1,6958,2024-08-14,8.900000,13.4832,-7.8652,-1.1236,7.9775,96.6292
