quarter,ticker,cik,event_accession,event_dates,primary_8k_doc,exhibit_docs,periodic_doc,primary_8k_text_len,exhibit_text_len,periodic_text_len,exhibit_table_count,exhibit_table_flag,doc_statuses,quality_pass,quality_reason,revenue_filter_keep_under_10b,revenue_bucket,revenue_value_usd,revenue_value_millions,revenue_filter_reason,revenue_fact_name_bucketed,revenue_filed_bucketed,revenue_form_bucketed,revenue_period_end_bucketed,mandatory_index_constituent,mandatory_indexes,mandatory_index_name,pipeline_status,pipeline_missing_reason
2024Q3,ACCO,712034,0000950170-24-089332,2024-08-01,acco-20240801.htm,acco-ex99_1.htm,,3583,35219,0,13,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$100M-$500M,402600000,402.6,keep_under_10b,Revenues,2024-05-03,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,ACDC,0001881487,0001104659-24-086919,2024-08-08,tm2421111d1_8k.htm,tm2421111d1_ex99-1.htm,,4197,26520,0,23,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$500M-$1B,857500000,857.5,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-10,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,ACGL,947484,0000947484-24-000091,2024-07-30,acgl-20240730.htm,ex-991release63024.htm;ex-992supplement63024.htm,,4172,125519,0,84,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached,True,included,True,$2B-$10B,3168000000,3168.0,keep_under_10b,Revenues,2024-05-09,10-Q,2023-03-31,True,SPY,Arch Capital Group,doc_quality_passed,
2024Q3,ACH,75252,0001193125-24-182567,2024-07-23;2024-08-02,d857019d8k.htm,d857019dex991.htm;tmb-20240802xex99d1.htm;tmb-20240802xex99d2.htm,,3460,13725,0,24,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:error_HTTPError;exhibit_3:error_HTTPError,True,included,True,$2B-$10B,2522849000,2522.849,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-03,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,ACIW,935036,0000935036-24-000032,2024-08-01,aciw-20240801.htm,aciw-20240801_ex992.htm,,3790,10150,0,0,no_tables_detected,primary_8k:cached;exhibit_1:cached,True,included,True,$100M-$500M,289676000,289.676,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-04-30,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,ACLS,1113232,0001104659-24-078460,2024-07-09;2024-07-31,tm2419004d1_8k.htm,tm2419004d1_ex99-1.htm;tm2419004d1_ex99-1img001.gif;tm2419004d1_ex99-1img003.gif,,2982,7513,0,0,no_tables_detected,primary_8k:cached;exhibit_1:cached;exhibit_2:cached;exhibit_3:cached,True,included,True,$100M-$500M,254020000,254.02,keep_under_10b,Revenues,2024-05-02,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,ACT,1823529,0001823529-24-000157,2024-07-31,act-20240731.htm,a2q24earningsrelease.htm,,4080,20743,0,3,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$100M-$500M,280939000,280.939,keep_under_10b,Revenues,2024-05-03,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,ACVA,1637873,0001628280-24-035624,2024-08-07,acva-20240807.htm,q2-24earningspressrelease.htm,,3433,24952,0,6,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$100M-$500M,119626000,119.626,keep_under_10b,Revenues,2024-05-08,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,ADBE,796343,0000796343-24-000200,2024-09-12,adbe-20240912.htm,adbeex991q324.htm,,13362,17592,0,8,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$2B-$10B,9471000000,9471.0,keep_under_10b,Revenues,2024-06-26,10-Q,2023-06-02,True,QQQ;SPY,Adobe Inc.,doc_quality_passed,
2024Q3,ADEA,1803696,0000950170-24-091759,2024-08-06,adea-20240806.htm,adea-ex99_1.htm,,3250,22031,0,10,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$100M-$500M,117307000,117.307,keep_under_10b,Revenues,2024-05-08,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,ADI,6281,0000006281-24-000158,2024-08-21,adi-20240821.htm,adi3q24exhibit991earnings.htm,,4121,26284,0,8,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$2B-$10B,6512560000,6512.56,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-22,10-Q,2023-04-29,True,QQQ;SPY,Analog Devices,doc_quality_passed,
