Ticker,Revenue group,Net income group,Assets,Financing cash flow,Investing cash flow,Operating cash flow,return from 2024 q3 to today
AON,$2B-$10B,1050000000,33959000000,404000000,205000000,443000000,10.5231
AOS,$500M-$1B,126900000,3213900000,-97500000,-9800000,119900000,-21.4199
AOSL,$500M-$1B,13468000,1199737000,-6417000,-90603000,48654000,10.7305
APAM,$100M-$500M,50753000,1405858000,-54849000,-36203000,120936000,-7.7332
APD,$2B-$10B,1012000000,32002500000,603400000,-2476000000,1358000000,17.6587
APEI,$100M-$500M,-5740000,557386000,-2849000,-3206000,12758000,220.3169
APH,$2B-$10B,439200000,16526400000,-265400000,-256600000,532400000,117.5155
APLE,$100M-$500M,32923000,4937298000,-31848000,-24576000,51691000,-8.5223
APO,$2B-$10B,1010000000,313488000000,11523000000,-5640000000,1071000000,4.7325
APP,$500M-$1B,-4518000,5359187000,-111415000,-12975000,288662000,359.5865
APPF,$100M-$500M,-35110000,408889000,-4705000,36288000,1573000,-31.2408
APPN,$100M-$500M,-36829000,627503000,88144000,-12316000,-25265000,-27.7398
APTV,$2B-$10B,162000000,24427000000,-122000000,-309000000,-9000000,-15.07
ARCB,$1B-$2B,71283000,2485094000,-46676000,70960000,20663000,17.7927
ARES,$500M-$1B,180623000,24730500000,-821144000,-8877000,707572000,-15.2143
ARLO,$100M-$500M,-14245000,285538000,-4691000,-22672000,10329000,9.8851
ARLP,$500M-$1B,191185000,2787749000,-99313000,-147148000,221688000,3.7465
AROC,$100M-$500M,16485000,2655950000,-28705000,-57666000,87856000,84.3581
ARRY,$100M-$500M,29635000,1706741000,-23762000,-3883000,45816000,-24.1611
ARWR,$100M-$500M,7350000,765552000,251096000,-116759000,-107187000,189.2092
ASAN,$100M-$500M,-61468000,961960000,9731000,-140366000,-14593000,-54.1278
ASB,$100M-$500M,103360000,41015855000,1230238000,-1076322000,47470000,32.2222
ASGN,$1B-$2B,49500000,3544600000,-73400000,-12300000,80500000,-78.4994
ASIX,$1B-$2B,34954000,1496020000,-5128000,-25606000,1575000,2.1323
ASO,$1B-$2B,93970000,4641934000,-53197000,-40547000,52135000,6.5899
ASTH,$100M-$500M,13132000,933361000,-7099000,-14035000,7720000,-14.9543
ATKR,$1B-$2B,173492000,2935009000,-284262000,-156074000,403396000,-42.8792
ATMU,$100M-$500M,52700000,1088600000,-36400000,-6400000,42800000,115.7401
ATNI,$100M-$500M,-7055000,1783714000,37999000,-52762000,16012000,25.7857
ATO,$2B-$10B,271860000,22516968000,-1438705000,-1410390000,2892716000,59.8614
ATRO,$100M-$500M,-4415000,633792000,9176000,1864000,-19181000,267.0346
AVA,$100M-$500M,54845000,7702477000,9175000,-106253000,94246000,18.6516
AVAV,$100M-$500M,-4185000,824577000,-16607000,-52288000,-9618000,6.5426
AVB,$500M-$1B,146775000,20678214000,-486960000,-267339000,396118000,-15.4644
AVD,$100M-$500M,1918000,767548000,43777000,-3308000,-41452000,-66.8605
