quarter,ticker,event_date,event_accession,revenue_bucket,revenue_value,net_income_value,assets_value,financing_cash_flow_value,investing_cash_flow_value,operating_cash_flow_value,earnings_score,earnings_score_bucket,guidance_torque,earnings_torque,segment_wave_torque,margin_quality,warning_penalty,guidance_vs_current_pct,score_status,score_missing_fields,extraction_source,quarter_revenue_millions,quarter_revenue_yoy_pct,quarter_revenue_qoq_pct,guidance_revenue_millions,guidance_gross_margin_pct,numeric_evidence_count,guidance_evidence_count,wave_or_demand_evidence_count,warning_or_risk_evidence_count,primary_text_len,exhibit_text_len,json_path,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct
2024Q3,A,2024-08-21,0001090872-24-000024,$2B-$10B,3473000000,654000000,10763000000,-407000000,-181000000,694000000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct,regex_fallback,1580,,,1641,,6,6,6,6,5275,23681,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/A/A_2024-08-21_000109087224000024.json,2024-08-22,145.380005,-4.4160,-4.5949,-3.8451,-5.9293,-11.5628
2024Q3,AAP,2024-08-22,0001158449-24-000192,$2B-$10B,3417594000,48323000,12276326000,-425202000,-89671000,-382524000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,2700,,,,,6,3,6,5,3605,20771,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/AAP/AAP_2024-08-22_000115844924000192.json,2024-08-23,51.299999,-14.7758,-23.0409,-20.9162,-24.4639,-24.5809
2024Q3,AAT,2024-07-30,0001500217-24-000043,$100M-$500M,107754000,20666000,2984681000,11485000,-25695000,51967000,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,,,6,6,6,6,95247,30180,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/AAT/AAT_2024-07-30_000150021724000043.json,2024-07-31,25.980000,-5.8891,-1.3472,4.8884,2.8483,5.2348
2024Q3,ABG,2024-08-02,0001144980-24-000127,$2B-$10B,3582300000,181400000,10159400000,-55000000,-55200000,171700000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,4200,,,,,6,3,6,6,3494,32840,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/ABG/ABG_2024-08-02_000114498024000127.json,2024-08-05,220.820007,5.0584,10.5244,5.8419,4.9814,7.3182
2024Q3,ABM,2024-09-06,0000950170-24-104226,$2B-$10B,3975300000,90400000,4933700000,62800000,-22200000,-45000000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,2100,,,,,6,6,6,6,3339,32676,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/ABM/ABM_2024-09-06_000095017024104226.json,2024-09-09,51.610001,0.4263,2.2282,1.8020,11.8582,10.1143
2024Q3,ABNB,2024-08-06,0001193125-24-194849,$1B-$2B,1818000000,117000000,20645000000,2286000000,-183000000,1587000000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,2750,,,,,6,6,6,6,3907,53078,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/ABNB/ABNB_2024-08-06_000119312524194849.json,2024-08-07,112.440002,5.9587,3.8243,1.6364,15.8218,22.5720
2024Q3,ACA,2024-08-01,0001739445-24-000111,$500M-$1B,549200000,55700000,3577900000,-4400000,-34100000,27300000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,2600,,,,,6,6,6,6,13994,32627,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/ACA/ACA_2024-08-01_000173944524000111.json,2024-08-02,86.160004,-5.4898,1.3928,0.0812,8.2869,8.6815
2024Q3,ACAD,2024-08-06,0000950170-24-091826,$100M-$500M,118462000,-43021000,748956000,1466000,192518000,-17933000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,242,,,,,6,6,6,6,3506,14545,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/ACAD/ACAD_2024-08-06_000095017024091826.json,2024-08-07,15.400000,2.3377,2.2727,4.3506,-4.3506,-2.5974
2024Q3,ACCO,2024-08-01,0000950170-24-089332,$100M-$500M,402600000,-3700000,2644800000,88200000,-2000000,-23200000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,438,,,,,6,6,6,6,3583,35219,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/ACCO/ACCO_2024-08-01_000095017024089332.json,2024-08-02,4.850000,-2.2680,7.8351,10.9278,10.5155,1.0309
2024Q3,ACDC,2024-08-08,0001104659-24-086919,$500M-$1B,857500000,22000000,3070700000,327100000,-525800000,233500000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,579.4,,,,,6,6,6,6,4197,26520,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/ACDC/ACDC_2024-08-08_000110465924086919.json,2024-08-09,6.110000,7.8560,10.8020,4.0917,17.8396,16.8576
2024Q3,ACGL,2024-07-30,0000947484-24-000091,$2B-$10B,3168000000,715000000,58906000000,-30000000,-996000000,963000000,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,,,6,3,6,6,4172,125521,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/ACGL/ACGL_2024-07-30_000094748424000091.json,2024-07-31,100.169998,-2.1963,2.6255,12.8981,11.6901,4.6221
2024Q3,ACH,2024-07-23,0001193125-24-182567,$2B-$10B,2522849000,-24418000,5093322000,-127489000,-34184000,158398000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,10500,,,,,6,6,6,6,3460,13725,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/ACH/ACH_2024-07-23_000119312524182567.json,2024-07-24,16.530001,-10.0424,-3.3273,-0.9679,-8.4090,-18.3908
2024Q3,ACIW,2024-08-01,0000935036-24-000032,$100M-$500M,289676000,-32308000,3444739000,-20326000,-8739000,40068000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct,regex_fallback,400,,,400,,6,4,6,6,3790,10150,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/ACIW/ACIW_2024-08-01_000093503624000032.json,2024-08-02,44.599998,2.3094,7.8027,9.7534,13.1390,10.3139
2024Q3,ACLS,2024-07-09,0001104659-24-078460,$100M-$500M,254020000,47697000,1281967000,-16670000,-33049000,34559000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,252,,,,,4,4,6,3,2982,7517,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/ACLS/ACLS_2024-07-09_000110465924078460.json,2024-07-10,153.449997,-10.7788,-23.5191,-26.7058,-36.4223,-35.8097
2024Q3,ACT,2024-07-31,0001823529-24-000157,$100M-$500M,280939000,255943000,6190473000,-44956000,33463000,119339000,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,,,6,2,6,6,4080,20743,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/ACT/ACT_2024-07-31_000182352924000157.json,2024-08-01,34.700001,-4.8991,0.3458,1.6427,4.6974,0.0288
2024Q3,ACVA,2024-08-07,0001628280-24-035624,$100M-$500M,119626000,-18200000,922924000,17280000,-23866000,42980000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,161,,,,,6,6,6,6,3433,24952,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/ACVA/ACVA_2024-08-07_000162828024035624.json,2024-08-08,16.400000,13.5366,12.5000,17.3781,14.2683,16.7073
2024Q3,ADBE,2024-09-12,0000796343-24-000200,$2B-$10B,9471000000,2542000000,29779000000,-3094000000,478000000,3832000000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,504,,,,,6,3,6,6,13362,17592,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/ADBE/ADBE_2024-09-12_000079634324000200.json,2024-09-13,532.570007,-0.8825,-5.4021,-4.3037,-1.1548,-10.8793
2024Q3,ADEA,2024-08-06,0000950170-24-091759,$100M-$500M,117307000,29021000,1105556000,-95088000,-390000,63352000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,87.4,,,,,6,5,6,6,3250,22031,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/ADEA/ADEA_2024-08-06_000095017024091759.json,2024-08-07,10.770000,9.8421,13.0919,6.8709,7.7994,18.7558
2024Q3,ADI,2024-08-21,0000006281-24-000158,$2B-$10B,6512560000,1939130000,48794478000,-2320272000,-460577000,2487886000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,2310,,,,,6,6,6,6,4121,26284,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/ADI/ADI_2024-08-21_000000628124000158.json,2024-08-22,225.679993,-3.0884,-0.2703,0.1462,-0.0044,-6.5004
2024Q3,ADNT,2024-08-06,0001670541-24-000095,$2B-$10B,7611000000,-3000000,9424000000,-218000000,-111000000,170000000,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,,,6,2,6,6,3393,17406,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/ADNT/ADNT_2024-08-06_000167054124000095.json,2024-08-07,22.000000,1.4545,0.7273,-4.0000,1.0909,-10.3636
2024Q3,ADSK,2024-08-29,0000769397-24-000147,$2B-$10B,4386000000,497000000,9438000000,-169000000,-1595000000,1531000000,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,regex_fallback,1500,12,,,,6,6,6,6,15985,32166,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/ADSK/ADSK_2024-08-29_000076939724000147.json,2024-08-30,270.000000,-5.3074,-0.0889,2.0296,7.2815,8.1111
2024Q3,ADTN,2024-08-06,0000950170-24-091207,$100M-$500M,323912000,-40083000,1682512000,55628000,-6794000,-19926000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,226,,,,,6,6,6,6,3918,59292,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/ADTN/ADTN_2024-08-06_000095017024091207.json,2024-08-07,4.730000,14.7992,13.1078,6.7653,22.1987,30.8668
2024Q3,ADUS,2024-08-05,0001193125-24-193948,$100M-$500M,251599000,12675000,1024426000,-23475000,-1742000,18799000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,286.9,,,,,6,0,6,4,3258,24842,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/ADUS/ADUS_2024-08-05_000119312524193948.json,2024-08-06,118.510002,10.8345,12.2521,9.3410,5.2401,8.8178
2024Q3,ADV,2024-08-07,0000950170-24-092266,$500M-$1B,944382000,-47587000,3779323000,-6878000,-7278000,43086000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,873,,,,,6,6,6,6,5105,68958,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/ADV/ADV_2024-08-07_000095017024092266.json,2024-08-08,94.250000,-1.3263,1.3263,-10.0796,-19.0981,-11.1406
2024Q3,AEE,2024-08-01,0001002910-24-000098,$2B-$10B,2062000000,265000000,40830000000,489000000,-964000000,496000000,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,,,6,6,6,4,4478,34101,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/AEE/AEE_2024-08-01_000100291024000098.json,2024-08-02,82.669998,-2.8426,-0.4597,0.7379,5.8425,5.3708
2024Q3,AEIS,2024-07-30,0001558370-24-010373,$100M-$500M,425040000,30921000,2556757000,-10805000,-16210000,29811000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,364.9,,,,,6,6,6,6,3483,22949,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/AEIS/AEIS_2024-07-30_000155837024010373.json,2024-07-31,114.419998,-13.8612,-6.5985,-7.2802,-8.0231,-2.9802
2024Q3,AEO,2024-08-29,0000950170-24-101592,$1B-$2B,1080926000,18453000,3373894000,1908000,-46020000,-8216000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,1300,,,,,6,6,6,6,4340,16909,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/AEO/AEO_2024-08-29_000095017024101592.json,2024-08-30,20.719999,-8.3012,-3.2336,8.0598,-3.2336,-7.1429
2024Q3,AEP,2024-07-30,0000004904-24-000080,$2B-$10B,4690900000,400400000,96684000000,1364400000,-2245200000,717800000,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,,,6,6,6,6,3375,25050,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/AEP/AEP_2024-07-30_000000490424000080.json,2024-07-31,98.919998,-1.7994,-1.2940,1.3748,3.7202,-1.5467
2024Q3,AES,2024-08-01,0000874761-24-000056,$2B-$10B,3239000000,151000000,44799000000,1016000000,-1624000000,625000000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,63,,,,,6,6,6,6,7538,43983,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/AES/AES_2024-08-01_000087476124000056.json,2024-08-02,17.299999,-3.4104,2.7168,-3.1792,16.9942,-4.6821
2024Q3,AESI,2024-08-05,0000950170-24-090850,$100M-$500M,153418000,1734000,1261686000,277351000,-60940000,54235000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,287.5,,,,,6,3,6,6,4300,27718,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/AESI/AESI_2024-08-05_000095017024090850.json,2024-08-06,18.440001,9.2191,16.2690,10.9002,22.6681,8.2429
2024Q3,AFL,2024-07-31,0000004977-24-000138,$2B-$10B,4800000000,1188000000,126724000000,-933000000,-77000000,890000000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,5100,,,,,6,3,6,6,22088,53556,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/AFL/AFL_2024-07-31_000000497724000138.json,2024-08-01,104.379997,-3.0561,0.9197,4.4932,7.1086,5.4704
