quarter,ticker,cik,asof_date
2024Q2,A,1090872,2024-05-29
2024Q2,AAP,1158449,2024-05-29
2024Q2,AAT,1500217,2024-04-30
2024Q2,ABG,1144980,2024-04-25
2024Q2,ABM,771497,2024-06-06
2024Q2,ABNB,1559720,2024-05-08
2024Q2,ACA,1739445,2024-05-02
2024Q2,ACAD,1070494,2024-05-08
2024Q2,ACCO,712034,2024-05-02
2024Q2,ACDC,0001881487,2024-05-09
2024Q2,ACGL,947484,2024-04-29
2024Q2,ACH,75252,2024-05-03
2024Q2,ACIW,935036,2024-04-30
2024Q2,ACLS,1113232,2024-05-01
2024Q2,ACT,1823529,2024-05-01
2024Q2,ACVA,1637873,2024-05-08
2024Q2,ADBE,796343,2024-06-13
2024Q2,ADEA,1803696,2024-05-06
2024Q2,ADI,6281,2024-05-22
2024Q2,ADNT,1670541,2024-05-03
2024Q2,ADSK,769397,2024-06-03
2024Q2,ADTN,926282,2024-05-03
2024Q2,ADUS,1468328,2024-05-06
2024Q2,ADV,1776661,2024-05-09
2024Q2,AEE,1002910,2024-05-02
2024Q2,AEIS,927003,2024-05-01
2024Q2,AEO,919012,2024-05-29
2024Q2,AEP,4904,2024-04-30
2024Q2,AES,874761,2024-05-02
2024Q2,AESI,0001984060,2024-05-06
2024Q2,AFL,4977,2024-05-01
2024Q2,AFRM,1820953,2024-05-08
2024Q2,AGX,100591,2024-04-11
2024Q2,AGYS,78749,2024-05-13
2024Q2,AHCO,1725255,2024-05-07
2024Q2,AHR,1632970,2024-05-13
2024Q2,AHRT,1569187,2024-05-09
2024Q2,AI,1577526,2024-05-29
2024Q2,AJG,354190,2024-04-25
2024Q2,AKAM,1086222,2024-05-09
2024Q2,ALB,915913,2024-05-01
2024Q2,ALG,897077,2024-05-02
2024Q2,ALGM,866291,2024-05-09
2024Q2,ALGN,1097149,2024-04-24
2024Q2,ALGT,1362468,2024-05-07
2024Q2,ALKS,1520262,2024-05-01
2024Q2,ALLE,1579241,2024-04-25
2024Q2,ALRM,1459200,2024-05-09
2024Q2,ALTG,1759824,2024-05-08
2024Q2,AMC,1411579,2024-04-26
2024Q2,AMCX,1514991,2024-05-10
2024Q2,AMD,2488,2024-04-30
2024Q2,AME,1037868,2024-05-02
2024Q2,AMGN,318154,2024-05-02
2024Q2,AMKR,1047127,2024-04-29
2024Q2,AMN,1142750,2024-05-09
2024Q2,AMPH,1297184,2024-05-08
2024Q2,AMR,1704715,2024-05-06
2024Q2,AMRX,1723128,2024-05-03
2024Q2,AMT,1053507,2024-04-30
2024Q2,AMWD,794619,2024-05-23
2024Q2,ANDE,821026,2024-05-07
2024Q2,ANET,1596532,2024-05-07
2024Q2,ANF,1018840,2024-05-30
2024Q2,ANGI,1705110,2024-05-07
2024Q2,ANGO,1275187,2024-04-04
2024Q2,AON,315293,2024-04-26
2024Q2,AOS,91142,2024-04-25
2024Q2,AOSL,1387467,2024-05-07
2024Q2,APAM,1517302,2024-04-23
2024Q2,APD,2969,2024-04-30
2024Q2,APEI,1201792,2024-05-07
2024Q2,APH,820313,2024-04-24
2024Q2,APLE,1418121,2024-05-06
2024Q2,APO,0001858681,2024-05-02
2024Q2,APP,1751008,2024-05-08
2024Q2,APPF,1433195,2024-04-25
2024Q2,APPN,1441683,2024-04-16
2024Q2,APTV,1521332,2024-05-02
2024Q2,ARCB,894405,2024-04-30
2024Q2,ARES,1176948,2024-05-02
2024Q2,ARLO,1736946,2024-05-09
2024Q2,ARLP,1086600,2024-04-29
2024Q2,AROC,1389050,2024-05-01
2024Q2,ARRY,1820721,2024-05-09
2024Q2,ARWR,879407,2024-05-09
2024Q2,ASAN,1477720,2024-05-30
2024Q2,ASB,7789,2024-04-25
2024Q2,ASGN,890564,2024-04-24
2024Q2,ASIX,1673985,2024-05-03
2024Q2,ASO,1817358,2024-06-11
2024Q2,ASTH,1083446,2024-05-07
2024Q2,ATKR,1666138,2024-05-07
2024Q2,ATMU,0001921963,2024-05-03
2024Q2,ATNI,879585,2024-04-25
2024Q2,ATO,731802,2024-05-08
2024Q2,ATRO,8063,2024-05-02
2024Q2,AVA,104918,2024-05-01
2024Q2,AVAV,1368622,2024-06-26
2024Q2,AVB,915912,2024-04-26
2024Q2,AVD,5981,2024-05-10
2024Q2,AVNS,1606498,2024-05-02
2024Q2,AVNT,1122976,2024-05-07
2024Q2,AVNW,1377789,2024-05-01
2024Q2,AVY,8818,2024-04-24
2024Q2,AWK,1410636,2024-05-01
2024Q2,AWR,1056903,2024-05-07
2024Q2,AXON,1069183,2024-05-06
2024Q2,AXP,4962,2024-04-19
2024Q2,AZZ,8947,2024-04-22
2024Q2,BALL,9389,2024-04-26
2024Q2,BANC,1169770,2024-04-23
2024Q2,BARK,1819574,2024-06-03
2024Q2,BAX,10456,2024-05-02
2024Q2,BBBY,1130713,2024-05-06
2024Q2,BBSI,902791,2024-05-01
2024Q2,BBT,1108134,2024-04-18
2024Q2,BBY,764478,2024-05-30
2024Q2,BCC,1328581,2024-05-06
2024Q2,BCPC,9326,2024-05-03
2024Q2,BDC,913142,2024-05-02
2024Q2,BDN,790816,2024-04-18
2024Q2,BDX,10795,2024-05-02
2024Q2,BE,1664703,2024-05-09
2024Q2,BEN,38777,2024-04-29
2024Q2,BFH,1101215,2024-04-25
2024Q2,BGS,1278027,2024-05-08
2024Q2,BHE,863436,2024-05-01
2024Q2,BHF,1685040,2024-05-07
2024Q2,BHFAL,1685040,2024-05-07
2024Q2,BHFAM,1685040,2024-05-07
2024Q2,BHFAN,1685040,2024-05-07
2024Q2,BHFAO,1685040,2024-05-07
2024Q2,BHFAP,1685040,2024-05-07
2024Q2,BHR,1574085,2024-05-08
2024Q2,BIIB,875045,2024-04-24
2024Q2,BKH,1130464,2024-05-08
2024Q2,BKNG,1075531,2024-05-02
2024Q2,BKR,1701605,2024-04-23
2024Q2,BLBD,1589526,2024-05-08
2024Q2,BLDR,1316835,2024-05-07
2024Q2,BLKB,1280058,2024-04-30
2024Q2,BLMN,1546417,2024-05-07
2024Q2,BMBL,1830043,2024-05-08
2024Q2,BMI,9092,2024-04-18
2024Q2,BMRN,1048477,2024-04-24
2024Q2,BNED,1634117,2024-05-23
2024Q2,BNL,1424182,2024-04-03
2024Q2,BOOT,1610250,2024-05-14
2024Q2,BOX,1372612,2024-05-28
2024Q2,BPOP,763901,2024-04-23
2024Q2,BR,1383312,2024-05-08
2024Q2,BRKR,1109354,2024-05-02
2024Q2,BRO,79282,2024-04-22
2024Q2,BRSP,1717547,2024-05-01
2024Q2,BSX,885725,2024-04-24
2024Q2,BSY,1031308,2024-05-07
2024Q2,BTSG,0001865782,2024-05-02
2024Q2,BTSGU,0001865782,2024-05-02
2024Q2,BTU,1064728,2024-04-11
2024Q2,BV,1734713,2024-05-01
2024Q2,BVS,1665988,2024-05-07
2024Q2,BWIN,1781755,2024-05-07
2024Q2,BWXT,1486957,2024-05-06
2024Q2,BX,1393818,2024-04-18
2024Q2,BXC,1301787,2024-04-30
2024Q2,BXP,1037540,2024-04-30
2024Q2,BZH,915840,2024-05-01
2024Q2,CABO,1632127,2024-05-02
2024Q2,CACC,885550,2024-04-30
2024Q2,CAG,23217,2024-04-04
2024Q2,CAKE,887596,2024-05-08
2024Q2,CAL,14707,2024-05-30
2024Q2,CALM,16160,2024-04-02
2024Q2,CALX,1406666,2024-04-22
2024Q2,CALY,837465,2024-05-08
2024Q2,CAR,723612,2024-05-01
2024Q2,CARG,1494259,2024-05-09
2024Q2,CARR,1783180,2024-04-25
2024Q2,CARS,1683606,2024-05-09
2024Q2,CASH,907471,2024-04-24
2024Q2,CBL,910612,2024-05-10
2024Q2,CBOE,1374310,2024-05-03
2024Q2,CBRL,1067294,2024-05-16
2024Q2,CBT,16040,2024-05-06
2024Q2,CBZ,944148,2024-04-25
2024Q2,CC,1627223,2024-04-30
2024Q2,CCC,1818201,2024-04-30
2024Q2,CCI,1051470,2024-04-17
2024Q2,CCL,815097,2024-06-25
2024Q2,CCOI,1158324,2024-05-09
2024Q2,CCRN,1141103,2024-05-01
