quarter,ticker,event_date,event_accession,revenue_bucket,revenue_value,net_income_value,assets_value,financing_cash_flow_value,investing_cash_flow_value,operating_cash_flow_value,earnings_score,earnings_score_bucket,guidance_torque,earnings_torque,segment_wave_torque,margin_quality,warning_penalty,guidance_vs_current_pct,score_status,score_missing_fields,extraction_source,quarter_revenue_millions,quarter_revenue_yoy_pct,quarter_revenue_qoq_pct,guidance_revenue_millions,guidance_gross_margin_pct,numeric_evidence_count,guidance_evidence_count,wave_or_demand_evidence_count,warning_or_risk_evidence_count,primary_text_len,exhibit_text_len,semantic_text_len,table_count,json_path,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct
2024Q3,ACIW,2024-08-01,0000935036-24-000032,$100M-$500M,289676000,-32308000,3444739000,-20326000,-8739000,40068000,,not_scored,1,0,0,0,0,0.0,missing_required_data,quarter_revenue_yoy_pct,sec_parser_table_xbrl,400.0,,,400.0,,6,5,6,6,3790,10150,10508,0,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser_smoke/ACIW/ACIW_2024-08-01_000093503624000032.json,2024-08-02,44.599998,2.3094,7.8027,9.7534,13.1390,10.3139
2024Q3,ACLS,2024-07-09,0001104659-24-078460,$100M-$500M,254020000,47697000,1281967000,-16670000,-33049000,34559000,,not_scored,-2,0,0,0,2,-2.7778,missing_required_data,quarter_revenue_yoy_pct,sec_parser_table_xbrl,252.0,,,245.0,,4,4,6,3,2982,7517,7620,0,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser_smoke/ACLS/ACLS_2024-07-09_000110465924078460.json,2024-07-10,153.449997,-10.7788,-23.5191,-26.7058,-36.4223,-35.8097
2024Q3,ACT,2024-07-31,0001823529-24-000157,$100M-$500M,280939000,255943000,6190473000,-44956000,33463000,119339000,0,avoid,0,0,0,0,0,,scored,,sec_parser_table_xbrl,298.834,0.0,,,,6,2,6,6,4080,20743,20428,3,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser_smoke/ACT/ACT_2024-07-31_000182352924000157.json,2024-08-01,34.700001,-4.8991,0.3458,1.6427,4.6974,0.0288
2024Q3,ACVA,2024-08-07,0001628280-24-035624,$100M-$500M,119626000,-18200000,922924000,17280000,-23866000,42980000,0,avoid,1,0,0,0,1,0.0,scored,,sec_parser_table_xbrl,161.0,29.0,,161.0,,6,6,6,6,3433,24952,24673,6,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser_smoke/ACVA/ACVA_2024-08-07_000162828024035624.json,2024-08-08,16.400000,13.5366,12.5000,17.3781,14.2683,16.7073
2024Q3,ADBE,2024-09-12,0000796343-24-000200,$2B-$10B,9471000000,2542000000,29779000000,-3094000000,478000000,3832000000,2,low,0,0,2,0,0,,scored,,sec_parser_table_xbrl,504.0,0.0,,,,6,3,6,6,13362,17592,17332,8,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser_smoke/ADBE/ADBE_2024-09-12_000079634324000200.json,2024-09-13,532.570007,-0.8825,-5.4021,-4.3037,-1.1548,-10.8793
2024Q3,ADEA,2024-08-06,0000950170-24-091759,$100M-$500M,117307000,29021000,1105556000,-95088000,-390000,63352000,0,avoid,0,0,0,0,0,,scored,,sec_parser_table_xbrl,87.4,0.0,,,,6,5,6,6,3250,22031,21980,10,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser_smoke/ADEA/ADEA_2024-08-06_000095017024091759.json,2024-08-07,10.770000,9.8421,13.0919,6.8709,7.7994,18.7558
2024Q3,ADI,2024-08-21,0000006281-24-000158,$2B-$10B,6512560000,1939130000,48794478000,-2320272000,-460577000,2487886000,0,avoid,1,-1,1,0,1,3.8961,scored,,sec_parser_table_xbrl,2310.0,-24.8375,,2400.0,,6,6,6,6,4121,26284,25747,8,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser_smoke/ADI/ADI_2024-08-21_000000628124000158.json,2024-08-22,225.679993,-3.0884,-0.2703,0.1462,-0.0044,-6.5004
2024Q3,ADNT,2024-08-06,0001670541-24-000095,$2B-$10B,7611000000,-3000000,9424000000,-218000000,-111000000,170000000,-2,avoid,0,-1,0,0,1,,scored,,sec_parser_table_xbrl,3716.0,-8.36,,,,6,2,6,6,3393,17406,16850,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser_smoke/ADNT/ADNT_2024-08-06_000167054124000095.json,2024-08-07,22.000000,1.4545,0.7273,-4.0000,1.0909,-10.3636
2024Q3,ADSK,2024-08-29,0000769397-24-000147,$2B-$10B,4386000000,497000000,9438000000,-169000000,-1595000000,1531000000,-1,avoid,0,0,1,0,2,,scored,,sec_parser_table_xbrl,1500.0,12.0,,,,6,6,6,6,15985,32166,31803,9,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser_smoke/ADSK/ADSK_2024-08-29_000076939724000147.json,2024-08-30,270.000000,-5.3074,-0.0889,2.0296,7.2815,8.1111
2024Q3,ADTN,2024-08-06,0000950170-24-091207,$100M-$500M,323912000,-40083000,1682512000,55628000,-6794000,-19926000,-3,avoid,-2,-1,1,0,1,-4.8673,scored,,sec_parser_table_xbrl,226.0,-30.9694,,215.0,,6,6,6,6,3918,59292,59227,9,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser_smoke/ADTN/ADTN_2024-08-06_000095017024091207.json,2024-08-07,4.730000,14.7992,13.1078,6.7653,22.1987,30.8668
2024Q3,ADUS,2024-08-05,0001193125-24-193948,$100M-$500M,251599000,12675000,1024426000,-23475000,-1742000,18799000,0,avoid,0,0,0,0,0,,scored,,sec_parser_table_xbrl,286.9,10.3631,,,,6,0,6,4,3258,24842,24827,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser_smoke/ADUS/ADUS_2024-08-05_000119312524193948.json,2024-08-06,118.510002,10.8345,12.2521,9.3410,5.2401,8.8178
2024Q3,ADV,2024-08-07,0000950170-24-092266,$500M-$1B,944382000,-47587000,3779323000,-6878000,-7278000,43086000,-1,avoid,0,-1,0,0,0,,scored,,sec_parser_table_xbrl,873.0,-9.3801,,,,6,6,6,6,5105,68958,68894,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser_smoke/ADV/ADV_2024-08-07_000095017024092266.json,2024-08-08,94.250000,-1.3263,1.3263,-10.0796,-19.0981,-11.1406
2024Q3,AEE,2024-08-01,0001002910-24-000098,$2B-$10B,2062000000,265000000,40830000000,489000000,-964000000,496000000,0,avoid,0,0,0,0,0,,scored,,sec_parser_table_xbrl,26.0,0.0,,,,6,6,6,4,4478,34101,33655,9,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser_smoke/AEE/AEE_2024-08-01_000100291024000098.json,2024-08-02,82.669998,-2.8426,-0.4597,0.7379,5.8425,5.3708
