quarter,ticker,cik,asof_date
2023Q2,A,1090872,2023-05-23
2023Q2,AAP,1158449,2023-05-31
2023Q2,AAT,1500217,2023-04-25
2023Q2,ABG,1144980,2023-04-25
2023Q2,ABM,771497,2023-06-06
2023Q2,ABNB,1559720,2023-05-09
2023Q2,ACA,1739445,2023-04-27
2023Q2,ACAD,1070494,2023-05-08
2023Q2,ACCO,712034,2023-05-04
2023Q2,ACDC,0001881487,2023-05-10
2023Q2,ACGL,947484,2023-04-26
2023Q2,ACH,75252,2023-05-05
2023Q2,ACIW,935036,2023-05-04
2023Q2,ACLS,1113232,2023-05-03
2023Q2,ACT,1823529,2023-05-03
2023Q2,ACVA,1637873,2023-05-10
2023Q2,ADBE,796343,2023-06-15
2023Q2,ADEA,1803696,2023-05-08
2023Q2,ADI,6281,2023-05-24
2023Q2,ADNT,1670541,2023-05-03
2023Q2,ADSK,769397,2023-05-25
2023Q2,ADTN,926282,2023-04-11
2023Q2,ADUS,1468328,2023-05-01
2023Q2,ADV,1776661,2023-05-10
2023Q2,AEE,1002910,2023-05-04
2023Q2,AEIS,927003,2023-05-03
2023Q2,AEO,919012,2023-05-24
2023Q2,AEP,4904,2023-05-04
2023Q2,AES,874761,2023-05-04
2023Q2,AFL,4977,2023-04-27
2023Q2,AFRM,1820953,2023-05-09
2023Q2,AGX,100591,2023-04-17
2023Q2,AGYS,78749,2023-05-16
2023Q2,AHCO,1725255,2023-05-09
2023Q2,AHRT,1569187,2023-05-09
2023Q2,AI,1577526,2023-05-15
2023Q2,AIOT,1774170,2023-05-09
2023Q2,AJG,354190,2023-04-27
2023Q2,AKAM,1086222,2023-05-09
2023Q2,ALB,915913,2023-05-03
2023Q2,ALG,897077,2023-05-04
2023Q2,ALGM,866291,2023-05-10
2023Q2,ALGN,1097149,2023-04-26
2023Q2,ALGT,1362468,2023-05-03
2023Q2,ALKS,1520262,2023-04-26
2023Q2,ALLE,1579241,2023-04-26
2023Q2,ALRM,1459200,2023-05-10
