quarter,ticker,cik,asof_date
2025Q3,A,1090872,2025-08-27
2025Q3,AAP,1158449,2025-07-24
2025Q3,AAT,1500217,2025-07-29
2025Q3,ABG,1144980,2025-07-29
2025Q3,ABM,771497,2025-09-05
2025Q3,ABNB,1559720,2025-08-06
2025Q3,ACA,1739445,2025-08-07
2025Q3,ACAD,1070494,2025-08-06
2025Q3,ACCO,712034,2025-07-31
2025Q3,ACDC,0001881487,2025-08-07
2025Q3,ACGL,947484,2025-07-29
2025Q3,ACH,75252,2025-08-11
2025Q3,ACIW,935036,2025-08-07
2025Q3,ACLS,1113232,2025-08-05
2025Q3,ACT,1823529,2025-07-30
2025Q3,ACVA,1637873,2025-08-11
2025Q3,ADBE,796343,2025-09-11
2025Q3,ADEA,1803696,2025-08-05
2025Q3,ADI,6281,2025-08-20
2025Q3,ADNT,1670541,2025-08-06
2025Q3,ADSK,769397,2025-08-28
2025Q3,ADTN,926282,2025-07-16
2025Q3,ADUS,1468328,2025-08-04
2025Q3,ADV,1776661,2025-08-07
2025Q3,AEE,1002910,2025-07-31
2025Q3,AEIS,927003,2025-08-05
2025Q3,AEO,919012,2025-09-03
2025Q3,AEP,4904,2025-07-30
2025Q3,AES,874761,2025-08-01
2025Q3,AESI,0001984060,2025-08-04
2025Q3,AFL,4977,2025-08-05
2025Q3,AFRM,1820953,2025-08-28
2025Q3,AGX,100591,2025-09-04
2025Q3,AGYS,78749,2025-07-21
2025Q3,AHCO,1725255,2025-08-05
2025Q3,AHR,1632970,2025-08-07
2025Q3,AHRT,1569187,2025-08-04
2025Q3,AI,1577526,2025-08-11
2025Q3,AIOT,1774170,2025-08-11
2025Q3,AJG,354190,2025-07-31
2025Q3,AKAM,1086222,2025-08-07
2025Q3,ALB,915913,2025-07-30
2025Q3,ALG,897077,2025-08-06
2025Q3,ALGM,866291,2025-07-31
2025Q3,ALGN,1097149,2025-07-30
2025Q3,ALGT,1362468,2025-08-04
2025Q3,ALKS,1520262,2025-07-29
2025Q3,ALLE,1579241,2025-07-24
2025Q3,ALRM,1459200,2025-08-07
2025Q3,ALTG,1759824,2025-08-07
2025Q3,AMC,1411579,2025-08-11
2025Q3,AMCX,1514991,2025-08-08
2025Q3,AMD,2488,2025-08-05
2025Q3,AME,1037868,2025-07-31
2025Q3,AMGN,318154,2025-08-05
2025Q3,AMKR,1047127,2025-07-28
2025Q3,AMN,1142750,2025-08-07
2025Q3,AMPH,1297184,2025-08-07
2025Q3,AMR,1704715,2025-08-08
2025Q3,AMRX,1723128,2025-07-21
2025Q3,AMT,1053507,2025-07-29
2025Q3,AMWD,794619,2025-08-06
2025Q3,ANDE,821026,2025-08-04
2025Q3,ANET,1596532,2025-08-05
2025Q3,ANF,1018840,2025-08-28
2025Q3,ANGI,1705110,2025-08-05
2025Q3,ANGO,1275187,2025-07-15
2025Q3,AON,315293,2025-07-25
2025Q3,AOS,91142,2025-07-24
2025Q3,AOSL,1387467,2025-08-06
2025Q3,APAM,1517302,2025-07-29
2025Q3,APD,2969,2025-07-31
2025Q3,APEI,1201792,2025-08-06
2025Q3,APH,820313,2025-07-23
2025Q3,APLE,1418121,2025-08-06
2025Q3,APO,0001858681,2025-07-01
