quarter,asof_date,ticker,cik,entity_name,revenue_bucket,revenue_filter_keep_under_10b,revenue_value,revenue_fact_name,revenue_unit,revenue_filed,revenue_form,revenue_period_end,net_income_value,net_income_fact_name,net_income_unit,net_income_filed,net_income_form,net_income_period_end,assets_value,assets_fact_name,assets_unit,assets_filed,assets_form,assets_period_end,financing_cash_flow_value,financing_cash_flow_fact_name,financing_cash_flow_unit,financing_cash_flow_filed,financing_cash_flow_form,financing_cash_flow_period_end,investing_cash_flow_value,investing_cash_flow_fact_name,investing_cash_flow_unit,investing_cash_flow_filed,investing_cash_flow_form,investing_cash_flow_period_end,operating_cash_flow_value,operating_cash_flow_fact_name,operating_cash_flow_unit,operating_cash_flow_filed,operating_cash_flow_form,operating_cash_flow_period_end,universal_feature_set,universal_feature_complete,universal_feature_complete_through_eps,missing_universal_features,net_income_margin,operating_cash_flow_to_revenue,assets_to_revenue,financing_cash_flow_to_revenue,investing_cash_flow_to_revenue
2023Q3,2023-08-15,A,1090872,"AGILENT TECHNOLOGIES, INC.",$2B-$10B,,3281000000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2023-05-26,10-Q,2022-04-30,557000000,NetIncomeLoss,USD,2023-05-26,10-Q,2022-04-30,10532000000,Assets,USD,2023-05-26,10-Q,2022-10-31,-669000000,NetCashProvidedByUsedInFinancingActivities,USD,2023-05-26,10-Q,2022-04-30,-155000000,NetCashProvidedByUsedInInvestingActivities,USD,2023-05-26,10-Q,2022-04-30,538000000,NetCashProvidedByUsedInOperatingActivities,USD,2023-05-26,10-Q,2022-04-30,through_ocf,True,,,0.169765,0.163974,3.209997,-0.203901,-0.047242
2023Q3,2023-08-23,AAP,1158449,"Advance Auto Parts, Inc.",$2B-$10B,,6039636000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2023-08-23,10-Q,2022-07-16,284193000,NetIncomeLoss,USD,2023-08-23,10-Q,2022-07-16,12018482000,Assets,USD,2023-08-23,10-Q,2022-12-31,-465560000,NetCashProvidedByUsedInFinancingActivities,USD,2023-08-23,10-Q,2022-07-16,-210382000,NetCashProvidedByUsedInInvestingActivities,USD,2023-08-23,10-Q,2022-07-16,308543000,NetCashProvidedByUsedInOperatingActivities,USD,2023-08-23,10-Q,2022-07-16,through_ocf,True,,,0.047055,0.051086,1.989935,-0.077084,-0.034834
2023Q3,2023-07-25,AAT,1500217,"AMERICAN ASSETS TRUST, INC.",$100M-$500M,,101470000,Revenues,USD,2023-04-28,10-Q,2022-03-31,13514000,ProfitLoss,USD,2023-04-28,10-Q,2022-03-31,2987881000,Assets,USD,2023-04-28,10-Q,2022-12-31,-27805000,NetCashProvidedByUsedInFinancingActivities,USD,2023-04-28,10-Q,2022-03-31,-77295000,NetCashProvidedByUsedInInvestingActivities,USD,2023-04-28,10-Q,2022-03-31,39149000,NetCashProvidedByUsedInOperatingActivities,USD,2023-04-28,10-Q,2022-03-31,through_ocf,True,,,0.133182,0.385818,29.445954,-0.274022,-0.761752
2023Q3,2023-07-25,ABG,1144980,"ASBURY AUTOMOTIVE GROUP, INC",$2B-$10B,,3911800000,Revenues,USD,2023-04-28,10-Q,2022-03-31,237700000,NetIncomeLoss,USD,2023-04-28,10-Q,2022-03-31,8021400000,Assets,USD,2023-04-28,10-Q,2022-12-31,-534900000,NetCashProvidedByUsedInFinancingActivities,USD,2023-04-28,10-Q,2022-03-31,231300000,NetCashProvidedByUsedInInvestingActivities,USD,2023-04-28,10-Q,2022-03-31,409000000,NetCashProvidedByUsedInOperatingActivities,USD,2023-04-28,10-Q,2022-03-31,through_ocf,True,,,0.060765,0.104555,2.050565,-0.13674,0.059129
2023Q3,2023-09-07,ABM,771497,ABM INDUSTRIES INCORPORATED,$2B-$10B,,5795500000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2023-09-07,10-Q,2022-07-31,181600000,NetIncomeLoss,USD,2023-09-07,10-Q,2022-07-31,4868900000,Assets,USD,2023-09-07,10-Q,2022-10-31,194200000,NetCashProvidedByUsedInFinancingActivities,USD,2023-09-07,10-Q,2022-07-31,-93300000,NetCashProvidedByUsedInInvestingActivities,USD,2023-09-07,10-Q,2022-07-31,-96700000,NetCashProvidedByUsedInOperatingActivities,USD,2023-09-07,10-Q,2022-07-31,through_ocf,True,,,0.031335,-0.016685,0.840117,0.033509,-0.016099
2023Q3,2023-08-03,ABNB,1559720,"Airbnb, Inc.",$2B-$10B,,3613000000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2023-08-03,10-Q,2022-06-30,-19000000,NetIncomeLoss,USD,2023-08-03,10-Q,2022-03-31,16038000000,Assets,USD,2023-08-03,10-Q,2022-12-31,3649000000,NetCashProvidedByUsedInFinancingActivities,USD,2023-08-03,10-Q,2022-06-30,171000000,NetCashProvidedByUsedInInvestingActivities,USD,2023-08-03,10-Q,2022-06-30,2003000000,NetCashProvidedByUsedInOperatingActivities,USD,2023-08-03,10-Q,2022-06-30,through_ocf,True,,,-0.005259,0.554387,4.43897,1.009964,0.047329
2023Q3,2023-07-20,ABT,1800,ABBOTT LABORATORIES,>$10B,,11895000000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2023-05-04,10-Q,2022-03-31,2447000000,NetIncomeLoss,USD,2023-05-04,10-Q,2022-03-31,74438000000,Assets,USD,2023-05-04,10-Q,2022-12-31,-3823000000,NetCashProvidedByUsedInFinancingActivities,USD,2023-05-04,10-Q,2022-03-31,-360000000,NetCashProvidedByUsedInInvestingActivities,USD,2023-05-04,10-Q,2022-03-31,2065000000,NetCashProvidedByUsedInOperatingActivities,USD,2023-05-04,10-Q,2022-03-31,through_ocf,True,,,0.205717,0.173602,6.257923,-0.321396,-0.030265
2023Q3,2023-08-03,ACA,1739445,"Arcosa, Inc.",$500M-$1B,,535800000,Revenues,USD,2023-04-28,10-Q,2022-03-31,20200000,NetIncomeLoss,USD,2023-04-28,10-Q,2022-03-31,3340600000,Assets,USD,2023-04-28,10-Q,2022-12-31,-3500000,NetCashProvidedByUsedInFinancingActivities,USD,2023-04-28,10-Q,2022-03-31,-5300000,NetCashProvidedByUsedInInvestingActivities,USD,2023-04-28,10-Q,2022-03-31,24500000,NetCashProvidedByUsedInOperatingActivities,USD,2023-04-28,10-Q,2022-03-31,through_ocf,True,,,0.037701,0.045726,6.234789,-0.006532,-0.009892
2023Q3,2023-07-18,ACAD,1070494,Acadia Pharmaceuticals Inc.,$100M-$500M,,115468000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2023-05-08,10-Q,2022-03-31,-113056000,NetIncomeLoss,USD,2023-05-08,10-Q,2022-03-31,587812000,Assets,USD,2023-05-08,10-Q,2022-12-31,2467000,NetCashProvidedByUsedInFinancingActivities,USD,2023-05-08,10-Q,2022-03-31,131345000,NetCashProvidedByUsedInInvestingActivities,USD,2023-05-08,10-Q,2022-03-31,-76329000,NetCashProvidedByUsedInOperatingActivities,USD,2023-05-08,10-Q,2022-03-31,through_ocf,True,,,-0.979111,-0.66104,5.090692,0.021365,1.137501
2023Q3,2023-08-08,ACCO,712034,ACCO Brands Corporation,$100M-$500M,,441600000,Revenues,USD,2023-05-05,10-Q,2022-03-31,-2700000,NetIncomeLoss,USD,2023-05-05,10-Q,2022-03-31,2794700000,Assets,USD,2023-05-05,10-Q,2022-12-31,153500000,NetCashProvidedByUsedInFinancingActivities,USD,2023-05-05,10-Q,2022-03-31,-3400000,NetCashProvidedByUsedInInvestingActivities,USD,2023-05-05,10-Q,2022-03-31,-104200000,NetCashProvidedByUsedInOperatingActivities,USD,2023-05-05,10-Q,2022-03-31,through_ocf,True,,,-0.006114,-0.23596,6.328578,0.3476,-0.007699
