ticker,cik,doc_type,accession,document,current_text_len,html_path,text_path
LCID,1811210,earnings_exhibit,0001104659-24-078210,q2fy24ex991earnings.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/LCID_000110465924078210_q2fy24ex991earnings.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/LCID_000110465924078210_q2fy24ex991earnings.htm.txt
LCID,1811210,earnings_exhibit,0001104659-24-078210,ex991-techandmanufacturing.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/LCID_000110465924078210_ex991-techandmanufacturing.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/LCID_000110465924078210_ex991-techandmanufacturing.htm.txt
LITE,1633978,earnings_exhibit,0001628280-24-037191,lite_ex991xq4fy248-ka.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/LITE_000162828024037191_lite_ex991xq4fy248-ka.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/LITE_000162828024037191_lite_ex991xq4fy248-ka.htm.txt
LPG,1596993,earnings_exhibit,0001596993-24-000037,lpg-20240801xex99d1.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/LPG_000159699324000037_lpg-20240801xex99d1.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/LPG_000159699324000037_lpg-20240801xex99d1.htm.txt
MASI,937556,earnings_exhibit,0000937556-24-000056,masi-20240806xex991.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/MASI_000093755624000056_masi-20240806xex991.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/MASI_000093755624000056_masi-20240806xex991.htm.txt
MMSI,856982,earnings_exhibit,0000856982-24-000065,mmsi-20240801xex99d1.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/MMSI_000085698224000065_mmsi-20240801xex99d1.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/MMSI_000085698224000065_mmsi-20240801xex99d1.htm.txt
MMSI,856982,earnings_exhibit,0000856982-24-000065,mmsi-20240801xex99d2.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/MMSI_000085698224000065_mmsi-20240801xex99d2.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/MMSI_000085698224000065_mmsi-20240801xex99d2.htm.txt
MTX,891014,earnings_exhibit,0000891014-24-000086,ex99_2.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/MTX_000089101424000086_ex99_2.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/MTX_000089101424000086_ex99_2.htm.txt
MTX,891014,earnings_exhibit,0000891014-24-000086,exhibit99_1.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/MTX_000089101424000086_exhibit99_1.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/MTX_000089101424000086_exhibit99_1.htm.txt
NBR,1163739,earnings_exhibit,0001104659-24-080357,tm2420005d1_ex99-1.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/NBR_000110465924080357_tm2420005d1_ex99-1.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/NBR_000110465924080357_tm2420005d1_ex99-1.htm.txt
NBR,1163739,earnings_exhibit,0001104659-24-080357,tm2420005d1_ex99-2.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/NBR_000110465924080357_tm2420005d1_ex99-2.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/NBR_000110465924080357_tm2420005d1_ex99-2.htm.txt
NOG,1104485,earnings_exhibit,0001104485-24-000142,exhibit991-2024qx2earnings.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/NOG_000110448524000142_exhibit991-2024qx2earnings.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/NOG_000110448524000142_exhibit991-2024qx2earnings.htm.txt
OXY,797468,earnings_exhibit,0000797468-24-000121,oxyex99106-30x24earningsre.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/OXY_000079746824000121_oxyex99106-30x24earningsre.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/OXY_000079746824000121_oxyex99106-30x24earningsre.htm.txt
PODD,1145197,earnings_exhibit,0001145197-24-000031,podd2024-06x30ex991.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/PODD_000114519724000031_podd2024-06x30ex991.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/PODD_000114519724000031_podd2024-06x30ex991.htm.txt
PRGS,876167,earnings_exhibit,0001552781-24-000522,exhibit991-q32024earningsr.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/PRGS_000155278124000522_exhibit991-q32024earningsr.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/PRGS_000155278124000522_exhibit991-q32024earningsr.htm.txt
PRGS,876167,earnings_exhibit,0001552781-24-000522,prgs-20240924.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/PRGS_000155278124000522_prgs-20240924.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/PRGS_000155278124000522_prgs-20240924.htm.txt
RHP,1040829,earnings_exhibit,0001104659-24-084781,tm2420552d1_ex99-1.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/RHP_000110465924084781_tm2420552d1_ex99-1.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/RHP_000110465924084781_tm2420552d1_ex99-1.htm.txt
RICK,935419,earnings_exhibit,0001628280-24-031665,ex991_pressrelease8-8x2024.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/RICK_000162828024031665_ex991_pressrelease8-8x2024.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/RICK_000162828024031665_ex991_pressrelease8-8x2024.htm.txt
RPD,1560327,earnings_exhibit,0001560327-24-000088,rapid7q220248-kex991.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/RPD_000156032724000088_rapid7q220248-kex991.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/RPD_000156032724000088_rapid7q220248-kex991.htm.txt
SCHL,866729,earnings_exhibit,0000866729-24-000014,fy25q1pressrelease.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/SCHL_000086672924000014_fy25q1pressrelease.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/SCHL_000086672924000014_fy25q1pressrelease.htm.txt
SEM,1320414,earnings_exhibit,0001104659-24-079579,tm2420448d2_ex99-1.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/SEM_000110465924079579_tm2420448d2_ex99-1.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/SEM_000110465924079579_tm2420448d2_ex99-1.htm.txt
STZ,16918,earnings_exhibit,0000016918-24-000109,stzex991_932024guidanceupd.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/STZ_000001691824000109_stzex991_932024guidanceupd.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/STZ_000001691824000109_stzex991_932024guidanceupd.htm.txt
SUPN,1356576,earnings_exhibit,0001356576-24-000039,ex99108-06x2024.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/SUPN_000135657624000039_ex99108-06x2024.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/SUPN_000135657624000039_ex99108-06x2024.htm.txt
TEAD,1454938,earnings_exhibit,0001454938-24-000146,q22024er-exhibit991.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/TEAD_000145493824000146_q22024er-exhibit991.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/TEAD_000145493824000146_q22024er-exhibit991.htm.txt
TITN,1409171,earnings_exhibit,0001409171-24-000084,afy25q2ex991earningsrelease.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/TITN_000140917124000084_afy25q2ex991earningsrelease.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/TITN_000140917124000084_afy25q2ex991earningsrelease.htm.txt
TPR,1116132,earnings_exhibit,0001140361-24-035202,ef20034103_ex99-1.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/TPR_000114036124035202_ef20034103_ex99-1.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/TPR_000114036124035202_ef20034103_ex99-1.htm.txt
TRMB,864749,earnings_exhibit,0000864749-24-000195,ex991pressrelease2024-09x15.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/TRMB_000086474924000195_ex991pressrelease2024-09x15.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/TRMB_000086474924000195_ex991pressrelease2024-09x15.htm.txt
VSCO,1856437,earnings_exhibit,0001856437-24-000022,ex991vsco-20242qearningsre.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/VSCO_000185643724000022_ex991vsco-20242qearningsre.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/VSCO_000185643724000022_ex991vsco-20242qearningsre.htm.txt
ZWS,1439288,earnings_exhibit,0001439288-24-000103,ex991earningsrelease63024.htm,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/ZWS_000143928824000103_ex991earningsrelease63024.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ZWS_000143928824000103_ex991earningsrelease63024.htm.txt
