quarter,ticker,revenue_bucket,profitability_score,operating_cash_flow_score,fcf_proxy_score,financing_dependence_score,asset_efficiency_score,pre_llm_fundamental_score,pre_llm_fundamental_bucket,pre_llm_fundamental_missing_fields,tier_bucket,tier_1_bucket,tier_2_bucket,tier_3_bucket,tier_4_bucket,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct
2023Q4,CDE,$500M-$1B,1,-1,-1,-1,0,-2,weak,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,"Tier 4 - Ultra-distressed tag, not a production tier",2023-11-09,2.280000,12.2807,32.4561,36.4035,23.2456,17.1053
2023Q4,CDNS,$2B-$10B,2,2,2,1,1,8,strong,,,,,,,2023-10-24,234.690002,6.3275,12.4632,15.3053,17.1588,26.0088
2023Q4,CDP,$100M-$500M,2,2,2,1,0,7,strong,,Tier 0 - Broad right-tail scouting universe,,,,,2023-10-27,23.190001,1.5955,3.9672,4.2691,10.6080,5.4334
2023Q4,CDRE,$100M-$500M,-1,1,-1,0,1,0,mixed,,,,,,,2023-11-09,30.100000,6.3123,7.3754,7.5083,5.0166,15.3821
2023Q4,CDW,>$10B,1,1,2,1,2,7,strong,,,,,,,2023-11-02,200.210007,5.8738,8.3962,6.1885,10.2193,13.2411
2023Q4,CECO,$100M-$500M,1,1,-1,-1,1,1,mixed,,Tier 0 - Broad right-tail scouting universe,,,,,2023-11-08,18.990000,1.7904,2.4223,3.5282,2.0537,3.7388
2023Q4,CEG,>$10B,-1,1,2,1,0,3,good,,,,,,,2023-11-07,124.440002,-2.2099,0.5304,-11.1781,-5.9547,2.0813
2023Q4,CELH,$100M-$500M,-1,2,2,-1,0,2,mixed,,,,,,,2023-11-08,59.333332,-8.6854,-11.9382,-14.2135,-1.9944,-5.9551
2023Q4,CENX,$2B-$10B,1,1,-1,0,2,3,good,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,2023-11-09,6.300000,28.0952,23.6508,29.2064,69.0476,64.6032
2023Q4,CF,$2B-$10B,2,2,2,1,0,7,strong,,,,,,,2023-11-02,78.470001,1.7586,-2.6252,-5.8749,4.0015,-3.7721
2023Q4,CFG,$2B-$10B,2,-1,-1,-1,0,-1,weak,,,,,,,2023-10-19,25.610001,-8.6685,0.3905,7.6923,28.6997,23.8969
2023Q4,CFLT,$100M-$500M,-1,-1,-1,-1,0,-4,weak,,Tier 0 - Broad right-tail scouting universe,,,,,2023-11-02,15.950000,12.6019,20.3135,50.9091,42.4451,40.1881
2023Q4,CGNX,$500M-$1B,2,2,2,1,0,7,strong,,,,,,,2023-11-01,35.860001,-1.4222,3.0954,7.0831,12.4930,4.0993
2023Q4,CHD,$2B-$10B,1,2,2,1,0,6,strong,,,,,,,2023-11-06,86.809998,6.9923,9.7224,7.7410,8.1327,15.4015
2023Q4,CHDN,$1B-$2B,1,2,1,-1,0,3,good,,,,,,,2023-10-26,112.709999,5.4387,8.0295,5.5630,19.5102,7.8964
2023Q4,CHRD,$2B-$10B,2,2,2,1,0,7,strong,,,,,,,2023-11-03,174.169998,-7.8659,-7.1539,-7.3377,-3.3875,-11.9136
2023Q4,CHRW,>$10B,1,1,1,1,2,6,strong,,,,,,,2023-11-02,83.910004,-5.8873,-1.3944,2.1571,3.8374,0.2145
2023Q4,CIEN,$2B-$10B,1,-1,-1,1,1,1,mixed,,,,,,,2023-12-08,46.549999,-7.3899,-3.1149,1.8045,17.9592,13.5124
2023Q4,CINF,$2B-$10B,-1,2,2,1,0,4,good,,,,,,,2023-10-27,97.550003,2.6243,3.6187,5.0743,5.1256,15.1205
2023Q4,CL,>$10B,2,2,1,1,1,7,strong,,,,,,,2023-10-30,72.769997,3.2568,3.7103,7.0221,9.5369,15.3772
2023Q4,CLB,$100M-$500M,1,1,1,1,0,4,good,,Tier 0 - Broad right-tail scouting universe,,,,,2023-11-02,21.719999,-13.1215,-16.2523,-16.4365,-19.4751,-27.3941
2023Q4,CLNE,$100M-$500M,-1,2,-1,1,0,1,mixed,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,"Tier 4 - Ultra-distressed tag, not a production tier",2023-11-10,3.350000,9.2537,7.7612,8.0597,2.6866,-12.8358
2023Q4,CLW,$1B-$2B,1,1,2,1,1,6,strong,,,,,,,2023-10-31,32.099998,9.7508,11.1527,9.2523,13.9875,3.6449
2023Q4,CLX,$2B-$10B,1,2,2,1,2,8,strong,,,,,,,2023-10-05,126.000000,-0.8254,-3.1984,2.3810,14.1349,12.3175
2023Q4,CMCO,$100M-$500M,1,1,-1,1,0,2,mixed,,,,,,,2023-11-02,31.110001,9.2896,11.6683,17.5828,24.0437,25.5866
2023Q4,CME,$2B-$10B,2,2,2,1,0,7,strong,,,,,,,2023-10-26,215.419998,-1.1048,-2.0240,0.6081,-0.2878,-5.1759
2023Q4,CMG,$2B-$10B,1,2,2,1,1,7,strong,,,,,,,2023-10-27,37.694599,9.7797,15.3003,17.2152,23.0691,22.6579
2023Q4,CMI,>$10B,1,1,-1,-1,1,1,mixed,,,,,,,2023-11-03,220.240005,-1.2759,2.3838,4.9673,9.5078,10.3206
2023Q4,CMP,$500M-$1B,-1,2,2,1,1,5,good,,Tier 0 - Broad right-tail scouting universe,,,,,2023-11-17,23.900000,2.3849,2.8033,10.6276,-18.5356,-4.8117
2023Q4,CMS,$2B-$10B,2,2,-1,-1,0,2,mixed,,,,,,,2023-10-27,55.040001,0.0545,4.4695,4.1606,4.4695,2.5799
2023Q4,CNDT,$2B-$10B,1,1,2,1,1,6,strong,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,"Tier 4 - Ultra-distressed tag, not a production tier",2023-11-02,2.570000,-3.8910,17.5097,24.1245,43.5798,40.0778
2023Q4,CNK,$1B-$2B,1,-1,-1,1,0,0,mixed,,Tier 0 - Broad right-tail scouting universe,,,,,2023-11-06,16.110001,-11.4215,-10.4904,-11.9181,-14.4631,-13.4699
2023Q4,CNMD,$500M-$1B,-1,1,-1,-1,0,-2,weak,,,,,,,2023-10-26,94.660004,8.3140,13.9446,14.0186,20.0296,-3.7820
2023Q4,CNNE,$100M-$500M,-1,-1,2,1,0,1,mixed,,Tier 0 - Broad right-tail scouting universe,,,,,2023-11-08,17.490000,3.3734,3.4305,6.2893,19.8399,16.2950
2023Q4,CNO,$1B-$2B,2,1,-1,-1,0,1,mixed,,,,,,,2023-11-07,25.000000,2.1200,7.8400,5.3600,9.1200,6.2400
2023Q4,CNP,$2B-$10B,2,2,2,1,0,7,strong,,,,,,,2023-10-27,27.440001,-0.7289,0.8017,1.8586,3.8630,0.2915
2023Q4,CNR,$1B-$2B,-1,2,2,1,1,5,good,,,,,,,2023-11-01,93.860001,1.2039,7.9800,20.4880,7.7456,1.6727
2023Q4,CNTY,$100M-$500M,1,2,-1,-1,0,1,mixed,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,"Tier 4 - Ultra-distressed tag, not a production tier",2023-11-10,4.620000,-0.8658,-6.9264,-7.3593,-3.0303,-24.0260
2023Q4,CNX,<$100M,2,-1,-1,1,0,1,mixed,,Tier 0 - Broad right-tail scouting universe,,,,,2023-10-26,21.830000,-1.1452,-0.9162,-2.3362,-5.8635,-8.0165
2023Q4,CNXN,$2B-$10B,1,1,1,1,2,6,strong,,,,,,,2023-11-02,54.880001,6.0678,10.4774,12.5911,19.3513,17.5474
2023Q4,COCO,$100M-$500M,1,-1,-1,0,2,1,mixed,,,,,,,2023-11-01,27.740000,3.1002,2.7397,0.1802,-5.6236,-27.0368
2023Q4,CODI,$1B-$2B,1,-1,-1,-1,0,-2,weak,,Tier 0 - Broad right-tail scouting universe,,,,,2023-11-03,18.100000,1.7127,12.5967,14.2541,25.0276,23.2597
2023Q4,COF,>$10B,2,2,-1,-1,0,2,mixed,,,,,,,2023-10-27,96.489998,9.2859,8.8299,10.0425,35.4855,37.3718
2023Q4,COHR,$2B-$10B,1,2,2,-1,0,4,good,,,,,,,2023-11-07,33.180000,8.7101,9.2827,21.8204,27.5467,48.9451
2023Q4,COIN,$2B-$10B,-1,-1,-1,1,0,-2,weak,,,,,,,2023-11-03,83.790001,10.5621,37.8923,68.3852,87.2300,53.8966
2023Q4,COKE,$2B-$10B,1,1,1,1,2,6,strong,,,,,,,2023-11-02,64.750000,5.0749,12.4340,15.2340,44.3954,33.0332
2023Q4,COLL,$100M-$500M,-1,2,-1,-1,0,-1,weak,,Tier 0 - Broad right-tail scouting universe,,,,,2023-11-08,23.809999,7.4759,7.0979,14.7837,33.3053,39.6052
2023Q4,COLM,$1B-$2B,1,-1,-1,1,0,0,mixed,,,,,,,2023-10-27,69.449997,11.8071,10.2088,8.5241,16.3427,12.8726
2023Q4,COMP,$2B-$10B,-1,-1,-1,0,2,-1,weak,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,"Tier 4 - Ultra-distressed tag, not a production tier",2023-11-07,2.060000,15.0485,4.3689,32.5243,84.9515,73.3010
