quarter,asof_date,ticker,cik,entity_name,revenue_bucket,revenue_filter_keep_under_10b,revenue_value,revenue_fact_name,revenue_unit,revenue_filed,revenue_form,revenue_period_end,net_income_value,net_income_fact_name,net_income_unit,net_income_filed,net_income_form,net_income_period_end,assets_value,assets_fact_name,assets_unit,assets_filed,assets_form,assets_period_end,financing_cash_flow_value,financing_cash_flow_fact_name,financing_cash_flow_unit,financing_cash_flow_filed,financing_cash_flow_form,financing_cash_flow_period_end,investing_cash_flow_value,investing_cash_flow_fact_name,investing_cash_flow_unit,investing_cash_flow_filed,investing_cash_flow_form,investing_cash_flow_period_end,operating_cash_flow_value,operating_cash_flow_fact_name,operating_cash_flow_unit,operating_cash_flow_filed,operating_cash_flow_form,operating_cash_flow_period_end,universal_feature_set,universal_feature_complete,universal_feature_complete_through_eps,missing_universal_features,net_income_margin,operating_cash_flow_to_revenue,assets_to_revenue,financing_cash_flow_to_revenue,investing_cash_flow_to_revenue
2022Q3,2022-08-16,A,1090872,"AGILENT TECHNOLOGIES, INC.",$2B-$10B,,3073000000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2022-05-31,10-Q,2021-04-30,504000000,NetIncomeLoss,USD,2022-05-31,10-Q,2021-04-30,10705000000,Assets,USD,2022-05-31,10-Q,2021-10-31,-150000000,NetCashProvidedByUsedInFinancingActivities,USD,2022-05-31,10-Q,2021-04-30,-629000000,NetCashProvidedByUsedInInvestingActivities,USD,2022-05-31,10-Q,2021-04-30,710000000,NetCashProvidedByUsedInOperatingActivities,USD,2022-05-31,10-Q,2021-04-30,through_ocf,True,,,0.164009,0.231045,3.483567,-0.048812,-0.204686
2022Q3,2022-08-23,AAP,1158449,"Advance Auto Parts, Inc.",$2B-$10B,,3330370000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2022-05-24,10-Q,2021-04-24,185930000,NetIncomeLoss,USD,2022-05-24,10-Q,2021-04-24,12194209000,Assets,USD,2022-05-24,10-Q,2022-01-01,-216689000,NetCashProvidedByUsedInFinancingActivities,USD,2022-05-24,10-Q,2021-04-24,-70294000,NetCashProvidedByUsedInInvestingActivities,USD,2022-05-24,10-Q,2021-04-24,329932000,NetCashProvidedByUsedInOperatingActivities,USD,2022-05-24,10-Q,2021-04-24,through_ocf,True,,,0.055829,0.099068,3.661518,-0.065065,-0.021107
2022Q3,2022-07-26,AAT,1500217,"AMERICAN ASSETS TRUST, INC.",<$100M,,83986000,Revenues,USD,2022-04-29,10-Q,2021-03-31,1733000,ProfitLoss,USD,2022-04-29,10-Q,2021-03-31,3017927000,Assets,USD,2022-04-29,10-Q,2021-12-31,212812000,NetCashProvidedByUsedInFinancingActivities,USD,2022-04-29,10-Q,2021-03-31,-12216000,NetCashProvidedByUsedInInvestingActivities,USD,2022-04-29,10-Q,2021-03-31,42505000,NetCashProvidedByUsedInOperatingActivities,USD,2022-04-29,10-Q,2021-03-31,through_ocf,True,,,0.020634,0.506096,35.933691,2.533899,-0.145453
2022Q3,2022-07-28,ABG,1144980,"ASBURY AUTOMOTIVE GROUP, INC",$2B-$10B,,4776900000,Revenues,USD,2022-07-28,10-Q,2021-06-30,92800000,NetIncomeLoss,USD,2022-07-28,10-Q,2021-03-31,8002600000,Assets,USD,2022-07-28,10-Q,2021-12-31,-257600000,NetCashProvidedByUsedInFinancingActivities,USD,2022-07-28,10-Q,2021-06-30,-228800000,NetCashProvidedByUsedInInvestingActivities,USD,2022-07-28,10-Q,2021-06-30,587300000,NetCashProvidedByUsedInOperatingActivities,USD,2022-07-28,10-Q,2021-06-30,through_ocf,True,,,0.019427,0.122946,1.675271,-0.053926,-0.047897
2022Q3,2022-09-09,ABM,771497,ABM INDUSTRIES INCORPORATED,$2B-$10B,,4533000000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2022-09-09,10-Q,2021-07-31,92000000,NetIncomeLoss,USD,2022-09-09,10-Q,2021-07-31,4436200000,Assets,USD,2022-09-09,10-Q,2021-10-31,-128700000,NetCashProvidedByUsedInFinancingActivities,USD,2022-09-09,10-Q,2021-07-31,-21200000,NetCashProvidedByUsedInInvestingActivities,USD,2022-09-09,10-Q,2021-07-31,258800000,NetCashProvidedByUsedInOperatingActivities,USD,2022-09-09,10-Q,2021-07-31,through_ocf,True,,,0.020296,0.057092,0.978645,-0.028392,-0.004677
2022Q3,2022-08-02,ABNB,1559720,"Airbnb, Inc.",$500M-$1B,,886936000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2022-05-09,10-Q,2021-03-31,-1172211000,NetIncomeLoss,USD,2022-05-09,10-Q,2021-03-31,13708474000,Assets,USD,2022-05-09,10-Q,2021-12-31,1455526000,NetCashProvidedByUsedInFinancingActivities,USD,2022-05-09,10-Q,2021-03-31,-1172286000,NetCashProvidedByUsedInInvestingActivities,USD,2022-05-09,10-Q,2021-03-31,606376000,NetCashProvidedByUsedInOperatingActivities,USD,2022-05-09,10-Q,2021-03-31,through_ocf,True,,,-1.321641,0.683675,15.45599,1.641072,-1.321726
2022Q3,2022-08-03,ACA,1739445,"Arcosa, Inc.",$100M-$500M,,440400000,Revenues,USD,2022-04-29,10-Q,2021-03-31,15900000,NetIncomeLoss,USD,2022-04-29,10-Q,2021-03-31,3188100000,Assets,USD,2022-04-29,10-Q,2021-12-31,-3900000,NetCashProvidedByUsedInFinancingActivities,USD,2022-04-29,10-Q,2021-03-31,-10400000,NetCashProvidedByUsedInInvestingActivities,USD,2022-04-29,10-Q,2021-03-31,400000,NetCashProvidedByUsedInOperatingActivities,USD,2022-04-29,10-Q,2021-03-31,through_ocf,True,,,0.036104,0.000908,7.239101,-0.008856,-0.023615
2022Q3,2022-08-08,ACAD,1070494,Acadia Pharmaceuticals Inc.,$100M-$500M,,106554000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2022-05-05,10-Q,2021-03-31,-66448000,NetIncomeLoss,USD,2022-05-05,10-Q,2021-03-31,700122000,Assets,USD,2022-05-05,10-Q,2021-12-31,7726000,NetCashProvidedByUsedInFinancingActivities,USD,2022-05-05,10-Q,2021-03-31,30877000,NetCashProvidedByUsedInInvestingActivities,USD,2022-05-05,10-Q,2021-03-31,-60149000,NetCashProvidedByUsedInOperatingActivities,USD,2022-05-05,10-Q,2021-03-31,through_ocf,True,,,-0.623609,-0.564493,6.570584,0.072508,0.289778
2022Q3,2022-08-08,ACCO,712034,ACCO Brands Corporation,$100M-$500M,,410500000,Revenues,USD,2022-04-27,10-Q,2021-03-31,-20400000,NetIncomeLoss,USD,2022-04-27,10-Q,2021-03-31,3091300000,Assets,USD,2022-04-27,10-Q,2021-12-31,68300000,NetCashProvidedByUsedInFinancingActivities,USD,2022-04-27,10-Q,2021-03-31,14400000,NetCashProvidedByUsedInInvestingActivities,USD,2022-04-27,10-Q,2021-03-31,-42400000,NetCashProvidedByUsedInOperatingActivities,USD,2022-04-27,10-Q,2021-03-31,through_ocf,True,,,-0.049695,-0.103289,7.530572,0.166382,0.035079
2022Q3,2022-08-12,ACDC,0001881487,ProFrac Holding Corp.,$100M-$500M,,149586000,RevenueFromContractWithCustomerExcludingAssessedTax,USD,2022-06-24,10-Q,2021-03-31,-25998000,NetIncomeLoss,USD,2022-06-24,10-Q,2021-03-31,664570000,Assets,USD,2022-06-24,10-Q,2021-12-31,-6614000,NetCashProvidedByUsedInFinancingActivities,USD,2022-06-24,10-Q,2021-03-31,-2930000,NetCashProvidedByUsedInInvestingActivities,USD,2022-06-24,10-Q,2021-03-31,16310000,NetCashProvidedByUsedInOperatingActivities,USD,2022-06-24,10-Q,2021-03-31,through_ocf,True,,,-0.1738,0.109034,4.442729,-0.044215,-0.019587
