sample_id,quarter,ticker,event_date,revenue_bucket,pre_llm_fundamental_bucket,pre_llm_fundamental_score,profitability_score,operating_cash_flow_score,financing_dependence_score,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct,accession,exhibit_doc,source_doc_type,text_len,text_path,snippet_count,quality_flags
S000178,2022Q4,WK,2022-11-02,$100M-$500M,mixed,1,-1,2,1,2022-11-03,65.199997,17.5767,18.4509,25.7209,26.5031,42.3160,0001445305-22-000138,q32022exhibit991.htm,earnings_exhibit,25533,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/WK_000144530522000138_q32022exhibit991.htm.txt,18,
S000179,2022Q4,WLDN,2022-11-03,$100M-$500M,weak,-2,-1,-1,1,2022-11-04,12.780000,28.2473,27.3083,24.2567,39.5931,67.8404,0001558370-22-016245,wldn-20221103xex99d1.htm,earnings_exhibit,27338,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/WLDN_000155837022016245_wldn-20221103xex99d1.htm.txt,18,
S000180,2022Q4,WTI,2022-11-09,$100M-$500M,mixed,2,-1,2,-1,2022-11-10,7.380000,-8.2656,-6.9106,-22.4932,-26.1518,-21.1382,0001558370-22-016986,wti-20221108xex99d1.htm,earnings_exhibit,36061,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/WTI_000155837022016986_wti-20221108xex99d1.htm.txt,18,
S000181,2022Q4,WTTR,2022-11-02,$100M-$500M,weak,-2,-1,-1,1,2022-11-03,8.920000,-3.1390,-8.1839,-11.7713,-6.5022,-4.3722,0001564590-22-036207,d374769dex991.htm,earnings_exhibit,32667,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/WTTR_000156459022036207_d374769dex991.htm.txt,18,
S000182,2022Q4,WYNN,2022-11-09,$2B-$10B,weak,-2,-1,-1,1,2022-11-10,71.959999,3.3074,16.2590,20.0806,31.0867,43.9967,0001174922-22-000148,ex991wrlq32022pressrelease.htm,earnings_exhibit,31342,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/WYNN_000117492222000148_ex991wrlq32022pressrelease.htm.txt,18,
S000183,2022Q4,XHR,2022-11-02,$100M-$500M,mixed,0,-1,1,-1,2022-11-03,14.140000,6.3649,6.7893,2.8289,-9.6181,4.5969,0001616000-22-000108,ex991q32022xhrearningsrele.htm,earnings_exhibit,76503,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/XHR_000161600022000108_ex991q32022xhrearningsrele.htm.txt,18,
S000184,2022Q4,YOU,2022-11-14,$100M-$500M,weak,-1,-1,2,-1,2022-11-15,30.500000,5.5082,-1.2459,-3.1148,0.5574,-4.8525,0001856314-22-000026,clear_shareholderletterx.htm,earnings_exhibit,44389,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/YOU_000185631422000026_clear_shareholderletterx.htm.txt,18,
S000185,2022Q4,Z,2022-11-02,$1B-$2B,weak,-4,-1,-1,-1,2022-11-03,28.889999,27.6566,22.8107,29.9412,16.5801,55.6940,0001617640-22-000104,exhibit993.htm,earnings_exhibit,40509,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/Z_000161764022000104_exhibit993.htm.txt,18,
S000186,2022Q4,ZETA,2022-11-01,$100M-$500M,weak,-1,-1,1,-1,2022-11-02,8.410000,6.1831,-0.9512,4.3995,-0.8323,7.9667,0000950170-22-020838,zeta-ex99_1.htm,earnings_exhibit,27117,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ZETA_000095017022020838_zeta-ex99_1.htm.txt,18,
S000187,2022Q4,ZG,2022-11-02,$1B-$2B,weak,-4,-1,-1,-1,2022-11-03,28.760000,26.8776,21.8359,28.8595,14.1168,52.2949,0001617640-22-000104,exhibit993.htm,earnings_exhibit,40509,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ZG_000161764022000104_exhibit993.htm.txt,18,
S000188,2022Q4,ZS,2022-12-01,$100M-$500M,weak,-1,-1,2,-1,2022-12-02,127.290001,-4.7529,-14.0859,-13.4339,-2.4589,5.3736,0001713683-22-000119,zs-10312022_991.htm,earnings_exhibit,31374,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ZS_000171368322000119_zs-10312022_991.htm.txt,18,
S000189,2023Q2,ABNB,2023-05-09,$1B-$2B,mixed,2,-1,2,-1,2023-05-10,109.849998,0.0728,-2.4215,7.2918,19.8999,27.0369,0001193125-23-139392,d453262dex991.htm,earnings_exhibit,47895,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ABNB_000119312523139392_d453262dex991.htm.txt,18,
S000190,2023Q2,ACAD,2023-05-08,$100M-$500M,mixed,0,-1,-1,0,2023-05-09,21.590000,12.5984,10.1899,16.2112,14.7290,24.1315,0000950170-23-018800,acad-ex99_1.htm,earnings_exhibit,10807,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ACAD_000095017023018800_acad-ex99_1.htm.txt,18,
S000191,2023Q2,ACVA,2023-05-10,$100M-$500M,weak,-4,-1,-1,-1,2023-05-11,14.740000,20.7598,15.6038,21.7775,14.5183,12.9579,0000950170-23-020538,acva-ex99_1.htm,earnings_exhibit,23691,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ACVA_000095017023020538_acva-ex99_1.htm.txt,18,
S000192,2023Q2,AEO,2023-05-24,$2B-$10B,mixed,2,-1,1,0,2023-05-25,10.090000,9.0188,16.1546,15.6591,32.1110,56.8880,0000950170-23-023964,aeo-ex99_1.htm,earnings_exhibit,16586,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AEO_000095017023023964_aeo-ex99_1.htm.txt,18,
S000193,2023Q2,AFRM,2023-05-09,$500M-$1B,weak,-4,-1,-1,-1,2023-05-10,12.110000,19.9835,21.7176,43.6003,22.0479,30.4707,0001820953-23-000011,afrm-fq323shareholderlet.htm,earnings_exhibit,55914,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AFRM_000182095323000011_afrm-fq323shareholderlet.htm.txt,18,
S000194,2023Q2,AI,2023-05-15,$100M-$500M,weak,-1,-1,-1,-1,2023-05-16,23.500000,40.1702,50.2979,97.3191,64.8085,44.2553,0001628280-23-017993,may15announcement.htm,earnings_exhibit,13899,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AI_000162828023017993_may15announcement.htm.txt,18,
S000195,2023Q2,AIOT,2023-05-09,$100M-$500M,mixed,2,-1,1,1,2023-05-10,3.000000,3.0000,5.0000,10.6667,-4.3333,-23.3333,0001493152-23-015937,ex99-1.htm,earnings_exhibit,22585,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AIOT_000149315223015937_ex99-1.htm.txt,18,
S000196,2023Q2,ALGT,2023-05-03,$500M-$1B,weak,-1,-1,2,-1,2023-05-04,109.000000,-8.5321,-9.8257,-5.5413,18.3486,15.3211,0001362468-23-000021,a2023q18-kex991.htm,earnings_exhibit,29732,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ALGT_000136246823000021_a2023q18-kex991.htm.txt,18,
S000197,2023Q2,ALKS,2023-04-26,$100M-$500M,mixed,0,-1,1,1,2023-04-27,28.370001,8.9531,9.2704,2.8551,15.1216,5.9217,0001564590-23-006238,alks-ex991_6.htm,earnings_exhibit,18870,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ALKS_000156459023006238_alks-ex991_6.htm.txt,18,
S000198,2023Q2,ALTG,2023-05-10,$100M-$500M,weak,-3,-1,-1,0,2023-05-11,15.400000,-3.5714,-11.6234,4.5455,9.6104,5.1948,0000950170-23-020551,altg-ex99_1.htm,earnings_exhibit,24437,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ALTG_000095017023020551_altg-ex99_1.htm.txt,18,
S000199,2023Q2,AMC,2023-05-05,$500M-$1B,weak,-2,-1,-1,1,2023-05-08,58.299999,-13.0360,-20.5832,-18.8679,-27.9588,-12.1784,0001411579-23-000046,amc-20230505xex99d1.htm,earnings_exhibit,44757,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AMC_000141157923000046_amc-20230505xex99d1.htm.txt,18,
S000200,2023Q2,APO,2023-05-09,$500M-$1B,weak,-4,-1,-1,-1,2023-05-10,63.650002,3.6921,4.9175,14.6583,19.0888,29.5837,0001858681-23-000011,agmearningsrelease1q2023.htm,earnings_exhibit,95445,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/APO_000185868123000011_agmearningsrelease1q2023.htm.txt,18,
S000201,2023Q2,APP,2023-05-10,$500M-$1B,weak,-2,-1,-1,1,2023-05-11,21.754999,15.3298,14.9621,2.8729,24.4771,35.1873,0001751008-23-000047,exhibit992-1q23sharehold.htm,earnings_exhibit,26802,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/APP_000175100823000047_exhibit992-1q23sharehold.htm.txt,18,
S000202,2023Q2,APPN,2023-05-09,$100M-$500M,weak,-4,-1,-1,-1,2023-05-10,37.439999,9.8558,10.7372,28.4989,34.5086,28.8729,0001441683-23-000048,appnex991earningsrelease-0.htm,earnings_exhibit,21460,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/APPN_000144168323000048_appnex991earningsrelease-0.htm.txt,18,
S000203,2023Q2,ARLO,2023-05-11,$100M-$500M,weak,-1,-1,-1,1,2023-05-12,7.410000,24.9663,29.5547,25.3711,48.3131,38.0567,0001736946-23-000020,arloearningsrelease-ex991_.htm,earnings_exhibit,26584,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ARLO_000173694623000020_arloearningsrelease-ex991_.htm.txt,18,
S000204,2023Q2,ARWR,2023-05-02,$100M-$500M,weak,-1,-1,1,0,2023-05-03,37.490002,6.4017,-3.2275,-3.8410,-6.1083,-10.1627,0001628280-23-014859,arwr-fq22023financialresul.htm,earnings_exhibit,11561,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ARWR_000162828023014859_arwr-fq22023financialresul.htm.txt,18,
