quarter,ticker,revenue_bucket,profitability_score,operating_cash_flow_score,fcf_proxy_score,financing_dependence_score,asset_efficiency_score,pre_llm_fundamental_score,pre_llm_fundamental_bucket,pre_llm_fundamental_missing_fields,tier_bucket,tier_1_bucket,tier_2_bucket,tier_3_bucket,tier_4_bucket,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct
2022Q1,A,$2B-$10B,2,2,-1,1,1,5,good,,,,,,,2022-02-23,129.880005,0.3542,0.3080,4.4888,-6.4906,-4.2116
2022Q1,AAP,$2B-$10B,1,2,2,0,1,6,strong,,,,,,,2022-02-15,216.380005,-4.9958,-6.9646,-3.7896,0.8642,-1.2432
2022Q1,AAT,$100M-$500M,1,2,2,1,0,6,strong,,,,,,,2022-02-09,35.450001,1.9464,2.2567,2.6516,-0.2539,-8.7729
2022Q1,ABG,$2B-$10B,1,2,-1,0,2,4,good,,,,,,,2022-02-16,176.199997,10.1646,6.2770,8.0079,-12.0885,9.4892
2022Q1,ABM,$2B-$10B,1,1,1,1,2,6,strong,,,,,,,2022-03-09,47.040001,-3.1888,-3.2313,2.8912,-3.1037,6.5264
2022Q1,ABNB,$2B-$10B,-1,-1,-1,-1,0,-4,weak,,,,,,,2022-02-16,178.294998,-15.0341,-20.2838,-6.3350,-7.0417,-34.0980
2022Q1,ABT,>$10B,1,2,2,1,0,6,strong,,,,,,,2022-01-27,120.980003,5.8439,2.2318,-0.2976,-0.8183,-3.5212
2022Q1,ACA,$1B-$2B,1,2,-1,0,1,3,good,,,,,,,2022-02-24,48.709999,12.3178,19.6058,18.9284,10.5112,6.6106
2022Q1,ACAD,$100M-$500M,-1,-1,2,-1,0,-1,weak,,Tier 0 - Broad right-tail scouting universe,,,,,2022-03-01,24.240000,-4.3729,5.4043,-0.0825,-19.3894,-33.3746
2022Q1,ACCO,$1B-$2B,1,1,1,0,0,3,good,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,2022-02-16,8.650000,-0.5780,-3.6994,-3.9306,-12.6012,-12.1387
2022Q1,ACGL,$2B-$10B,2,2,-1,0,0,3,good,,,,,,,2022-02-10,48.480000,-3.4035,-2.8053,-4.4348,-0.9488,-5.6724
2022Q1,ACH,$2B-$10B,-1,1,1,1,2,4,good,,,,,,,2022-02-24,37.959999,8.7197,18.4405,16.9916,1.2908,-10.9326
2022Q1,ACIW,$1B-$2B,1,2,-1,-1,0,1,mixed,,,,,,,2022-02-25,33.910000,-7.0481,-2.8310,-4.1286,-20.0531,-22.7367
2022Q1,ACLS,$100M-$500M,2,2,2,1,1,8,strong,,,,,,,2022-02-08,65.500000,3.1298,5.6794,-0.9618,-13.3435,-16.7328
2022Q1,ACT,$500M-$1B,2,2,-1,-1,0,2,mixed,,Tier 0 - Broad right-tail scouting universe,,,,,2022-02-02,21.530001,2.8797,-1.9972,-6.2239,2.0437,6.5490
2022Q1,ACVA,$100M-$500M,-1,2,1,-1,0,1,mixed,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,,,2022-02-17,12.300000,7.2358,2.0325,15.4472,11.9512,-36.8293
2022Q1,ADBE,>$10B,2,2,2,1,0,7,strong,,,,,,,2022-03-23,437.510010,7.1541,-2.4548,-6.5918,-7.0284,-17.0328
2022Q1,ADEA,$100M-$500M,-1,2,2,1,0,4,good,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,2022-02-24,6.947664,0.8750,6.7500,7.4375,0.8750,2.6875
2022Q1,ADI,$1B-$2B,2,2,2,1,0,7,strong,,,,,,,2022-02-17,166.130005,-3.5153,-7.5303,-1.1497,-3.4852,-3.7380
2022Q1,ADNT,$2B-$10B,1,1,1,1,0,4,good,,,,,,,2022-02-07,44.540001,9.5420,0.4715,-19.8698,-25.8419,-30.3772
2022Q1,ADSK,$2B-$10B,1,2,2,1,0,6,strong,,,,,,,2022-02-25,218.179993,-8.7497,-2.9929,-1.2696,-14.9372,-12.1688
2022Q1,ADTN,$100M-$500M,-1,-1,2,1,1,2,mixed,,Tier 0 - Broad right-tail scouting universe,,,,,2022-02-04,20.280001,0.9369,0.1479,-3.0572,-9.4181,-17.0611
2022Q1,ADUS,$500M-$1B,1,2,2,0,1,6,strong,,,,,,,2022-02-25,70.370003,14.5090,15.5322,17.9196,22.2254,21.4580
2022Q1,ADV,$2B-$10B,-1,1,1,1,1,3,good,,,,,,,2022-03-02,156.000000,-2.2436,2.5641,2.4038,-16.3462,-31.0897
2022Q1,AEE,$2B-$10B,2,2,-1,-1,0,2,mixed,,,,,,,2022-02-18,83.540001,2.8848,4.8001,7.0864,15.6572,10.7015
2022Q1,AEIS,$1B-$2B,1,2,2,1,1,7,strong,,,,,,,2022-02-10,83.230003,0.4686,6.1396,-5.7792,-9.2635,-10.7774
2022Q1,AEO,$2B-$10B,-1,-1,-1,-1,1,-3,weak,,Tier 0 - Broad right-tail scouting universe,,,,,2022-03-03,19.959999,-10.7715,-12.2745,-17.9860,-21.6934,-39.3788
2022Q1,AEP,>$10B,2,2,-1,-1,0,2,mixed,,,,,,,2022-02-25,87.190002,11.5495,8.8886,11.9509,13.8204,17.6511
2022Q1,AES,$2B-$10B,-1,2,1,0,0,2,mixed,,Tier 0 - Broad right-tail scouting universe,,,,,2022-02-28,21.000000,6.4286,11.8095,21.1905,-2.7619,4.9524
2022Q1,AFL,>$10B,1,2,2,1,0,6,strong,,,,,,,2022-02-03,63.689999,0.8322,-3.2972,-7.3167,-0.1256,-6.2961
2022Q1,AFRM,$100M-$500M,-1,-1,-1,-1,0,-4,weak,,,,,,,2022-02-11,53.060001,-31.3796,-26.3098,-50.5842,-29.3630,-66.0008
2022Q1,AGYS,<$100M,1,2,2,-1,0,4,good,,,,,,,2022-01-26,38.689999,-4.1096,6.0222,6.3065,4.7299,-6.6425
