quarter,ticker,cik,asof_date
2023Q3,A,1090872,2023-08-15
2023Q3,AAP,1158449,2023-08-23
2023Q3,AAT,1500217,2023-07-25
2023Q3,ABG,1144980,2023-07-25
2023Q3,ABM,771497,2023-09-07
2023Q3,ABNB,1559720,2023-08-03
2023Q3,ABT,1800,2023-07-20
2023Q3,ACA,1739445,2023-08-03
2023Q3,ACAD,1070494,2023-07-18
2023Q3,ACCO,712034,2023-08-08
2023Q3,ACDC,0001881487,2023-08-10
2023Q3,ACGL,947484,2023-07-26
2023Q3,ACH,75252,2023-08-04
2023Q3,ACIW,935036,2023-08-03
2023Q3,ACLS,1113232,2023-08-02
2023Q3,ACT,1823529,2023-08-01
2023Q3,ACVA,1637873,2023-08-07
2023Q3,ADBE,796343,2023-09-14
2023Q3,ADEA,1803696,2023-08-07
2023Q3,ADI,6281,2023-08-23
2023Q3,ADNT,1670541,2023-08-02
2023Q3,ADSK,769397,2023-08-23
2023Q3,ADTN,926282,2023-08-07
2023Q3,ADUS,1468328,2023-07-31
2023Q3,ADV,1776661,2023-08-04
2023Q3,AEE,1002910,2023-08-02
2023Q3,AEIS,927003,2023-08-03
2023Q3,AEO,919012,2023-08-03
2023Q3,AEP,4904,2023-07-27
2023Q3,AES,874761,2023-08-03
2023Q3,AFL,4977,2023-08-01
2023Q3,AFRM,1820953,2023-08-24
2023Q3,AGX,100591,2023-09-06
2023Q3,AGYS,78749,2023-07-24
2023Q3,AHCO,1725255,2023-08-08
2023Q3,AHRT,1569187,2023-08-03
2023Q3,AI,1577526,2023-09-06
2023Q3,AIOT,1774170,2023-08-08
2023Q3,AIZ,1267238,2023-08-01
2023Q3,AJG,354190,2023-07-27
2023Q3,AKAM,1086222,2023-08-08
2023Q3,ALB,915913,2023-08-02
2023Q3,ALG,897077,2023-08-02
2023Q3,ALGM,866291,2023-08-01
2023Q3,ALGN,1097149,2023-07-26
2023Q3,ALGT,1362468,2023-08-02
2023Q3,ALKS,1520262,2023-07-26
2023Q3,ALLE,1579241,2023-07-26
2023Q3,ALRM,1459200,2023-08-09
2023Q3,ALTG,1759824,2023-08-09
2023Q3,AMC,1411579,2023-08-08
2023Q3,AMCX,1514991,2023-08-04
2023Q3,AMD,2488,2023-08-01
2023Q3,AME,1037868,2023-08-01
2023Q3,AMGN,318154,2023-08-03
2023Q3,AMKR,1047127,2023-07-31
2023Q3,AMN,1142750,2023-08-03
2023Q3,AMP,820027,2023-07-26
2023Q3,AMPH,1297184,2023-08-08
2023Q3,AMR,1704715,2023-08-04
2023Q3,AMRX,1723128,2023-08-04
2023Q3,AMT,1053507,2023-07-27
2023Q3,AMWD,794619,2023-08-29
2023Q3,ANDE,821026,2023-08-01
2023Q3,ANET,1596532,2023-07-31
2023Q3,ANF,1018840,2023-08-24
2023Q3,ANGI,1705110,2023-08-08
2023Q3,ANGO,1275187,2023-07-12
2023Q3,AON,315293,2023-07-28
2023Q3,AOS,91142,2023-07-27
2023Q3,AOSL,1387467,2023-08-09
2023Q3,APAM,1517302,2023-08-01
2023Q3,APD,2969,2023-08-03
2023Q3,APEI,1201792,2023-08-08
2023Q3,APH,820313,2023-07-26
2023Q3,APLE,1418121,2023-08-03
2023Q3,APO,0001858681,2023-08-03
2023Q3,APP,1751008,2023-08-09
2023Q3,APPF,1433195,2023-07-27
2023Q3,APPN,1441683,2023-08-03
2023Q3,APTV,1521332,2023-08-03
2023Q3,ARCB,894405,2023-07-28
2023Q3,ARES,1176948,2023-08-01
2023Q3,ARLO,1736946,2023-08-10
2023Q3,ARLP,1086600,2023-07-31
2023Q3,ARRY,1820721,2023-08-08
2023Q3,ARWR,879407,2023-08-07
2023Q3,ASAN,1477720,2023-09-05
2023Q3,ASB,7789,2023-07-20
2023Q3,ASGN,890564,2023-07-26
2023Q3,ASIX,1673985,2023-08-04
2023Q3,ASO,1817358,2023-08-31
2023Q3,ASTH,1083446,2023-08-07
2023Q3,ATKR,1666138,2023-08-08
2023Q3,ATMU,0001921963,2023-08-08
2023Q3,ATNI,879585,2023-07-27
2023Q3,ATO,731802,2023-08-02
2023Q3,ATRO,8063,2023-07-17
2023Q3,AVA,104918,2023-08-02
2023Q3,AVAV,1368622,2023-09-05
2023Q3,AVB,915912,2023-08-01
2023Q3,AVD,5981,2023-08-09
2023Q3,AVNS,1606498,2023-08-09
2023Q3,AVNT,1122976,2023-07-27
2023Q3,AVNW,1377789,2023-08-23
2023Q3,AVY,8818,2023-07-25
2023Q3,AWK,1410636,2023-07-26
2023Q3,AWR,1056903,2023-08-07
2023Q3,AXON,1069183,2023-08-08
2023Q3,AXP,4962,2023-07-21
2023Q3,AZZ,8947,2023-07-07
2023Q3,BALL,9389,2023-08-03
2023Q3,BANC,1169770,2023-07-25
2023Q3,BARK,1819574,2023-08-08
2023Q3,BAX,10456,2023-07-27
2023Q3,BBBY,1130713,2023-07-27
2023Q3,BBSI,902791,2023-08-02
2023Q3,BBT,1108134,2023-07-20
2023Q3,BBY,764478,2023-08-29
2023Q3,BCC,1328581,2023-07-31
2023Q3,BCO,78890,2023-08-09
2023Q3,BCPC,9326,2023-07-28
2023Q3,BDC,913142,2023-08-03
2023Q3,BDN,790816,2023-07-26
2023Q3,BDX,10795,2023-08-03
2023Q3,BE,1664703,2023-08-03
2023Q3,BEN,38777,2023-07-28
2023Q3,BF-B,14693,2023-08-30
2023Q3,BFH,1101215,2023-07-27
2023Q3,BGS,1278027,2023-08-03
2023Q3,BHE,863436,2023-07-31
2023Q3,BHF,1685040,2023-08-08
2023Q3,BHFAL,1685040,2023-08-08
2023Q3,BHFAM,1685040,2023-08-08
2023Q3,BHFAN,1685040,2023-08-08
2023Q3,BHFAO,1685040,2023-08-08
2023Q3,BHFAP,1685040,2023-08-08
2023Q3,BHR,1574085,2023-08-02
2023Q3,BIIB,875045,2023-07-25
2023Q3,BKH,1130464,2023-08-02
2023Q3,BKNG,1075531,2023-08-03
2023Q3,BKR,1701605,2023-07-19
2023Q3,BLBD,1589526,2023-08-09
2023Q3,BLDR,1316835,2023-08-02
2023Q3,BLKB,1280058,2023-08-01
2023Q3,BLMN,1546417,2023-08-01
2023Q3,BMBL,1830043,2023-08-08
2023Q3,BMI,9092,2023-07-20
2023Q3,BMRN,1048477,2023-07-31
2023Q3,BNED,1634117,2023-08-04
2023Q3,BNL,1424182,2023-08-02
2023Q3,BOOT,1610250,2023-08-02
2023Q3,BOX,1372612,2023-08-29
2023Q3,BPOP,763901,2023-07-26
2023Q3,BR,1383312,2023-08-08
2023Q3,BRKR,1109354,2023-08-03
2023Q3,BRSP,1717547,2023-08-02
2023Q3,BSX,885725,2023-07-27
2023Q3,BSY,1031308,2023-08-08
2023Q3,BTU,1064728,2023-07-27
2023Q3,BV,1734713,2023-08-03
2023Q3,BVS,1665988,2023-08-08
2023Q3,BWIN,1781755,2023-08-09
2023Q3,BWXT,1486957,2023-08-03
2023Q3,BX,1393818,2023-07-20
2023Q3,BXC,1301787,2023-08-01
2023Q3,BXP,1037540,2023-08-01
2023Q3,BZH,915840,2023-07-27
2023Q3,CABO,1632127,2023-08-03
2023Q3,CACC,885550,2023-08-01
2023Q3,CAG,23217,2023-07-13
2023Q3,CAKE,887596,2023-08-02
2023Q3,CAL,14707,2023-08-31
2023Q3,CALM,16160,2023-07-25
2023Q3,CALX,1406666,2023-07-19
2023Q3,CALY,837465,2023-08-08
2023Q3,CAR,723612,2023-07-31
2023Q3,CARG,1494259,2023-08-09
2023Q3,CARR,1783180,2023-07-27
2023Q3,CARS,1683606,2023-08-03
2023Q3,CASH,907471,2023-07-26
2023Q3,CBL,910612,2023-08-09
2023Q3,CBOE,1374310,2023-08-04
2023Q3,CBRE,1138118,2023-07-27
2023Q3,CBRL,1067294,2023-09-13
2023Q3,CBT,16040,2023-08-07
2023Q3,CBZ,944148,2023-07-27
2023Q3,CC,1627223,2023-07-28
2023Q3,CCC,1818201,2023-08-01
2023Q3,CCI,1051470,2023-07-19
2023Q3,CCL,815097,2023-09-29
2023Q3,CCOI,1158324,2023-08-10
2023Q3,CCRN,1141103,2023-08-02
2023Q3,CCS,1576940,2023-07-26
2023Q3,CDE,215466,2023-08-09
2023Q3,CDNS,813672,2023-07-24
2023Q3,CDP,860546,2023-07-27
2023Q3,CDRE,1860543,2023-08-08
2023Q3,CDW,1402057,2023-08-02
2023Q3,CECO,3197,2023-08-08
2023Q3,CEG,0001868275,2023-08-03
2023Q3,CELH,1341766,2023-08-08
2023Q3,CENX,949157,2023-08-09
2023Q3,CF,1324404,2023-08-02
2023Q3,CFG,759944,2023-07-19
2023Q3,CFLT,1699838,2023-08-02
2023Q3,CGNX,851205,2023-08-03
2023Q3,CHD,313927,2023-07-28
2023Q3,CHDN,20212,2023-07-26
2023Q3,CHEF,1517175,2023-08-02
2023Q3,CHRD,1486159,2023-08-02
2023Q3,CHRW,1043277,2023-08-02
2023Q3,CIEN,936395,2023-08-31
2023Q3,CINF,20286,2023-07-27
2023Q3,CL,21665,2023-07-28
2023Q3,CLB,0001958086,2023-07-26
2023Q3,CLNE,1368265,2023-08-09
2023Q3,CLW,1441236,2023-08-01
2023Q3,CLX,21076,2023-08-02
2023Q3,CMCO,1005229,2023-08-02
2023Q3,CME,1156375,2023-07-26
2023Q3,CMG,1058090,2023-07-26
2023Q3,CMI,26172,2023-08-03
2023Q3,CMS,811156,2023-07-27
2023Q3,CNDT,1677703,2023-08-02
2023Q3,CNK,1385280,2023-08-04
2023Q3,CNMD,816956,2023-07-26
2023Q3,CNNE,1704720,2023-08-09
2023Q3,CNO,1224608,2023-07-31
2023Q3,CNP,1130310,2023-07-27
2023Q3,CNR,1710366,2023-08-08
2023Q3,CNTY,911147,2023-08-08
2023Q3,CNX,1070412,2023-07-27
2023Q3,CNXC,1803599,2023-09-27
2023Q3,CNXN,1050377,2023-08-02
2023Q3,COCO,1482981,2023-08-02
2023Q3,CODI,1345126,2023-08-02
2023Q3,COF,927628,2023-07-20
2023Q3,COHR,820318,2023-08-16
