quarter,ticker,event_date,revenue_bucket,revenue_value_millions,avg_dollar_volume_60d,earnings_score,earnings_score_bucket,guidance_torque,earnings_torque,segment_wave_torque,margin_quality,warning_penalty,guidance_vs_current_pct,score_status,score_missing_fields,extraction_source,quarter_revenue_millions,quarter_revenue_yoy_pct,guidance_revenue_millions,numeric_evidence_count,guidance_evidence_count,wave_or_demand_evidence_count,warning_or_risk_evidence_count,exhibit_doc_count,exhibit_text_len,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct,adv_bucket_fine
2024Q3,FLG,2024-07-25,<$100M,22.0,57613889.67,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,541,,,6,4,6,6,1,65717,2024-07-26,10.650000,-5.3521,-2.5352,4.6948,2.6291,7.9812,$50M-$75M ADV
2024Q3,FLYW,2024-08-06,<$100M,94.357,30097378.63,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,regex_fallback,103.7,22,,6,6,6,6,2,47310,2024-08-07,17.500000,-1.7714,1.0286,-0.2857,-6.8000,1.9429,$25M-$50M ADV
2024Q3,FOLD,2024-08-08,<$100M,86.27,26329192.98,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,126.7,,,6,6,6,6,2,37568,2024-08-09,11.390000,4.3898,-0.7902,1.0536,-11.8525,-3.5997,$25M-$50M ADV
2024Q3,FROG,2024-08-07,<$100M,79.82,43298619.88,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,103,,,6,3,6,6,1,25320,2024-08-08,25.190001,8.9718,8.5351,11.5919,8.0587,25.9230,$25M-$50M ADV
2024Q3,GERN,2024-08-08,<$100M,0.021,50374293.77,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,1.2,,,5,2,6,6,1,22913,2024-08-09,4.600000,-3.0435,-0.8696,-4.1304,-7.1739,-6.7391,$50M-$75M ADV
2024Q3,GKOS,2024-07-31,<$100M,73.899,51549634.97,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,95.7,,,6,6,6,6,3,74606,2024-08-01,111.040001,9.4020,17.0749,19.7767,17.3271,24.8919,$50M-$75M ADV
2024Q3,HASI,2024-08-01,<$100M,69.101,33860679.45,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,95,,,6,6,6,6,1,46255,2024-08-02,31.000000,-2.5484,-0.4194,5.7097,7.7097,12.8710,$25M-$50M ADV
2024Q3,HUT,2024-08-13,<$100M,15.647,46873222.44,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,35.2,,,6,2,6,6,1,23852,2024-08-14,11.210000,7.7609,-18.9117,0.2676,8.6530,112.8457,$25M-$50M ADV
2024Q3,IMCR,2024-08-08,<$100M,54.659,38373544.08,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,75.3,,,4,6,6,6,1,31770,2024-08-09,38.419998,-3.9823,-9.8646,-11.8428,-20.4321,-10.6975,$25M-$50M ADV
2024Q3,INSM,2024-08-08,<$100M,65.214,165447241.93,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,90.3,,,3,6,6,6,1,35923,2024-08-09,72.809998,6.5650,4.8345,-1.3597,-1.9777,-1.5382,>$100M ADV
