quarter,ticker,cik,metadata_status,item_202_8k_count,item_202_event_dates,item_202_accessions,primary_8k_docs,earnings_exhibit_docs,earnings_exhibit_doc_count,latest_periodic_form,latest_periodic_filing_date,latest_periodic_accession,latest_periodic_doc,primary_8k_cached_count,earnings_exhibit_cached_count,periodic_cached,ready_for_earnings_extraction,ready_for_periodic_extraction,quality_fail_reasons,audit_reasons
2023Q3,LYFT,1759509,ok,1,2023-08-08,0001759509-23-000091,lyft-20230808.htm,lyft-20230630xpressrelease.htm,1,10-Q,2023-08-09,0001759509-23-000096,lyft-20230630.htm,1,1,True,True,True,,ready
2023Q3,LYV,1335258,ok,1,2023-07-27,0001335258-23-000083,lyv-20230727.htm,lyv-2023q2xex991.htm,1,10-Q,2023-07-27,0001335258-23-000085,lyv-20230630.htm,1,1,True,True,True,,ready
2023Q3,LZ,1286139,ok,1,2023-08-08,0001286139-23-000109,lz-20230808.htm,lz-20230808xexx991.htm,1,10-Q,2023-08-08,0001286139-23-000111,lz-20230630.htm,1,1,True,True,True,,ready
2023Q3,LZB,57131,ok,1,2023-08-22,0000057131-23-000116,lzb-20230822.htm,fy24q1earningspressrelease.htm,1,10-Q,2023-08-22,0000057131-23-000117,lzb-20230729.htm,1,1,True,True,True,,ready
2023Q3,MA,1141391,ok,1,2023-07-27,0001141391-23-000129,ma-20230727.htm,ma06302023-exx991xearnings.htm,1,10-Q,2023-07-27,0001141391-23-000131,ma-20230630.htm,1,1,True,True,True,,ready
2023Q3,MAA,912595,ok,1,2023-07-26,0000950170-23-034730,maa-20230726.htm,maa-ex99_1.htm;maa-ex99_2.htm,2,10-Q,2023-07-27,0000950170-23-035158,maa-20230630.htm,1,2,True,True,True,,ready
2023Q3,MAC,912242,ok,1,2023-08-08,0000912242-23-000019,mac-20230808.htm,a2023q2-exhibit9911.htm,1,10-Q,2023-08-09,0000912242-23-000021,mac-20230630.htm,1,1,True,True,True,,ready
2023Q3,MAGN,41719,ok,1,2023-08-03,0000041719-23-000030,glt-20230803.htm,q22023earningsreleaseex-991.htm,1,10-Q,2023-08-03,0000041719-23-000035,glt-20230630.htm,1,1,True,True,True,,ready
2023Q3,MANH,1056696,ok,1,2023-07-25,0000950170-23-034403,manh-20230725.htm,manh-ex99_1.htm,1,10-Q,2023-07-28,0000950170-23-035377,manh-20230630.htm,1,1,True,True,True,,ready
2023Q3,MAR,1048286,ok,1,2023-08-01,0001628280-23-026343,mar-20230801.htm,mar-2023q2xearningsrelease.htm,1,10-Q,2023-08-01,0001628280-23-026380,mar-20230630.htm,1,1,True,True,True,,ready
2023Q3,MAS,62996,ok,1,2023-07-27,0000062996-23-000031,mas-20230727.htm,a630238-kex99.htm,1,10-Q,2023-07-27,0000062996-23-000033,mas-20230630.htm,1,1,True,True,True,,ready
2023Q3,MASI,937556,ok,2,2023-07-17;2023-08-08,0000937556-23-000185;0000937556-23-000193,masi-20230717.htm;masi-20230808.htm,masi-20230717xex991.htm;masi-20230808xex991.htm;masi-q22023earningspres.htm,3,10-Q,2023-08-08,0000937556-23-000195,masi-20230701.htm,2,3,True,True,True,,ready
2023Q3,MAT,63276,ok,1,2023-07-26,0001628280-23-025710,mat-20230721.htm,matq22023exhibit991.htm;matq22023exhibit992.htm,2,10-Q,2023-08-01,0001628280-23-026456,mat-20230630.htm,1,1,True,True,True,earnings_exhibit:exhibit_not_earnings_like,ready
2023Q3,MATV,1000623,ok,1,2023-08-09,0001000623-23-000052,matv-20230809.htm,ex991q22023earningsrelease.htm,1,10-Q,2023-08-09,0001000623-23-000051,matv-20230630.htm,1,1,True,True,True,,ready
2023Q3,MATW,63296,ok,3,2023-07-28;2023-07-31;2023-08-16,0000063296-23-000061;0000063296-23-000065;0000063296-23-000069,matw-20230727.htm;matw-20230731.htm;matw-20230816.htm,ex991_3q2023earningspr.htm;ex99232023earningstelec.htm;fy22corporatepresentatio.htm;q323investorpresentation.htm,4,10-Q,2023-07-28,0000063296-23-000063,matw-20230630.htm,3,4,True,True,True,,ready
2023Q3,MATX,3453,ok,2,2023-07-20;2023-08-01,0001558370-23-012010;0001558370-23-012727,matx-20230720x8k.htm;matx-20230801x8k.htm,matx-20230720xex99d1.htm;matx-20230720xex99d2.htm;matx-20230801xex99d1.htm;matx-20230801xex99d2.htm,4,10-Q,2023-08-02,0001558370-23-012804,matx-20230630x10q.htm,2,4,True,True,True,,ready
2023Q3,MAX,1818383,ok,1,2023-08-02,0001818383-23-000109,max-20230729.htm,maxq22023-earningsreleasex.htm;maxq22023-shareholderlette.htm,2,10-Q,2023-08-03,0001818383-23-000112,max-20230630.htm,1,2,True,True,True,,ready
2023Q3,MBC,0001941365,ok,1,2023-08-08,0001941365-23-000050,mbc-20230808.htm,ex99-1xq22023pressrelease.htm,1,10-Q,2023-08-09,0001941365-23-000052,mbc-20230625.htm,1,1,True,True,True,,ready
2023Q3,MBLY,0001910139,ok,1,2023-07-27,0001104659-23-084516,tm2321797d1_8k.htm,tm2321797d1_ex99-1.htm,1,10-Q,2023-08-10,0001104659-23-089588,mbly-20230701x10q.htm,1,1,True,True,True,,ready
2023Q3,MBUU,1590976,ok,2,2023-07-03;2023-08-29,0001590976-23-000053;0001590976-23-000064,mbuu-20230630.htm;mbuu-20230829.htm,exhibit101confidentialgene.htm;exhibit991-4q2023earningre.htm,2,10-K,2023-08-29,0001590976-23-000069,mbuu-20230630.htm,2,2,True,True,True,,ready
2023Q3,MCD,63908,ok,1,2023-07-27,0000063908-23-000073,mcd-20230727.htm,exhibit991-6302023.htm;exhibit992-6302023.htm,2,10-Q,2023-08-02,0000063908-23-000076,mcd-20230630.htm,1,2,True,True,True,,ready
2023Q3,MCFT,1638290,ok,1,2023-08-30,0000950170-23-045178,mcft-20230830.htm,mcft-ex99_1.htm,1,10-K,2023-08-30,0000950170-23-045222,mcft-20230630.htm,1,1,True,True,True,,ready
2023Q3,MCHP,827054,ok,1,2023-08-03,0000827054-23-000131,mchp-20230803.htm,exhibit991q1fy24.htm,1,10-Q,2023-08-03,0000827054-23-000132,mchp-20230630.htm,1,1,True,True,True,,ready
2023Q3,MCO,1059556,ok,1,2023-07-25,0001059556-23-000046,mco-20230725.htm,a2q23earningspr.htm,1,10-Q,2023-07-26,0001059556-23-000052,mco-20230630.htm,1,1,True,True,True,,ready
2023Q3,MCS,62234,ok,1,2023-08-02,0000062234-23-000043,mcs-20230802.htm,mcs-20230802xex991.htm,1,10-Q,2023-08-03,0000062234-23-000045,mcs-20230629.htm,1,1,True,True,True,,ready
2023Q3,MCW,1853513,ok,1,2023-08-03,0000950170-23-037956,mcw-20230803.htm,mcw-ex99_1.htm,1,10-Q,2023-08-04,0000950170-23-038332,mcw-20230630.htm,1,1,True,True,True,,ready
2023Q3,MCY,64996,ok,1,2023-08-01,0000950170-23-036458,mcy-20230801.htm,mcy-ex99_1.htm,1,10-Q,2023-08-01,0000064996-23-000031,mcy-20230630.htm,1,1,True,True,True,,ready
2023Q3,MDB,1441816,ok,1,2023-08-31,0001441816-23-000166,mdb-20230831.htm,mdb-073123xex991xrelease.htm,1,10-Q,2023-09-01,0001441816-23-000168,mdb-20230731.htm,1,1,True,True,True,,ready
2023Q3,MDLZ,1103982,ok,1,2023-07-27,0001103982-23-000041,mdlz-20230727.htm,mdlzearningsreleasecontent.htm,1,10-Q,2023-07-27,0001103982-23-000043,mdlz-20230630.htm,1,1,True,True,True,,ready
2023Q3,MEC,1766368,ok,1,2023-08-01,0001558370-23-012744,tmb-20230801x8k.htm,tmb-20230801xex99.htm,1,10-Q,2023-08-02,0001558370-23-012894,tmb-20230630x10q.htm,1,1,True,True,True,,ready
2023Q3,MED,910329,ok,1,2023-08-07,0001628280-23-027839,med-20230807.htm,medq22023earningspressrele.htm,1,10-Q,2023-08-07,0001628280-23-027815,med-20230630.htm,1,1,True,True,True,,ready
2023Q3,MEG,1643615,ok,1,2023-08-08,0000950170-23-039893,meg-20230808.htm,meg-ex99_1.htm,1,10-Q,2023-08-09,0000950170-23-040542,meg-20230630.htm,1,1,True,True,True,,ready
2023Q3,MEI,65270,ok,1,2023-09-07,0000950170-23-046879,mei-20230907.htm,mei-ex99_1.htm,1,10-Q,2023-09-07,0000950170-23-046882,mei-20230729.htm,1,1,True,True,True,,ready
2023Q3,MELI,1099590,ok,1,2023-08-02,0001099590-23-000017,meli-20230802.htm,meli-20230802xex991.htm,1,10-Q,2023-08-03,0001099590-23-000020,meli-20230630.htm,1,1,True,True,True,,ready
2023Q3,MERC,1333274,ok,2,2023-08-03;2023-09-19,0000950170-23-038089;0001193125-23-237300,merc-20230803.htm;d504167d8k.htm,merc-ex99_1.htm;d504167dex991.htm,2,10-Q,2023-08-04,0000950170-23-038202,merc-20230630.htm,2,1,True,True,True,earnings_exhibit:exhibit_not_earnings_like,ready
2023Q3,MG,1436126,ok,2,2023-08-02;2023-08-02,0001436126-23-000034;0001436126-23-000032,mg-20230802.htm;mg-20230802.htm,a8kexhibit991-q22023.htm;a8kexhibit991-q22023.htm,2,10-Q,2023-08-07,0001436126-23-000038,mg-20230630.htm,2,2,True,True,True,,ready
2023Q3,MGM,789570,ok,1,2023-08-02,0000789570-23-000018,mgm-20230802.htm,mgmex991q22023earningrelea.htm,1,10-Q,2023-08-02,0000789570-23-000019,mgm-20230630.htm,1,1,True,True,True,,ready
2023Q3,MGNI,1595974,ok,1,2023-08-09,0001595974-23-000029,mgni-20230809.htm,a991-earningsq22023.htm,1,10-Q,2023-08-09,0001595974-23-000031,mgni-20230630.htm,1,1,True,True,True,,ready
2023Q3,MGPI,835011,ok,1,2023-08-03,0001628280-23-027005,mgpi-20230803.htm,mgpiq22023ex-991.htm,1,10-Q,2023-08-03,0001628280-23-027007,mgpi-20230630.htm,1,1,True,True,True,,ready
2023Q3,MGRC,752714,ok,1,2023-07-27,0000950170-23-035124,mgrc-20230727.htm,mgrc-ex99_1.htm,1,10-Q,2023-07-27,0000950170-23-035123,mgrc-20230630.htm,1,1,True,True,True,,ready
2023Q3,MGY,1698990,ok,1,2023-08-01,0001698990-23-000021,mgy-20230801.htm,mgy_2q23xearningspresent.htm;q22023pressrelease.htm,2,10-Q,2023-08-02,0001698990-23-000024,mgy-20230630.htm,1,2,True,True,True,,ready
2023Q3,MHO,799292,ok,1,2023-07-26,0000799292-23-000088,mho-20230726.htm,exhibit991earningspressrel.htm,1,10-Q,2023-07-28,0000799292-23-000091,mho-20230630.htm,1,1,True,True,True,,ready
2023Q3,MIDD,769520,ok,1,2023-08-03,0001157523-23-001241,a53506840.htm,a53506840_ex991.htm,1,10-Q,2023-08-10,0000769520-23-000014,midd-20230701.htm,1,1,True,True,True,,ready
2023Q3,MIR,1809987,ok,1,2023-08-02,0001628280-23-026592,mir-20230802.htm,a2023-088xkexhibit991.htm,1,10-Q,2023-08-03,0001628280-23-026839,mir-20230630.htm,1,1,True,True,True,,ready
2023Q3,MKSI,1049502,ok,1,2023-08-02,0000950170-23-037239,mksi-20230802.htm,mksi-ex99_1.htm,1,10-Q,2023-08-04,0000950170-23-038457,mksi-20230630.htm,1,1,True,True,True,,ready
2023Q3,MKTX,1278021,ok,1,2023-07-20,0001193125-23-190055,d534599d8k.htm,d534599dex991.htm,1,10-Q,2023-07-27,0000950170-23-035159,mktx-20230630.htm,1,1,True,True,True,,ready
2023Q3,MLKN,66382,ok,2,2023-07-12;2023-09-26,0000066382-23-000048;0000066382-23-000076,mlkn-20230712.htm;mlkn-20230926.htm,mk8k_06032023ex991.htm;mk8k_09022023ex991.htm,2,10-K,2023-07-26,0000066382-23-000058,mlkn-20230603.htm,2,2,True,True,True,,ready
2023Q3,MLM,916076,ok,1,2023-07-27,0000950170-23-034945,mlm-20230727.htm,mlm-ex99_1.htm,1,10-Q,2023-07-27,0000950170-23-035096,mlm-20230630.htm,1,1,True,True,True,,ready
2023Q3,MLR,924822,ok,1,2023-08-09,0001558370-23-014185,mlr-20230809x8k.htm,mlr-20230809xex99d1.htm,1,10-Q,2023-08-09,0001558370-23-014181,mlr-20230630x10q.htm,1,1,True,True,True,,ready
