quarter,ticker,cik,asof_date
2023Q4,A,1090872,2023-11-20
2023Q4,AAP,1158449,2023-11-15
2023Q4,AAT,1500217,2023-10-24
2023Q4,ABG,1144980,2023-10-24
2023Q4,ABM,771497,2023-12-13
2023Q4,ABNB,1559720,2023-11-01
2023Q4,ACA,1739445,2023-11-01
2023Q4,ACAD,1070494,2023-11-02
2023Q4,ACCO,712034,2023-11-02
2023Q4,ACDC,0001881487,2023-11-09
2023Q4,ACGL,947484,2023-10-30
2023Q4,ACH,75252,2023-11-03
2023Q4,ACIW,935036,2023-11-02
2023Q4,ACLS,1113232,2023-11-01
2023Q4,ACT,1823529,2023-11-01
2023Q4,ACVA,1637873,2023-11-06
2023Q4,ADBE,796343,2023-12-13
2023Q4,ADEA,1803696,2023-11-06
2023Q4,ADI,6281,2023-11-21
2023Q4,ADNT,1670541,2023-11-08
2023Q4,ADSK,769397,2023-11-21
2023Q4,ADTN,926282,2023-10-17
2023Q4,ADUS,1468328,2023-10-30
2023Q4,ADV,1776661,2023-11-07
2023Q4,AEE,1002910,2023-11-08
2023Q4,AEIS,927003,2023-10-31
2023Q4,AEO,919012,2023-11-21
2023Q4,AEP,4904,2023-11-02
2023Q4,AES,874761,2023-11-02
2023Q4,AESI,0001984060,2023-10-30
2023Q4,AFL,4977,2023-11-01
2023Q4,AFRM,1820953,2023-11-08
2023Q4,AGX,100591,2023-12-06
2023Q4,AGYS,78749,2023-10-23
2023Q4,AHCO,1725255,2023-11-07
2023Q4,AHRT,1569187,2023-11-02
2023Q4,AI,1577526,2023-12-06
2023Q4,AIOT,1774170,2023-11-09
2023Q4,AJG,354190,2023-10-26
2023Q4,AKAM,1086222,2023-11-07
2023Q4,ALB,915913,2023-11-01
2023Q4,ALG,897077,2023-11-02
2023Q4,ALGM,866291,2023-11-02
2023Q4,ALGN,1097149,2023-10-25
2023Q4,ALGT,1362468,2023-11-02
2023Q4,ALKS,1520262,2023-10-25
2023Q4,ALLE,1579241,2023-10-31
2023Q4,ALRM,1459200,2023-11-09
2023Q4,ALTG,1759824,2023-11-08
2023Q4,AMC,1411579,2023-11-08
2023Q4,AMCX,1514991,2023-11-03
2023Q4,AMD,2488,2023-10-31
2023Q4,AME,1037868,2023-10-31
2023Q4,AMGN,318154,2023-10-31
2023Q4,AMKR,1047127,2023-10-30
2023Q4,AMN,1142750,2023-11-02
2023Q4,AMPH,1297184,2023-11-08
2023Q4,AMR,1704715,2023-10-12
2023Q4,AMRX,1723128,2023-10-23
2023Q4,AMT,1053507,2023-10-26
2023Q4,AMWD,794619,2023-11-30
2023Q4,ANDE,821026,2023-11-07
2023Q4,ANET,1596532,2023-10-30
2023Q4,ANF,1018840,2023-11-22
2023Q4,ANGI,1705110,2023-11-07
2023Q4,ANGO,1275187,2023-10-04
2023Q4,AON,315293,2023-10-27
2023Q4,AOS,91142,2023-10-26
2023Q4,AOSL,1387467,2023-11-06
2023Q4,APAM,1517302,2023-10-31
2023Q4,APD,2969,2023-11-07
2023Q4,APEI,1201792,2023-11-07
2023Q4,APH,820313,2023-10-25
2023Q4,APLE,1418121,2023-11-07
2023Q4,APO,0001858681,2023-11-01
2023Q4,APP,1751008,2023-11-08
2023Q4,APPF,1433195,2023-10-26
2023Q4,APPN,1441683,2023-11-02
2023Q4,APTV,1521332,2023-11-02
2023Q4,ARCB,894405,2023-10-27
2023Q4,ARES,1176948,2023-10-31
2023Q4,ARLO,1736946,2023-11-09
2023Q4,ARLP,1086600,2023-10-27
2023Q4,AROC,1389050,2023-11-02
2023Q4,ARRY,1820721,2023-11-07
2023Q4,ARWR,879407,2023-11-29
2023Q4,ASAN,1477720,2023-12-05
2023Q4,ASB,7789,2023-10-19
2023Q4,ASGN,890564,2023-10-25
2023Q4,ASIX,1673985,2023-11-03
2023Q4,ASO,1817358,2023-11-30
2023Q4,ASTH,1083446,2023-11-07
2023Q4,ATKR,1666138,2023-11-17
2023Q4,ATMU,0001921963,2023-11-03
2023Q4,ATNI,879585,2023-10-26
2023Q4,ATO,731802,2023-11-08
2023Q4,ATRO,8063,2023-11-08
2023Q4,AVA,104918,2023-11-01
2023Q4,AVAV,1368622,2023-12-05
2023Q4,AVB,915912,2023-10-26
2023Q4,AVD,5981,2023-11-09
2023Q4,AVNS,1606498,2023-11-01
2023Q4,AVNT,1122976,2023-11-02
2023Q4,AVNW,1377789,2023-11-01
2023Q4,AVY,8818,2023-10-25
2023Q4,AWK,1410636,2023-11-01
2023Q4,AWR,1056903,2023-11-06
2023Q4,AXON,1069183,2023-11-07
2023Q4,AXP,4962,2023-10-20
2023Q4,AZZ,8947,2023-10-10
2023Q4,BALL,9389,2023-11-02
2023Q4,BANC,1169770,2023-10-24
2023Q4,BARK,1819574,2023-11-08
2023Q4,BAX,10456,2023-11-02
2023Q4,BBBY,1130713,2023-10-26
2023Q4,BBSI,902791,2023-11-01
2023Q4,BBT,1108134,2023-10-20
2023Q4,BBY,764478,2023-11-21
2023Q4,BCC,1328581,2023-10-30
2023Q4,BCO,78890,2023-11-07
2023Q4,BCPC,9326,2023-10-27
2023Q4,BDC,913142,2023-10-12
2023Q4,BDN,790816,2023-10-25
2023Q4,BDX,10795,2023-11-09
2023Q4,BE,1664703,2023-11-08
2023Q4,BEN,38777,2023-10-31
2023Q4,BFH,1101215,2023-10-26
2023Q4,BGS,1278027,2023-11-08
2023Q4,BHE,863436,2023-10-25
2023Q4,BHF,1685040,2023-11-07
2023Q4,BHFAL,1685040,2023-11-07
2023Q4,BHFAM,1685040,2023-11-07
2023Q4,BHFAN,1685040,2023-11-07
2023Q4,BHFAO,1685040,2023-11-07
2023Q4,BHFAP,1685040,2023-11-07
2023Q4,BHR,1574085,2023-11-08
2023Q4,BIIB,875045,2023-11-08
2023Q4,BKH,1130464,2023-11-01
2023Q4,BKNG,1075531,2023-11-02
2023Q4,BKR,1701605,2023-10-25
2023Q4,BLBD,1589526,2023-12-11
2023Q4,BLDR,1316835,2023-11-01
2023Q4,BLKB,1280058,2023-10-31
2023Q4,BLMN,1546417,2023-11-03
2023Q4,BMBL,1830043,2023-11-07
2023Q4,BMI,9092,2023-10-19
2023Q4,BMRN,1048477,2023-11-01
2023Q4,BNED,1634117,2023-12-06
2023Q4,BNL,1424182,2023-11-01
2023Q4,BOOT,1610250,2023-11-02
2023Q4,BOX,1372612,2023-12-05
2023Q4,BPOP,763901,2023-10-26
2023Q4,BR,1383312,2023-11-02
2023Q4,BRKR,1109354,2023-11-02
2023Q4,BRO,79282,2023-10-23
2023Q4,BRSP,1717547,2023-10-30
2023Q4,BSX,885725,2023-10-26
2023Q4,BSY,1031308,2023-11-07
2023Q4,BTU,1064728,2023-10-26
2023Q4,BV,1734713,2023-11-16
2023Q4,BVS,1665988,2023-11-07
2023Q4,BWIN,1781755,2023-11-07
2023Q4,BWXT,1486957,2023-11-01
2023Q4,BX,1393818,2023-10-19
2023Q4,BXC,1301787,2023-10-31
2023Q4,BXP,1037540,2023-11-01
2023Q4,BZH,915840,2023-11-16
2023Q4,CABO,1632127,2023-11-02
2023Q4,CACC,885550,2023-10-30
2023Q4,CAG,23217,2023-10-05
2023Q4,CAKE,887596,2023-11-01
2023Q4,CAL,14707,2023-11-21
2023Q4,CALM,16160,2023-10-03
2023Q4,CALX,1406666,2023-10-23
2023Q4,CALY,837465,2023-11-08
2023Q4,CAR,723612,2023-11-01
2023Q4,CARG,1494259,2023-11-07
2023Q4,CARR,1783180,2023-10-26
2023Q4,CARS,1683606,2023-11-02
2023Q4,CASH,907471,2023-10-25
2023Q4,CBL,910612,2023-11-09
2023Q4,CBOE,1374310,2023-11-03
2023Q4,CBRL,1067294,2023-11-30
2023Q4,CBT,16040,2023-11-06
2023Q4,CBZ,944148,2023-10-26
2023Q4,CC,1627223,2023-10-26
2023Q4,CCC,1818201,2023-11-06
2023Q4,CCI,1051470,2023-10-18
2023Q4,CCL,815097,2023-12-21
2023Q4,CCOI,1158324,2023-11-09
2023Q4,CCRN,1141103,2023-11-01
2023Q4,CCS,1576940,2023-10-25
2023Q4,CDE,215466,2023-11-08
2023Q4,CDNS,813672,2023-10-23
2023Q4,CDP,860546,2023-10-26
2023Q4,CDRE,1860543,2023-11-08
2023Q4,CDW,1402057,2023-11-01
2023Q4,CECO,3197,2023-11-07
2023Q4,CELH,1341766,2023-11-07
2023Q4,CENX,949157,2023-11-08
2023Q4,CF,1324404,2023-11-01
2023Q4,CFG,759944,2023-10-18
2023Q4,CFLT,1699838,2023-11-01
2023Q4,CGNX,851205,2023-10-31
2023Q4,CHD,313927,2023-11-03
2023Q4,CHDN,20212,2023-10-25
2023Q4,CHRD,1486159,2023-11-02
2023Q4,CHRW,1043277,2023-11-01
2023Q4,CIEN,936395,2023-12-07
2023Q4,CINF,20286,2023-10-26
2023Q4,CL,21665,2023-10-27
2023Q4,CLB,0001958086,2023-11-01
2023Q4,CLNE,1368265,2023-11-09
2023Q4,CLW,1441236,2023-10-30
2023Q4,CLX,21076,2023-10-04
2023Q4,CMCO,1005229,2023-11-01
2023Q4,CME,1156375,2023-10-25
2023Q4,CMG,1058090,2023-10-26
2023Q4,CMI,26172,2023-11-02
2023Q4,CMP,1227654,2023-11-16
2023Q4,CMS,811156,2023-10-26
2023Q4,CNDT,1677703,2023-11-01
2023Q4,CNK,1385280,2023-11-03
2023Q4,CNMD,816956,2023-10-25
2023Q4,CNNE,1704720,2023-11-07
2023Q4,CNO,1224608,2023-11-06
2023Q4,CNP,1130310,2023-10-26
2023Q4,CNR,1710366,2023-10-31
2023Q4,CNTY,911147,2023-11-09
2023Q4,CNX,1070412,2023-10-25
2023Q4,CNXN,1050377,2023-11-01
2023Q4,COCO,1482981,2023-10-31
2023Q4,CODI,1345126,2023-11-02
2023Q4,COF,927628,2023-10-26
2023Q4,COHR,820318,2023-11-06
2023Q4,COIN,1679788,2023-11-02
2023Q4,COKE,317540,2023-11-01
2023Q4,COLL,1267565,2023-11-07
2023Q4,COLM,1050797,2023-10-26
2023Q4,COMP,1563190,2023-11-06
2023Q4,COO,711404,2023-12-07
2023Q4,COOK,1857853,2023-11-08
2023Q4,CORT,1088856,2023-11-01
